n,i,lstate,sim_type,device,p_error,total_shots,classical_time_sec,classical_us_per_shot,nn_time_sec,nn_us_per_shot,speedup_factor,time_saved_percent
4,7,x,normal,cpu,0.01,100000,7.3465695939958096,73.4656959399581,0.2333630002103746,2.333630002103746,31.481295609727955,96.82351065725837
4,7,x,normal,cpu,0.0075,100000,7.438074958976358,74.38074958976358,0.25891202595084906,2.5891202595084906,28.728194187427878,96.51909899565625
4,7,x,normal,cpu,0.005,100000,7.6466850829310715,76.46685082931072,0.2414414002560079,2.414414002560079,31.670977201188574,96.84253506405078
4,7,x,normal,cpu,0.0025,100000,7.563471554778516,75.63471554778516,0.2640028530731797,2.640028530731797,28.64920385039163,96.5095016070182
4,7,x,normal,cpu,0.001,100000,7.709328336175531,77.09328336175531,2.0394139289855957,20.394139289855957,3.7801685212624543,73.54615291949915
4,7,x,m1,cpu,0.01,100000,7.256369134876877,72.56369134876877,0.28617531806230545,2.8617531806230545,25.35637658764491,96.05621885073572
4,7,x,m1,cpu,0.0075,100000,7.479700059629977,74.79700059629977,0.37759350426495075,3.7759350426495075,19.808868466078277,94.95175606969953
4,7,x,m1,cpu,0.005,100000,7.58446699520573,75.8446699520573,0.2930277460254729,2.930277460254729,25.883101849837843,96.13647542786197
4,7,x,m1,cpu,0.0025,100000,7.81590481987223,78.1590481987223,0.29524947982281446,2.9524947982281446,26.472205216289364,96.2224529772659
4,7,x,m1,cpu,0.001,100000,7.767531804740429,77.67531804740429,0.280752066988498,2.8075206698849797,27.6668730815031,96.38556913513816
4,7,z,normal,cpu,0.01,100000,5.531982281245291,55.31982281245291,0.2702571079134941,2.702571079134941,20.46933131178185,95.11464256077376
4,7,z,normal,cpu,0.0075,100000,5.835266095586121,58.35266095586121,0.28415299812331796,2.8415299812331796,20.53564852077931,95.13041918793978
4,7,z,normal,cpu,0.005,100000,6.298531387932599,62.98531387932598,0.26784624764695764,2.6784624764695764,23.515473684121037,95.74748094198394
4,7,z,normal,cpu,0.0025,100000,6.587223674170673,65.87223674170673,0.29722359869629145,2.9722359869629145,22.162519070033937,95.48787754298154
4,7,z,normal,cpu,0.001,100000,6.943161118775606,69.43161118775606,0.31295987498015165,3.1295987498015165,22.185467447595162,95.49254482754476
4,7,z,m1,cpu,0.01,100000,5.723872228059918,57.23872228059918,0.25338525883853436,2.5338525883853436,22.589602308741103,95.57318457256308
4,7,z,m1,cpu,0.0075,100000,5.998707397375256,59.98707397375256,0.2842817879281938,2.842817879281938,21.101272230954372,95.26094924962365
4,7,z,m1,cpu,0.005,100000,6.361113597173244,63.61113597173243,0.291657910682261,2.91657910682261,21.810187086278592,95.41498660215927
4,7,z,m1,cpu,0.0025,100000,7.189465588890016,71.89465588890016,0.3421795410104096,3.421795410104096,21.01079909003473,95.24054275272998
4,7,z,m1,cpu,0.001,100000,7.159920878708363,71.59920878708363,0.3042622711509466,3.042622711509466,23.53206939402709,95.75047998008276
