n,i,lstate,sim_type,device,p_error,total_shots,classical_time_sec,classical_us_per_shot,nn_time_sec,nn_us_per_shot,speedup_factor,time_saved_percent
5,25,x,normal,cuda,0.01,100000,16.46340886503458,164.6340886503458,0.04767867876216769,0.4767867876216769,345.29918387960964,99.71039607196157
5,25,x,normal,cuda,0.0075,100000,16.360441968776286,163.60441968776286,0.04710612399503589,0.47106123995035887,347.31029813661536,99.71207303516043
5,25,x,normal,cuda,0.005,100000,16.57377128256485,165.7377128256485,0.04686102410778403,0.46861024107784033,353.67923766334843,99.71725792935806
5,25,x,normal,cuda,0.0025,100000,16.61394981527701,166.1394981527701,0.04707204923033714,0.47072049230337143,352.9472391138136,99.71667153353833
5,25,x,normal,cuda,0.001,100000,16.5278597259894,165.278597259894,0.046517714858055115,0.46517714858055115,355.30248586850774,99.71854967534055
5,25,x,m1,cuda,0.01,100000,16.678182485047728,166.78182485047728,0.046724197920411825,0.46724197920411825,356.94957275578474,99.71984838298597
5,25,x,m1,cuda,0.0075,100000,16.608958553988487,166.08958553988487,0.0473158024251461,0.47315802425146103,351.02349960700684,99.7151187880243
5,25,x,m1,cuda,0.005,100000,16.456277866847813,164.56277866847813,0.04708423092961311,0.47084230929613113,349.5072031960878,99.71388286397091
5,25,x,m1,cuda,0.0025,100000,16.50413214089349,165.0413214089349,0.04629980539903045,0.46299805399030447,356.46223561101834,99.71946537386046
5,25,x,m1,cuda,0.001,100000,16.57128374883905,165.7128374883905,0.0472085359506309,0.47208535950630903,351.02303884553294,99.7151184140822
5,25,z,normal,cuda,0.01,100000,8.806551249697804,88.06551249697804,0.05656201113015413,0.5656201113015413,155.69727938833645,99.35772801944354
5,25,z,normal,cuda,0.0075,100000,9.224303816910833,92.24303816910833,0.054996675346046686,0.5499667534604669,167.7247535213763,99.40378508299757
5,25,z,normal,cuda,0.005,100000,10.542416878044605,105.42416878044605,0.056202489882707596,0.562024898827076,187.5791784322406,99.46689179025206
5,25,z,normal,cuda,0.0025,100000,13.075752339791507,130.75752339791507,0.05373562406748533,0.5373562406748533,243.33489313104414,99.58904373017253
5,25,z,normal,cuda,0.001,100000,14.090725021902472,140.90725021902472,0.056584098841995,0.56584098841995,249.0226991376023,99.59843018188175
5,25,z,m1,cuda,0.01,100000,9.24839012697339,92.4839012697339,0.05610365606844425,0.5610365606844425,164.844695962251,99.39336841008885
5,25,z,m1,cuda,0.0075,100000,10.044162648264319,100.44162648264319,0.05546033103018999,0.5546033103018999,181.10534974623124,99.44783519570171
5,25,z,m1,cuda,0.005,100000,11.2478778520599,112.47877852059901,0.06537323305383325,0.6537323305383325,172.0563191787922,99.4187949592477
5,25,z,m1,cuda,0.0025,100000,13.459554004948586,134.59554004948586,0.055114267859607935,0.5511426785960793,244.21178993493996,99.59051936015602
5,25,z,m1,cuda,0.001,100000,14.6649483400397,146.649483400397,0.06029200321063399,0.6029200321063399,243.23206327722698,99.58886999249756
