n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
5,32,25,z,m1,0.05,0.05,0,1611,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.1,0,4996,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.15,0,9206,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.2,0,14069,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.25,0,19522,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.3,0,25564,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.35,0,31922,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.39999999999999997,0,38813,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.44999999999999996,0,46019,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.49999999999999994,0,53107,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.5499999999999999,0,60076,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.6,0,66522,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.65,0,72592,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.7,0,78366,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.75,0,83645,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.7999999999999999,0,88396,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.85,0,92602,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.9,0,96188,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,0.95,0,98872,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.05,1.0,0,100000,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8661448955535889
5,32,25,z,m1,0.025,0.05,0,1261,0.0,1,1,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.1,2,4220,0.00047393364928909954,0.0,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.15,7,8158,0.0008580534444716843,-0.07142857142857142,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.2,10,12861,0.0007775445144234507,-0.05,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.25,11,18196,0.0006045284677951198,-0.045454545454545456,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.3,15,24163,0.0006207838430658444,-0.03333333333333333,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.35,20,30764,0.000650110518788194,-0.025,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.39999999999999997,27,37965,0.0007111813512445674,-0.018518518518518517,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.44999999999999996,32,45616,0.0007015082427218519,0.015625,0.0625,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.49999999999999994,36,53073,0.0006783110055960658,0.0,0.05555555555555558,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.5499999999999999,43,60350,0.0007125103562551781,-0.011627906976744186,0.046511627906976716,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.6,47,67145,0.0006999776602874376,-0.010638297872340425,0.04255319148936165,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.65,49,73505,0.0006666213182776682,-0.01020408163265306,0.04081632653061229,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.7,52,79429,0.0006546727265860076,-0.009615384615384616,0.038461538461538436,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.75,57,84764,0.0006724552876221037,-0.008771929824561403,0.03508771929824561,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.7999999999999999,60,89407,0.000671088393526234,-0.008333333333333333,0.033333333333333326,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.85,62,93473,0.0006632931434745863,0.0,0.048387096774193505,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.9,64,96758,0.0006614440149651709,0.0,0.046875,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
5,32,25,z,m1,0.025,0.95,64,99117,0.0006457015446391638,0.0,0.046875,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8518833518028259
