n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
4,16,7,x,m1,0.01,0.05,0,0,0.0,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.1,0,0,0.0,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.15,0,0,0.0,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.2,0,0,0.0,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.25,0,0,0.0,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.3,1,2,0.5,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.35,9,19,0.47368421052631576,0.0,0.0,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.39999999999999997,42,87,0.4827586206896552,0.0,0.023809523809523836,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.44999999999999996,115,241,0.47717842323651455,0.0,0.034782608695652195,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
4,16,7,x,m1,0.01,0.49999999999999994,249,511,0.487279843444227,-0.002008032128514056,0.02409638554216864,438017,1.6709022521972656,14.150509096914902,1312.0119550731033,147226.81345994456,0.6706380099058151,0.687414288520813
