n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
4,16,7,z,m1,0.01,0.05,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.1,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.15,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.2,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.25,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.3,3,4,0.75,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.35,16,39,0.41025641025641024,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.39999999999999997,45,119,0.37815126050420167,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.44999999999999996,110,303,0.36303630363036304,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.49999999999999994,194,550,0.3527272727272727,-0.002577319587628866,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.5499999999999999,265,788,0.3362944162436548,0.0,0.0037735849056603765,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.6,316,931,0.3394199785177229,0.0,0.0031645569620253333,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.65,332,976,0.3401639344262295,0.0,0.003012048192771122,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.7,339,992,0.34173387096774194,0.0,0.002949852507374673,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.75,343,1000,0.343,0.0,0.002915451895043719,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.7999999999999999,343,1000,0.343,0.0,0.002915451895043719,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.85,343,1000,0.343,0.0,0.002915451895043719,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.9,343,1000,0.343,0.0,0.002915451895043719,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.01,0.95,343,1000,0.343,0.0,0.002915451895043719,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7025613188743591
4,16,7,z,m1,0.0075,0.05,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.1,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.15,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.2,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.25,0,0,0.0,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.3,1,4,0.25,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.35,19,34,0.5588235294117647,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.39999999999999997,55,113,0.48672566371681414,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.44999999999999996,134,298,0.44966442953020136,0.0,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.49999999999999994,267,561,0.47593582887700536,-0.0018726591760299626,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.5499999999999999,363,789,0.4600760456273764,-0.0013774104683195593,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.6,426,928,0.45905172413793105,-0.0011737089201877935,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
4,16,7,z,m1,0.0075,0.65,450,978,0.4601226993865031,-0.0011111111111111111,0.0,440065,1.6787147521972656,11.764545621117577,919.8536339681596,138395.06630559725,0.6738712370395661,0.7075632810592651
