n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
4,16,7,x,m1,0.05,0.05,0,0,0.0,0.0,0.0,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.1,0,2,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.15,0,45,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.2,0,188,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.25,0,568,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.3,0,1393,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.35,0,3195,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.39999999999999997,0,7220,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.44999999999999996,14,17186,0.0008146165483533109,0.03571428571428571,0.4285714285714286,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.49999999999999994,3282,51374,0.06388445517187682,0.061852528945764776,0.3205362583790372,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.5499999999999999,6597,85231,0.0774014149781183,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.6,6597,93960,0.07021072796934866,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.65,6597,97275,0.06781804163454125,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.7,6597,98823,0.06675571476275766,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.75,6597,99509,0.06629551095880774,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.7999999999999999,6597,99798,0.06610352912884025,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.85,6597,99954,0.06600036016567622,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.9,6597,99995,0.06597329866493325,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,0.95,6597,100000,0.06597,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.05,1.0,6597,100000,0.06597,0.0585114445960285,0.31574958314385326,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.7043603658676147
4,16,7,x,m1,0.025,0.05,0,0,0.0,0.0,0.0,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.1,0,2,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.15,0,16,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.2,0,68,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.25,0,175,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.3,0,462,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.35,0,1250,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.39999999999999997,0,3346,0.0,1,1,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.44999999999999996,34,10336,0.003289473684210526,0.0,0.05882352941176472,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.49999999999999994,9281,50894,0.18235941368334185,0.017347268613295982,0.11690550587221205,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.5499999999999999,18318,91299,0.2006374659087175,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.6,18318,97393,0.18808333247769346,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.65,18318,99070,0.1848995659634602,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.7,18318,99642,0.18383814054314446,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.75,18318,99870,0.18341844397717033,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.7999999999999999,18318,99964,0.18324596854867753,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
4,16,7,x,m1,0.025,0.85,18318,99990,0.1831983198319832,0.017305382683699095,0.11879026094551803,438017,1.6709022521972656,2984.3814199271146,225.28038499876857,170941930.88241732,0.6874052208784571,0.6981766819953918
