n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
6,64,23,x,normal,0.05,0.05,0,22327,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.1,0,29257,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.15,0,34205,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.2,0,38083,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.25,0,41489,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.3,0,44539,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.35,0,47407,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.39999999999999997,0,50205,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.44999999999999996,0,52897,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.49999999999999994,0,55604,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.5499999999999999,0,58226,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.6,0,60832,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.65,0,63418,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.7,0,66043,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.75,0,68815,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.7999999999999999,0,71701,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.85,0,75103,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.9,0,79177,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,0.95,0,84779,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.05,1.0,0,100000,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5288338661193848
6,64,23,x,normal,0.025,0.05,0,22057,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.1,0,29076,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.15,0,33983,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.2,0,37798,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.25,0,41145,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.3,0,44220,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.35,0,47248,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
6,64,23,x,normal,0.025,0.39999999999999997,0,50133,0.0,1,1,11209729,42.761722564697266,10707.808014415205,334.6219239756465,107265308.11226605,0.23784880100504474,1.5071227550506592
