n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
6,64,23,z,normal,0.05,0.05,0,25122,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.1,0,32203,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.15,0,36905,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.2,0,40788,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.25,0,44052,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.3,0,46957,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.35,0,49766,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.39999999999999997,0,52431,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.44999999999999996,0,55181,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.49999999999999994,0,57715,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.5499999999999999,0,60151,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.6,0,62553,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.65,0,64917,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.7,0,67425,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.75,0,69953,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.7999999999999999,0,72811,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.85,0,76019,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.9,0,79871,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,0.95,0,85163,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
6,64,23,z,normal,0.05,1.0,0,100000,0.0,1,1,11242497,42.886722564697266,10936.595897224965,336.1601890064776,114563561.41480541,0.2312585995198054,1.595143437385559
