n,lstate,i,p_error,sim_type,count_accept,count_logerror,count_undecided,LER,detect_normal,decoding_normal
4,x,1,0.01,normal,6925,3478,2483,0.49776173285198555,351.15514769701986,88.43369701495976
4,x,1,0.01,m1,21237,10485,7918,0.5062861986156236,288.0068147580023,-52.325689719000366
4,x,1,0.005,normal,10393,5185,4396,0.5011065139998075,363.3737702060025,-7.667962784005795
4,x,1,0.005,m1,35997,17882,15636,0.5032363808095119,351.9768800989841,86.2389022410207
4,x,1,0.001,normal,14462,7206,7117,0.5017286682339925,428.69128487899434,36.711181079008384
4,x,1,0.001,m1,55816,27815,27472,0.5016661889064068,327.37301811401267,62.44391319996794
4,x,1,0.0005,normal,15008,7490,7541,0.5009328358208955,332.6931095219916,155.02168189000804
4,x,1,0.0005,m1,58959,29383,29424,0.5016367306094065,277.01405088501633,-85.43856913602212
4,x,1,0.0001,normal,15548,7778,7933,0.49974273218420373,308.94770775098004,102.71953480501543
4,x,1,0.0001,m1,61735,30836,31231,0.5005102454037418,202.54362108997884,127.93114881103975
4,x,2,0.01,normal,247245,2,4,0.9999919108576513,166.78750755998772,51.73906745100976
4,x,2,0.01,m1,271850,6,13,0.999977929004966,61.69879085800494,-4.883590401994297
4,x,2,0.005,normal,495412,0,1,1.0,145.6889160060091,42.95449615098187
4,x,2,0.005,m1,519253,0,0,1.0,71.71213070300291,-2.0337533900165
4,x,2,0.001,normal,868418,0,0,1.0,37.819660289009335,4.348796484991908
4,x,2,0.001,m1,876947,0,0,1.0,5.001559623982757,0.2721938210306689
4,x,2,0.0005,normal,931741,0,0,1.0,30.978789488988696,28.959620061999885
4,x,2,0.0005,m1,936376,0,0,1.0,9.78246136699454,0.653132583014667
4,x,2,0.0001,normal,985995,0,0,1.0,24.012678008002695,13.542373380012577
4,x,2,0.0001,m1,986917,0,0,1.0,1.6759885939827655,0.12811671503004618
4,x,3,0.01,normal,287079,9,18,0.9999686497444954,352.7439452839899,21.793136579013662
