n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1.0,normal,100000,65897,242,473,0,0.65897,0.0036723978329817886,3.565533628978301,0.3840550120221451
3,x,2,"['x', 'x', 'x']",0.1,normal,100000,95953,4,8,0,0.95953,4.168707596430288e-05,0.822075693984516,0.2029598510125652
3,x,2,"['x', 'x', 'x']",0.01,normal,100000,99589,0,0,0,0.99589,0.0,0.1528792199678719,0.06320683006197214
3,x,3,"['z', 'x', 'x']",1.0,normal,100000,84135,450,851,0,0.84135,0.005348546978070967,2.2108423390309326,0.3904558699578047
3,x,3,"['z', 'x', 'x']",0.1,normal,100000,98216,6,12,0,0.98216,6.108984279551422e-05,0.6854783790186048,0.20078565698349848
3,x,3,"['z', 'x', 'x']",0.01,normal,100000,99837,0,0,0,0.99837,0.0,0.12960361602017656,0.05683066800702363
3,x,4,"['x', 'z', 'x']",1.0,normal,100000,73914,8988,17070,0,0.73914,0.12160077928403279,9.048450055997819,1.714896305988077
3,x,4,"['x', 'z', 'x']",0.1,normal,100000,96895,1173,2336,0,0.96895,0.012105887816708849,2.1750447190133855,0.7035105669638142
3,x,4,"['x', 'z', 'x']",0.01,normal,100000,99679,120,239,0,0.99679,0.0012038644047391855,0.3484207399887964,0.20475290005560964
3,x,5,"['z', 'z', 'x']",1.0,normal,100000,100000,1456,2656,0,1.0,0.014560000000000017,0.21804833400528878,0.1437934519490227
3,x,5,"['z', 'z', 'x']",0.1,normal,100000,100000,17,34,0,1.0,0.00017000000000000348,0.3512482570367865,0.12242135696578771
3,x,5,"['z', 'z', 'x']",0.01,normal,100000,100000,0,0,0,1.0,0.0,0.14906690100906417,0.0491891719866544
3,x,6,"['x', 'x', 'z']",1.0,normal,100000,68127,7976,14973,0,0.68127,0.11707546200478514,4.698280512995552,1.0843661720282398
3,x,6,"['x', 'x', 'z']",0.1,normal,100000,96079,1136,2263,0,0.96079,0.011823603492958967,5.422921808960382,1.8382974890409969
3,x,6,"['x', 'x', 'z']",0.01,normal,100000,99615,126,251,0,0.99615,0.001264869748531794,1.4469007709994912,0.5959807339822873
3,x,7,"['z', 'x', 'z']",1.0,normal,100000,89750,10218,18186,0,0.8975,0.11384958217270191,5.851406069996301,1.2619949990184978
3,x,7,"['z', 'x', 'z']",0.1,normal,100000,98985,1212,2391,0,0.98985,0.01224427943627826,2.0805319259525277,0.6315961540094577
3,x,7,"['z', 'x', 'z']",0.01,normal,100000,99871,122,243,0,0.99871,0.0012215758328243398,1.2930961049860343,0.44748854299541563
3,x,8,"['x', 'z', 'z']",1.0,normal,100000,75335,19117,0,0,0.75335,0.25375987256919097,4.03264783002669,1.121764823968988
3,x,8,"['x', 'z', 'z']",0.1,normal,100000,97247,3215,0,0,0.97247,0.03306014581426675,5.393970024946611,2.0646730240550824
3,x,8,"['x', 'z', 'z']",0.01,normal,100000,99711,324,0,0,0.99711,0.0032493907392363575,4.196408212999813,1.7975170469726436
3,z,2,"['z', 'x', 'x']",1.0,normal,100000,85457,8942,16037,0,0.85457,0.10463741998900034,6.311263011011761,1.2210161979892291
3,z,2,"['z', 'x', 'x']",0.1,normal,100000,98391,1079,2146,0,0.98391,0.01096645018345177,2.173085701011587,0.6016045529977418
3,z,2,"['z', 'x', 'x']",0.01,normal,100000,99853,116,231,0,0.99853,0.0011617077103341922,1.315301458002068,0.44065146800130606
3,z,3,"['x', 'z', 'x']",1.0,normal,100000,73914,8706,16403,0,0.73914,0.11778553454014129,9.432188646984287,-5.89768982300302
3,z,3,"['x', 'z', 'x']",0.1,normal,100000,96895,1179,2342,0,0.96895,0.01216781051653848,1.8288071540300734,0.6799212869955227
3,z,3,"['x', 'z', 'x']",0.01,normal,100000,99679,116,230,0,0.99679,0.0011637355912479386,4.2033934610080905,0.9490711680264212
3,z,4,"['z', 'z', 'x']",1.0,normal,100000,100000,850,1602,0,1.0,0.008499999999999952,0.6594750040094368,0.21054628700949252
3,z,4,"['z', 'z', 'x']",0.1,normal,100000,100000,10,17,0,1.0,9.999999999998899e-05,0.11271381698315963,0.04745750204892829
3,z,4,"['z', 'z', 'x']",0.01,normal,100000,100000,0,1,0,1.0,0.0,0.04660551901906729,0.0216870519798249
3,z,5,"['x', 'x', 'z']",1.0,normal,100000,68127,7572,14564,0,0.68127,0.1111453608701396,3.1629019899992272,0.21579825598746538
3,z,5,"['x', 'x', 'z']",0.1,normal,100000,96079,1082,2155,0,0.96079,0.011261566002976675,2.3037180840037763,0.5653469099779613
3,z,5,"['x', 'x', 'z']",0.01,normal,100000,99615,113,226,0,0.99615,0.0011343673141595012,1.1557019510073587,0.42256071500014514
3,z,6,"['z', 'x', 'z']",1.0,normal,100000,89751,437,840,0,0.89751,0.004869026528952269,1.95419076399412,0.040996185038238764
3,z,6,"['z', 'x', 'z']",0.1,normal,100000,98965,3,6,0,0.98965,3.0313747284349546e-05,0.22130528901470825,0.051461438997648656
3,z,6,"['z', 'x', 'z']",0.01,normal,100000,99873,0,0,0,0.99873,0.0,0.05994339700555429,0.014279686962254345
3,z,7,"['x', 'z', 'z']",1.0,normal,100000,75335,434,826,0,0.75335,0.005760934492599734,1.1456514810561202,0.12848042591940612
3,z,7,"['x', 'z', 'z']",0.1,normal,100000,97247,4,7,0,0.97247,4.113237426350835e-05,0.8357005720026791,0.07064136699773371
3,z,7,"['x', 'z', 'z']",0.01,normal,100000,99711,0,0,0,0.99711,0.0,0.1744533510063775,0.04391652799677104
3,z,8,"['z', 'z', 'z']",1.0,normal,100000,64245,1,2,0,0.64245,1.5565413650886484e-05,0.31391826597973704,0.0021605270449072123
3,z,8,"['z', 'z', 'z']",0.1,normal,100000,95704,0,0,0,0.95704,0.0,0.010709783004131168,0.0008291240083053708
3,z,8,"['z', 'z', 'z']",0.01,normal,100000,99568,0,0,0,0.99568,0.0,0.002889128983952105,0.0008929489995352924
3,x,2,"['x', 'x', 'x']",1.0,m1,100000,72338,349,666,0,0.72338,0.0048245735298183545,0.83760638901731,0.24250084697268903
3,x,2,"['x', 'x', 'x']",0.1,m1,100000,96774,6,11,0,0.96774,6.2000124000261e-05,0.09062668203841895,0.014565291930921376
3,x,2,"['x', 'x', 'x']",0.01,m1,100000,99680,0,0,0,0.9968,0.0,0.046298036002554,0.009138430992607027
3,x,3,"['z', 'x', 'x']",1.0,m1,100000,87110,280,539,0,0.8711,0.003214326713350979,0.270785080967471,0.11567096906946972
3,x,3,"['z', 'x', 'x']",0.1,m1,100000,98600,2,5,0,0.986,2.0283975659229903e-05,0.060741827997844666,0.013100481010042131
3,x,3,"['z', 'x', 'x']",0.01,m1,100000,99853,0,0,0,0.99853,0.0,0.034751333005260676,0.007429547957144678
3,x,4,"['x', 'z', 'x']",1.0,m1,100000,77367,8856,17163,0,0.77367,0.11446740858505566,0.6996929130400531,0.273096059972886
3,x,4,"['x', 'z', 'x']",0.1,m1,100000,97470,1180,2358,0,0.9747,0.012106289114599322,0.5690891479607671,0.32495712803211063
3,x,4,"['x', 'z', 'x']",0.01,m1,100000,99730,126,253,0,0.9973,0.0012634112102677397,0.1214681250276044,0.040788082929793745
3,x,5,"['z', 'z', 'x']",1.0,m1,100000,100000,552,1054,0,1.0,0.005519999999999969,0.014312212006188929,0.0036847650189884007
3,x,5,"['z', 'z', 'x']",0.1,m1,100000,100000,6,12,0,1.0,5.999999999994898e-05,0.006887910014484078,0.0018274489557370543
3,x,5,"['z', 'z', 'x']",0.01,m1,100000,100000,0,1,0,1.0,0.0,0.00521341001149267,0.00160879798932001
3,x,6,"['x', 'x', 'z']",1.0,m1,100000,68022,6937,13088,0,0.68022,0.10198171179912385,1.418757425970398,0.3522722430061549
3,x,6,"['x', 'x', 'z']",0.1,m1,100000,96085,1008,2011,0,0.96085,0.01049071134932611,1.1110309300129302,0.4158394569531083
3,x,6,"['x', 'x', 'z']",0.01,m1,100000,99585,102,204,0,0.99585,0.0010242506401566542,0.2862884809728712,0.20052521699108183
3,x,7,"['z', 'x', 'z']",1.0,m1,100000,87872,6772,12535,0,0.87872,0.07706664238892935,0.7058692969731055,0.21553338400553912
3,x,7,"['z', 'x', 'z']",0.1,m1,100000,98695,804,1597,0,0.98695,0.008146309336845792,0.32361956604290754,0.14563726395135745
3,x,7,"['z', 'x', 'z']",0.01,m1,100000,99892,82,165,0,0.99892,0.0008208865574820257,0.1153572199982591,0.051961460965685546
3,x,8,"['x', 'z', 'z']",1.0,m1,100000,72606,13770,0,0,0.72606,0.18965374762416332,3.6574805440031923,-2.505219272978138
3,x,8,"['x', 'z', 'z']",0.1,m1,100000,96851,2110,0,0,0.96851,0.021786042477620282,1.0950870389933698,0.2190195369767025
3,x,8,"['x', 'z', 'z']",0.01,m1,100000,99680,236,0,0,0.9968,0.0023675762439807624,0.3751543979742564,0.13685075100511312
3,z,2,"['z', 'x', 'x']",1.0,m1,100000,89571,7675,14028,0,0.89571,0.08568621540453947,0.8234990080236457,0.1055276999832131
3,z,2,"['z', 'x', 'x']",0.1,m1,100000,98910,893,1776,0,0.9891,0.009028409665352344,0.4029905530042015,0.07508541300194338
3,z,2,"['z', 'x', 'x']",0.01,m1,100000,99891,97,194,0,0.99891,0.0009710584537145905,0.05626120499800891,0.018513280025217682
3,z,3,"['x', 'z', 'x']",1.0,m1,100000,77367,8936,16829,0,0.77367,0.11550144118293326,2.2170223009889014,-0.9770302340039052
3,z,3,"['x', 'z', 'x']",0.1,m1,100000,97470,1193,2370,0,0.9747,0.012239663486200869,1.1426327159861103,0.09054859599564224
3,z,3,"['x', 'z', 'x']",0.01,m1,100000,99730,124,245,0,0.9973,0.0012433570640729696,0.1292848740122281,0.048478778975550085
3,z,4,"['z', 'z', 'x']",1.0,m1,100000,100000,571,1080,0,1.0,0.005709999999999993,0.059093408985063434,0.018222870014142245
3,z,4,"['z', 'z', 'x']",0.1,m1,100000,100000,10,20,0,1.0,9.999999999998899e-05,0.029289709986187518,0.009585634048562497
3,z,4,"['z', 'z', 'x']",0.01,m1,100000,100000,0,0,0,1.0,0.0,0.007270388014148921,0.0032557660015299916
3,z,5,"['x', 'x', 'z']",1.0,m1,100000,68022,6537,12712,0,0.68022,0.0961012613566199,1.4433446420007385,-0.6111258119926788
3,z,5,"['x', 'x', 'z']",0.1,m1,100000,96085,897,1790,0,0.96085,0.009335484206691946,0.2653872190276161,0.04583735595224425
3,z,5,"['x', 'x', 'z']",0.01,m1,100000,99585,94,187,0,0.99585,0.0009439172566149123,0.1901282810140401,0.04251556599047035
3,z,6,"['z', 'x', 'z']",1.0,m1,100000,87872,342,648,0,0.87872,0.00389202476329209,0.383464764978271,0.006277166015934199
3,z,6,"['z', 'x', 'z']",0.1,m1,100000,98695,4,8,0,0.98695,4.052890217332017e-05,0.0299845400149934,0.006998358992859721
3,z,6,"['z', 'x', 'z']",0.01,m1,100000,99892,0,1,0,0.99892,0.0,0.051529745978768915,0.009074487024918199
3,z,7,"['x', 'z', 'z']",1.0,m1,100000,69741,208,400,0,0.69741,0.00298246368707078,0.8595841460046358,-0.08345767605351284
3,z,7,"['x', 'z', 'z']",0.1,m1,100000,96431,2,4,0,0.96431,2.0740218394488252e-05,0.04389704600907862,0.0019708899781107903
3,z,7,"['x', 'z', 'z']",0.01,m1,100000,99640,0,0,0,0.9964,0.0,0.07022562297061086,0.010494536021724343
3,z,8,"['z', 'z', 'z']",1.0,m1,100000,69466,2,4,0,0.69466,2.8791063253930105e-05,0.09135531896026805,0.0030855120276100934
3,z,8,"['z', 'z', 'z']",0.1,m1,100000,96334,0,0,0,0.96334,0.0,0.029627815005369484,0.0019118590280413628
3,z,8,"['z', 'z', 'z']",0.01,m1,100000,99632,0,0,0,0.99632,0.0,0.002760620031040162,0.0006742749828845263
3,x,2,"['x', 'x', 'x']",1.0,m2,100000,72338,349,666,14335,0.8444288799392984,0.0048245735298183545,0.16690505796577781,0.047621827048715204
3,x,2,"['x', 'x', 'x']",0.1,m2,100000,96774,6,11,1582,0.9832957385844053,6.2000124000261e-05,0.07207850902341306,0.02121115697082132
3,x,2,"['x', 'x', 'x']",0.01,m2,100000,99680,0,0,165,0.9984474382731507,0.0,0.03816062002442777,0.009653099987190217
3,x,3,"['z', 'x', 'x']",1.0,m2,100000,87110,280,539,12890,1.0,0.003214326713350979,0.10222053300822154,0.05425046302843839
