n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,normal,100000,2732,0,0,0,0.02732,0.0,50.85882380100065,8.805687318998935
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,normal,100000,6016,0,0,0,0.06016,0.0,72.15929351100021,18.8869592179999
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.01,normal,100000,3213,0,0,0,0.03213,0.0,56.25640908400055,11.4272650289995
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,normal,100000,13345,0,0,0,0.13345,0.0,86.50708557300004,26.198497144000612
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.01,normal,100000,3105,0,0,0,0.03105,0.0,51.46630400600043,9.051560873998824
5,x,7,"['z', 'x', 'z', 'x', 'x']",0.01,normal,100000,7061,1,2,0,0.07061,0.00014162299957509727,76.92305016899991,21.037238986000375
5,x,8,"['x', 'z', 'z', 'x', 'x']",0.01,normal,100000,3938,48,82,0,0.03938,0.012188928390045706,20.57519646200035,3.197567808999338
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.01,normal,100000,31275,0,0,0,0.31275,0.0,98.48173125899939,33.01177365100102
5,x,10,"['x', 'x', 'x', 'z', 'x']",0.01,normal,100000,3192,0,0,0,0.03192,0.0,17.824799977999646,2.8709656600003655
5,x,11,"['z', 'x', 'x', 'z', 'x']",0.01,normal,100000,6942,3,6,0,0.06942,0.0004321521175453258,72.88178382600017,19.59063147100005
5,x,12,"['x', 'z', 'x', 'z', 'x']",0.01,normal,100000,3712,72,134,0,0.03712,0.0193965517241379,23.411749547,1.609219889999622
5,x,13,"['z', 'z', 'x', 'z', 'x']",0.01,normal,100000,18026,32,57,0,0.18026,0.0017752135803839053,35.97257847600031,5.350136093999936
5,x,14,"['x', 'x', 'z', 'z', 'x']",0.01,normal,100000,3872,128,241,0,0.03872,0.03305785123966942,24.007375699000477,1.8017013749995385
5,x,15,"['z', 'x', 'z', 'z', 'x']",0.01,normal,100000,11876,1132,1915,0,0.11876,0.09531828898619066,102.1599053050004,3.955893140999251
5,x,16,"['x', 'z', 'z', 'z', 'x']",0.01,normal,100000,8763,3193,5660,0,0.08763,0.364372931644414,79.17662739700063,2.907779465999738
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.01,normal,100000,100000,0,0,0,1.0,0.0,44.11122773100033,11.04662944699976
