n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,normal,val,0,1000000,12059,1,2,0,0.012059,8.2925615722651e-05,0,894.1104901259532
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,11938,0,0,0,0.011938,0.0,0,899.5130749760428
6,x,26,"['x', 'x', 'x', 'z', 'z', 'x']",0.005,normal,val,0,1000000,12226,2,3,0,0.012226,0.00016358580075248597,0,897.3646034969715
6,z,23,"['x', 'z', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,14358,0,0,0,0.014358,0.0,0,949.9897962359246
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.005,m1,val,0,1000000,22200,2,4,0,0.0222,9.009009009008917e-05,0,968.8571515880758
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,22105,0,1,0,0.022105,0.0,0,972.020597267081
6,z,15,"['x', 'z', 'z', 'z', 'x', 'x']",0.005,normal,val,0,1000000,15695,1,2,0,0.015695,6.371455877662857e-05,0,975.7515505229821
6,x,26,"['x', 'x', 'x', 'z', 'z', 'x']",0.005,m1,val,0,1000000,22352,2,5,0,0.022352,8.947745168219612e-05,0,982.9201892649289
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.0025,normal,val,0,1000000,108606,0,1,0,0.108606,0.0,0,1136.4969543789048
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.0025,normal,val,0,1000000,108353,1,2,0,0.108353,9.229093795304344e-06,0,1136.9708507470787
6,x,26,"['x', 'x', 'x', 'z', 'z', 'x']",0.0025,normal,val,0,1000000,108869,0,0,0,0.108869,0.0,0,1168.8627253440209
6,z,26,"['z', 'x', 'x', 'z', 'z', 'x']",0.005,normal,val,0,1000000,26695,1,2,0,0.026695,3.746019853900773e-05,0,1197.864762798068
6,z,23,"['x', 'z', 'z', 'x', 'z', 'x']",0.0025,normal,val,0,1000000,118136,0,0,0,0.118136,0.0,0,1212.6462188590085
6,z,15,"['x', 'z', 'z', 'z', 'x', 'x']",0.0025,normal,val,0,1000000,121811,0,0,0,0.121811,0.0,0,1219.0627677330049
6,x,23,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,26327,4,8,0,0.026327,0.0001519352755725567,0,1233.8482558130054
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,normal,val,0,1000000,26499,0,1,0,0.026499,0.0,0,1240.1623021039413
6,x,22,"['x', 'x', 'z', 'x', 'z', 'x']",0.0025,m1,val,0,1000000,146780,2,3,0,0.14678,1.3625834582420282e-05,0,1238.080879196059
6,x,26,"['x', 'x', 'x', 'z', 'z', 'x']",0.0025,m1,val,0,1000000,148019,2,3,0,0.148019,1.3511778893304793e-05,0,1246.3219243539497
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,normal,val,0,1000000,26327,0,1,0,0.026327,0.0,0,1243.857951567974
6,x,38,"['x', 'x', 'z', 'x', 'x', 'z']",0.0025,m1,val,0,1000000,147115,1,2,0,0.147115,6.797403391933798e-06,0,1253.6521588610485
6,x,15,"['z', 'x', 'z', 'z', 'x', 'x']",0.005,normal,val,0,1000000,27534,6,9,0,0.027534,0.0002179123992155363,0,1251.3994937710231
6,x,15,"['z', 'x', 'z', 'z', 'x', 'x']",0.005,m1,val,0,1000000,48994,4,7,0,0.048994,8.164265012045036e-05,0,1267.0683565520449
6,x,23,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,47648,7,14,0,0.047648,0.00014691067830763238,0,1275.535551244975
6,z,26,"['z', 'x', 'x', 'z', 'z', 'x']",0.0025,normal,val,0,1000000,160290,1,2,0,0.16029,6.238692370041932e-06,0,1310.6241957809543
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.0025,normal,val,0,1000000,160443,0,1,0,0.160443,0.0,0,1311.5013446119847
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.0025,normal,val,0,1000000,160386,2,3,0,0.160386,1.2469916326862673e-05,0,1315.2533456300152
6,x,23,"['z', 'x', 'z', 'x', 'z', 'x']",0.0025,m1,val,0,1000000,216329,1,2,0,0.216329,4.622588742120293e-06,0,1345.3908335809829
6,x,23,"['z', 'x', 'z', 'x', 'z', 'x']",0.0025,normal,val,0,1000000,160386,2,4,0,0.160386,1.2469916326862673e-05,0,1347.1067630710313
6,x,15,"['z', 'x', 'z', 'z', 'x', 'x']",0.0025,normal,val,0,1000000,164028,1,2,0,0.164028,6.09652010630235e-06,0,1400.2306000880199
6,x,15,"['z', 'x', 'z', 'z', 'x', 'x']",0.0025,m1,val,0,1000000,220795,0,0,0,0.220795,0.0,0,1475.8798109929776
6,z,23,"['x', 'z', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,26008,2,3,0,0.026008,7.689941556443536e-05,0,570.961247910047
6,z,15,"['x', 'z', 'z', 'z', 'x', 'x']",0.005,m1,val,0,1000000,26864,2,3,0,0.026864,7.444907683140656e-05,0,616.2226349660195
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.005,m1,val,0,1000000,47771,1,2,0,0.047771,2.0933202151907082e-05,0,603.9874046479817
6,z,23,"['x', 'z', 'z', 'x', 'z', 'x']",0.0025,m1,val,0,1000000,160021,0,1,0,0.160021,0.0,0,594.9223387750098
6,z,26,"['z', 'x', 'x', 'z', 'z', 'x']",0.005,m1,val,0,1000000,48889,2,4,0,0.048889,4.0908997934074876e-05,0,633.444743912085
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.005,m1,val,0,1000000,47648,2,4,0,0.047648,4.1974479516482255e-05,0,702.2121201570844
6,z,15,"['x', 'z', 'z', 'z', 'x', 'x']",0.0025,m1,val,0,1000000,162418,0,0,0,0.162418,0.0,0,629.9268623160897
6,z,22,"['z', 'x', 'z', 'x', 'z', 'x']",0.0025,m1,val,0,1000000,216329,0,1,0,0.216329,0.0,0,724.3496382710291
6,z,38,"['z', 'x', 'z', 'x', 'x', 'z']",0.0025,m1,val,0,1000000,216320,0,0,0,0.21632,0.0,0,558.0418051070301
6,z,26,"['z', 'x', 'x', 'z', 'z', 'x']",0.0025,m1,val,0,1000000,217265,0,1,0,0.217265,0.0,0,627.3004421859514
