n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,4,"['x', 'z', 'x']",0.01,normal,100,99,0,0,0,0.99,0.0,0.013593894022051245,1.505599357187748e-05
3,x,4,"['x', 'z', 'x']",0.001,normal,100,100,0,0,0,1.0,0.0,0.0130097980145365,-0.00600677402690053
3,z,4,"['z', 'z', 'x']",0.01,normal,100,100,0,0,0,1.0,0.0,0.013737699948251247,-0.006408730987459421
3,z,4,"['z', 'z', 'x']",0.001,normal,100,100,0,0,0,1.0,0.0,0.004732759029138833,0.0016618790104985237
3,x,4,"['x', 'z', 'x']",0.01,m1,100,100,0,0,0,1.0,0.0,0.01051541097695008,-0.00517514196690172
3,x,4,"['x', 'z', 'x']",0.001,m1,100,100,0,0,0,1.0,0.0,0.00409988802857697,0.0011722180061042309
3,z,4,"['z', 'z', 'x']",0.01,m1,100,100,0,0,0,1.0,0.0,0.0027890409692190588,-0.001076894928701222
3,z,4,"['z', 'z', 'x']",0.001,m1,100,100,0,0,0,1.0,0.0,0.0027408439782448113,0.0004302940214984119
3,x,4,"['x', 'z', 'x']",0.01,m2,100,100,0,0,0,1.0,0.0,0.010968086018692702,-0.002175197994802147
3,x,4,"['x', 'z', 'x']",0.001,m2,100,100,0,0,0,1.0,0.0,0.006634124030824751,-0.0009714470361359417
3,z,4,"['z', 'z', 'x']",0.01,m2,100,100,0,0,0,1.0,0.0,0.0028107159887440503,0.0003543770289979875
3,z,4,"['z', 'z', 'x']",0.001,m2,100,100,0,0,0,1.0,0.0,0.002782446041237563,0.00039087096229195595
