n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,3,"['z', 'x', 'x', 'x']",0.8,m2,0,50000,38037,0,0,6732,0.8791023389109734,0.0,0,2.067350881989114
4,x,3,"['z', 'x', 'x', 'x']",0.3,m2,0,50000,43515,0,0,3903,0.94398767815693,0.0,0,1.0759540470317006
4,x,3,"['z', 'x', 'x', 'x']",0.1,m2,0,50000,48225,0,0,866,0.9814995725973867,0.0,0,0.49136871699010953
4,x,3,"['z', 'x', 'x', 'x']",1,m2,0,50000,32968,0,0,8856,0.8012832976861753,0.0,0,2.0565276069683023
4,x,3,"['z', 'x', 'x', 'x']",0.5,m2,0,50000,39786,0,1,5212,0.8883182995445209,0.0,0,3.099687415990047
4,x,2,"['x', 'x', 'x', 'x']",1,m2,0,50000,25885,0,0,9934,0.6460590026456347,0.0,0,5.028805773996282
4,x,2,"['x', 'x', 'x', 'x']",0.5,m2,0,50000,36084,0,0,5460,0.8101481814099686,0.0,0,1.4868498009745963
4,x,2,"['x', 'x', 'x', 'x']",0.3,m2,0,50000,41897,0,0,2862,0.8888158173872459,0.0,0,2.7241882989765145
4,x,2,"['x', 'x', 'x', 'x']",0.1,m2,0,50000,46811,0,0,1115,0.9575738979236985,0.0,0,0.4760453950148076
4,x,2,"['x', 'x', 'x', 'x']",0.8,m2,0,50000,28845,0,0,9132,0.7058089458745228,0.0,0,1.3760098660131916
