n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.1,m2,8550000,0.9583187801809887,0.000799721997321245,0.005335572503953795,0.0,171,0.0,0.0,0.9355577777777777,0.0010631083427603148,0.00709282933488859,0,2,56,56,48,0.9890352496626181,0.0002549471647870251,7999019,0.0,0,203122,0,0,100.10176869196584
4,x,2,0.3,m2,8550000,0.8826733027520975,0.0022414959514459407,0.014954777042921032,7.526710791256009e-08,171,1.4752353150861778e-07,9.842451514902602e-07,0.8208503508771929,0.0026759394377451227,0.01785329018596843,0,2,56,56,48,0.9676545748987855,0.0006391684199369925,7018271,0.0,1,599199,0,0,228.5324107350025
4,x,2,0.5,m2,8550000,0.8091084931044297,0.0034659021385224625,0.02312375077044019,4.166180331484464e-07,171,3.617117995171341e-07,2.413263031808314e-06,0.7173009941520467,0.004038043601234963,0.02694095508274631,0,2,56,56,48,0.9475663157894737,0.001040084889324285,6132926,0.0,5,971334,0,0,328.22341991608846
4,x,2,0.8,m2,8550000,0.7130482751841629,0.004918695246923767,0.03281647272767532,1.9294918952772947e-06,171,1.0304596956343016e-06,6.875004610196329e-06,0.587104619883041,0.005361907181526864,0.035773487064674384,0,2,56,56,48,0.9183395951417005,0.001696637797219572,5019754,1.0,17,1512759,0,0,459.2128273859562
4,x,2,1.0,m2,8550000,0.6563009679657366,0.005542758389672304,0.03698008727914869,4.839733669321081e-06,171,1.5101387473826243e-06,1.0075319679437689e-05,0.5176929824561403,0.005617417322105074,0.03747819555727177,0,2,56,56,48,0.9022971659919028,0.0016348887692713375,4426296,1.0,40,1809945,0,0,566.9042028450349
4,x,3,0.1,m2,8600000,0.9833330634237484,0.0004131871412552181,0.002764744161033857,0.0,172,0.0,0.0,0.9639640697674419,0.00076123963883958,0.005093655238726943,1,1,40,40,32,0.9934328682170542,0.0001666454116614788,8290091,0.0,0,169432,0,0,180.93023943340813
4,x,3,0.3,m2,8600000,0.9510369675781714,0.0011616409943793304,0.007772846334644394,0.0,172,0.0,0.0,0.8966602325581395,0.002068977821611934,0.013844076401392374,1,1,40,40,32,0.9809303488372093,0.0004760531084963132,7711278,0.0,0,491997,0,0,366.43931263993727
4,x,3,0.5,m2,8600000,0.9190705086330229,0.0019736517827917428,0.01320622472860806,1.1965474869177432e-06,172,6.403232826124176e-07,4.284572001438964e-06,0.832345523255814,0.0032792681008295805,0.021942447934586273,1,1,40,40,32,0.9685091472868217,0.0007027928111873412,7158180,2.0,13,812464,0,0,501.38086078237393
4,x,3,0.8,m2,8600000,0.8729903293511101,0.003116637334708893,0.020854242576426534,3.6491510009522707e-06,172,1.1620898233040847e-06,7.775849567381134e-06,0.7471908720930233,0.004631649916823916,0.030991591424144187,1,1,40,40,32,0.9518993798449613,0.0011283591927828637,6425865,2.0,43,1240996,0,0,722.3932878208434
4,x,3,1.0,m2,8600000,0.8456203294076259,0.0036124269784937424,0.024171701872451774,6.088079555745125e-06,172,1.5730844045959747e-06,1.0525922731302367e-05,0.695495465116279,0.005347118871440016,0.03577898294041122,1,1,40,40,32,0.9407131007751938,0.0013396572828710423,5981297,2.0,68,1529602,0,0,765.0898337334365
5,x,2,0.1,m2,8350000,0.8051859102052907,0.002911215552328632,0.01919448777011231,0.0,167,0.0,0.0,0.7398631137724551,0.0034552781418425217,0.022781650085265105,0,3,144,144,128,0.9570037125748502,0.0010199889585757941,6177857,0.0,0,678147,0,0,1221.5487080786843
5,x,2,0.3,m2,8350000,0.5124066805613321,0.006470683996910769,0.042663094714377486,0.0,167,0.0,0.0,0.3996366467065869,0.006388749122374074,0.04212287434286213,0,3,144,144,128,0.8829161183515322,0.002721896148334245,3336966,0.0,0,1846673,0,0,1118.4931462351233
5,x,2,0.5,m2,8350000,0.33345027812254635,0.006418571695112692,0.042319503207133895,0.0,167,0.0,0.0,0.2213794011976048,0.005028801055655278,0.03315634264315956,0,3,144,144,128,0.8215269249735822,0.003153123465993439,1848518,0.0,0,2814917,0,0,956.0661072884686
