n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1.0,normal,100000,71343,316,616,0,0.71343,0.004429306308958103,2.9881965680106077,0.551567526999861
3,x,2,"['x', 'x', 'x']",0.5,normal,100000,84485,85,168,0,0.84485,0.0010060957566432327,0.43781044500065036,0.2879591519886162
3,x,3,"['z', 'x', 'x']",1.0,normal,100000,88925,574,1101,0,0.88925,0.006454877705932005,1.913760730996728,0.5997123020060826
3,x,3,"['z', 'x', 'x']",0.5,normal,100000,94219,152,302,0,0.94219,0.001613262717710895,0.32675104899681173,0.21528920900891535
3,x,4,"['x', 'z', 'x']",1.0,normal,100000,72512,8139,15514,0,0.72512,0.11224349073256845,8.697428940999089,0.660927253018599
3,x,4,"['x', 'z', 'x']",0.5,normal,100000,84656,4716,9170,0,0.84656,0.05570780570780576,5.5186432609916665,1.461433124030009
3,x,5,"['z', 'z', 'x']",1.0,normal,100000,100000,1141,2114,0,1.0,0.011410000000000031,0.45952208500239067,0.42456814300385304
3,x,5,"['z', 'z', 'x']",0.5,normal,100000,100000,303,590,0,1.0,0.003029999999999977,0.33378267401712947,0.24856543797068298
3,x,6,"['x', 'x', 'z']",1.0,normal,100000,73999,11704,21541,0,0.73999,0.15816429951756106,13.456798727012938,-4.427773676026845
3,x,6,"['x', 'x', 'z']",0.5,normal,100000,85958,7119,13666,0,0.85958,0.08281951650806207,9.75329848297406,0.043148520024260506
3,x,7,"['z', 'x', 'z']",1.0,normal,100000,93247,11418,20099,0,0.93247,0.12244897959183676,1.7712363699974958,0.5832834439934231
3,x,7,"['z', 'x', 'z']",0.5,normal,100000,96579,6245,11660,0,0.96579,0.0646620901024032,4.036289960989961,1.08490299602272
3,x,8,"['x', 'z', 'z']",1.0,normal,100000,75471,18164,0,0,0.75471,0.2406752262458428,3.9954041719902307,1.0166454530262854
3,x,8,"['x', 'z', 'z']",0.5,normal,100000,86917,11890,0,0,0.86917,0.13679717431572647,8.898543096001958,0.01852732800762169
3,z,2,"['z', 'x', 'x']",1.0,normal,100000,88925,9274,16698,0,0.88925,0.10429013213382066,5.840733401011676,1.2223748249816708
