n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1.0,normal,100000,69430,525,1018,0,0.6943,0.007561572807143868,3.7877707580046263,0.27128303097561
3,x,2,"['x', 'x', 'x']",0.5,normal,100000,81006,65,130,0,0.81006,0.000802409698047013,2.0890364030201454,0.24333887998363934
3,x,3,"['z', 'x', 'x']",1.0,normal,100000,88925,574,1101,0,0.88925,0.006454877705932005,2.307524736999767,0.28895438901963644
3,x,3,"['z', 'x', 'x']",0.5,normal,100000,94219,152,302,0,0.94219,0.001613262717710895,1.4426546809845604,-0.7562135589832906
3,x,4,"['x', 'z', 'x']",1.0,normal,100000,73808,10060,19108,0,0.73808,0.1362995881205289,4.317190831003245,-0.18398289801552892
3,x,4,"['x', 'z', 'x']",0.5,normal,100000,88672,5460,10701,0,0.88672,0.06157524359437028,5.617685919016367,1.3667317479848862
3,x,5,"['z', 'z', 'x']",1.0,normal,100000,100000,1141,2114,0,1.0,0.011410000000000031,0.6149356890236959,0.45699747797334567
3,x,5,"['z', 'z', 'x']",0.5,normal,100000,100000,303,590,0,1.0,0.003029999999999977,0.4290173879999202,0.33047561600687914
3,x,6,"['x', 'x', 'z']",1.0,normal,100000,79307,10297,19626,0,0.79307,0.1298372148738447,10.59941922800499,0.4063486800005194
3,x,6,"['x', 'x', 'z']",0.5,normal,100000,87632,5364,10525,0,0.87632,0.061210516706226015,7.159947742999066,4.477575269993395
3,x,7,"['z', 'x', 'z']",1.0,normal,100000,93247,11418,20099,0,0.93247,0.12244897959183676,5.625944132014411,1.1879866859817412
3,x,7,"['z', 'x', 'z']",0.5,normal,100000,96579,6245,11660,0,0.96579,0.0646620901024032,4.156126816000324,1.0907146589888725
3,x,8,"['x', 'z', 'z']",1.0,normal,100000,80673,20050,0,0,0.80673,0.24853420599209153,4.112576408981113,1.107473171025049
3,x,8,"['x', 'z', 'z']",0.5,normal,100000,84794,14923,0,0,0.84794,0.17599122579427795,9.855106474016793,-1.6103143010113854
3,z,2,"['z', 'x', 'x']",1.0,normal,100000,88925,9274,16698,0,0.88925,0.10429013213382066,6.028795356018236,1.20422894397052
3,z,2,"['z', 'x', 'x']",0.5,normal,100000,94219,5128,9760,0,0.94219,0.05442638958171919,4.37424809098593,1.0614082720130682
3,z,3,"['x', 'z', 'x']",1.0,normal,100000,70518,9214,17726,0,0.70518,0.13066167503332482,4.836662240006262,1.2448062589974143
3,z,3,"['x', 'z', 'x']",0.5,normal,100000,78738,4536,8823,0,0.78738,0.057608778480530365,10.119986825011438,-6.7909862230008
3,z,4,"['z', 'z', 'x']",1.0,normal,100000,100000,646,1231,0,1.0,0.006460000000000021,0.21225379800307564,0.08334635099163279
3,z,4,"['z', 'z', 'x']",0.5,normal,100000,100000,182,357,0,1.0,0.0018200000000000438,0.17939076098264195,0.06860893699922599
3,z,5,"['x', 'x', 'z']",1.0,normal,100000,76899,9292,17798,0,0.76899,0.12083382098596862,3.0988459729996976,0.5669055330217816
3,z,5,"['x', 'x', 'z']",0.5,normal,100000,84678,4491,8896,0,0.84678,0.053036207751718245,5.52948275898234,-2.0666034979803953
3,z,6,"['z', 'x', 'z']",1.0,normal,100000,93247,588,1134,0,0.93247,0.006305832895428298,1.9333624729770236,0.27867715901811607
3,z,6,"['z', 'x', 'z']",0.5,normal,100000,96579,164,329,0,0.96579,0.001698091717661221,1.2616373139899224,0.16957227801322006
3,z,7,"['x', 'z', 'z']",1.0,normal,100000,76181,558,1065,0,0.76181,0.007324661004712407,2.972708635003073,-0.8557198200142011
3,z,7,"['x', 'z', 'z']",0.5,normal,100000,90199,116,227,0,0.90199,0.001286045299837002,1.5494294999807607,0.10600173703278415
3,z,8,"['z', 'z', 'z']",1.0,normal,100000,68372,2,4,0,0.68372,2.925174047851975e-05,0.2597269540128764,-0.0012891989899799228
3,z,8,"['z', 'z', 'z']",0.5,normal,100000,89452,0,0,0,0.89452,0.0,0.03257983797811903,0.004592417011735961
3,x,2,"['x', 'x', 'x']",1.0,m1,100000,79641,778,1483,0,0.79641,0.009768837658994722,0.8716767510049976,0.12354859497281723
3,x,2,"['x', 'x', 'x']",0.5,m1,100000,82620,102,195,0,0.8262,0.0012345679012345512,0.45254134701099247,0.09586361300898716
3,x,3,"['z', 'x', 'x']",1.0,m1,100000,89520,342,669,0,0.8952,0.003820375335120696,0.2829564109852072,0.10359481503837742
3,x,3,"['z', 'x', 'x']",0.5,m1,100000,95536,90,181,0,0.95536,0.0009420532574108131,0.21705563997966237,0.011632510024355724
3,x,4,"['x', 'z', 'x']",1.0,m1,100000,68927,7850,15177,0,0.68927,0.1138886067868905,1.0979063730046619,0.16120012500323355
3,x,4,"['x', 'z', 'x']",0.5,m1,100000,88736,5182,10197,0,0.88736,0.05839794446447888,1.3500867949915119,0.3106518129934557
3,x,5,"['z', 'z', 'x']",1.0,m1,100000,100000,416,799,0,1.0,0.0041600000000000525,0.0409794159932062,0.01511205401038751
3,x,5,"['z', 'z', 'x']",0.5,m1,100000,100000,122,235,0,1.0,0.0012199999999999989,0.046876335982233286,0.02078950303257443
3,x,6,"['x', 'x', 'z']",1.0,m1,100000,78900,8828,16625,0,0.789,0.11188846641318129,3.7799125320161693,-1.9478863720141817
3,x,6,"['x', 'x', 'z']",0.5,m1,100000,82911,4768,9226,0,0.82911,0.05750744774517258,1.1353579660062678,0.18771102698519826
3,x,7,"['z', 'x', 'z']",1.0,m1,100000,87262,5908,11011,0,0.87262,0.06770415530242258,0.7910891390056349,0.12177775497548282
3,x,7,"['z', 'x', 'z']",0.5,m1,100000,94895,3421,6630,0,0.94895,0.03605037146319612,0.5870295389904641,0.0845102600287646
3,x,8,"['x', 'z', 'z']",1.0,m1,100000,68256,13749,0,0,0.68256,0.201432841068917,4.037023887998657,-1.9346703080227599
3,x,8,"['x', 'z', 'z']",0.5,m1,100000,88648,13818,0,0,0.88648,0.15587492103600753,2.2436763799923938,0.05208600900368765
3,z,2,"['z', 'x', 'x']",1.0,m1,100000,90948,8465,15392,0,0.90948,0.09307516382988079,0.8199363430030644,0.12321142200380564
3,z,2,"['z', 'x', 'x']",0.5,m1,100000,93502,3276,6329,0,0.93502,0.0350366837073004,0.6122145450208336,0.08638669998617843
3,z,3,"['x', 'z', 'x']",1.0,m1,100000,74358,8034,15321,0,0.74358,0.10804486403614944,2.895522806007648,-1.570940755016636
3,z,3,"['x', 'z', 'x']",0.5,m1,100000,84480,6434,12432,0,0.8448,0.07616003787878789,2.5741421779966913,-0.8900287199940067
3,z,4,"['z', 'z', 'x']",1.0,m1,100000,100000,418,804,0,1.0,0.0041799999999999615,0.022992013982729986,0.009437007014639676
3,z,4,"['z', 'z', 'x']",0.5,m1,100000,100000,104,208,0,1.0,0.001040000000000041,0.020051178988069296,0.0027446490130387247
3,z,5,"['x', 'x', 'z']",1.0,m1,100000,71281,7916,15431,0,0.71281,0.11105343639960152,0.9342889449908398,0.09720038500381634
3,z,5,"['x', 'x', 'z']",0.5,m1,100000,81522,4647,9162,0,0.81522,0.05700301759034376,0.5957252720254473,0.12330444395774975
3,z,6,"['z', 'x', 'z']",1.0,m1,100000,93029,509,970,0,0.93029,0.005471412140300336,0.32367495298967697,0.04624771702219732
3,z,6,"['z', 'x', 'z']",0.5,m1,100000,95229,95,184,0,0.95229,0.0009975952703483726,0.19945872799144126,0.027502931014169008
3,z,7,"['x', 'z', 'z']",1.0,m1,100000,85621,875,1644,0,0.85621,0.010219455507410546,0.7627653939998709,-0.2261325970175676
3,z,7,"['x', 'z', 'z']",0.5,m1,100000,84286,150,293,0,0.84286,0.0017796549842203913,0.5060056590009481,-0.2091039369988721
3,z,8,"['z', 'z', 'z']",1.0,m1,100000,63828,0,0,0,0.63828,0.0,0.20973107099416666,0.002794745989376679
3,z,8,"['z', 'z', 'z']",0.5,m1,100000,84304,0,0,0,0.84304,0.0,0.04475036798976362,-0.009513897995930165
3,x,2,"['x', 'x', 'x']",1.0,m2,100000,78432,764,1452,11160,0.8828455650607834,0.009740922072623448,0.14934369100956246,0.04656695798621513
3,x,2,"['x', 'x', 'x']",0.5,m2,100000,82518,90,179,8450,0.9013435281267067,0.0010906711262996804,0.24032918000011705,0.086243238998577
3,x,3,"['z', 'x', 'x']",1.0,m2,100000,90672,480,920,9328,1.0,0.0052938062466914015,0.10099949102732353,0.05549458396853879
3,x,3,"['z', 'x', 'x']",0.5,m2,100000,94884,106,212,5116,1.0,0.0011171535769992635,0.0664185959903989,0.03213252601562999
3,x,4,"['x', 'z', 'x']",1.0,m2,100000,76702,8210,16061,11388,0.8655938247641403,0.10703762613751922,1.761791554017691,0.37164641497656703
3,x,4,"['x', 'z', 'x']",0.5,m2,100000,91018,7204,14109,4584,0.9539071015343339,0.07914917928321874,1.1477413509855978,0.6032876590033993
3,x,5,"['z', 'z', 'x']",1.0,m2,100000,100000,416,799,0,1.0,0.0041600000000000525,0.04038443398894742,0.014449842012254521
3,x,5,"['z', 'z', 'x']",0.5,m2,100000,100000,122,235,0,1.0,0.0012199999999999989,0.03687985998112708,0.010827237012563273
3,x,6,"['x', 'x', 'z']",1.0,m2,100000,71536,10580,19172,15400,0.8455791962174941,0.14789756206665172,2.297643607016653,-0.1642795700172428
3,x,6,"['x', 'x', 'z']",0.5,m2,100000,89156,7491,14310,5170,0.9401666139407361,0.0840212660953834,0.6814900210010819,0.9733836730010808
3,x,7,"['z', 'x', 'z']",1.0,m2,100000,90033,6369,11828,9967,1.0,0.07074072839958678,0.2559983999817632,0.13269740602117963
3,x,7,"['z', 'x', 'z']",0.5,m2,100000,96805,4390,8413,3195,1.0,0.04534889726770308,0.23723387499921955,0.11983149001025595
3,x,8,"['x', 'z', 'z']",1.0,m2,100000,68684,13496,0,15685,0.8146118721461187,0.19649408887077047,2.842370084981667,-1.135243028984405
3,x,8,"['x', 'z', 'z']",0.5,m2,100000,79014,6457,0,10665,0.8844685733475122,0.08171969524388079,1.7591894829820376,0.07840588901308365
3,z,2,"['z', 'x', 'x']",1.0,m2,100000,89686,7857,14446,10314,1.0,0.08760564636621104,0.10661354201147333,0.04553256099461578
3,z,2,"['z', 'x', 'x']",0.5,m2,100000,94648,3936,7536,5352,1.0,0.04158566477897052,0.27005714998813346,0.10815735600772314
3,z,3,"['x', 'z', 'x']",1.0,m2,100000,78998,11706,21750,10793,0.8855583082045131,0.1481809666067495,1.8916094740270637,0.057316457969136536
3,z,3,"['x', 'z', 'x']",0.5,m2,100000,84572,6492,12339,7980,0.9190610736796349,0.07676299484462945,2.375939173012739,-0.7439075210131705
3,z,4,"['z', 'z', 'x']",1.0,m2,100000,100000,418,804,0,1.0,0.0041799999999999615,0.05747149701346643,0.018072026985464618
3,z,4,"['z', 'z', 'x']",0.5,m2,100000,100000,104,208,0,1.0,0.001040000000000041,0.04815706700901501,0.01520632897154428
3,z,5,"['x', 'x', 'z']",1.0,m2,100000,79196,12800,24772,10929,0.8891333879713936,0.1616243244608313,2.319714837009087,-1.0425448070163839
3,z,5,"['x', 'x', 'z']",0.5,m2,100000,82959,4626,9136,8450,0.9061605679956308,0.05576248508299275,1.7322559040039778,-0.5379113980161492
3,z,6,"['z', 'x', 'z']",1.0,m2,100000,90725,364,703,9275,1.0,0.004012124552218221,0.19386273599229753,0.05275660098413937
3,z,6,"['z', 'x', 'z']",0.5,m2,100000,95046,78,155,4954,1.0,0.0008206552616627505,0.10403635900001973,0.024404712981777266
3,z,7,"['x', 'z', 'z']",1.0,m2,100000,68684,271,530,15685,0.8146118721461187,0.003945605963543208,0.21169345400994644,-0.0027280080248601735
