n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,2,"['x', 'x', 'x', 'x']",1.0,normal,3985830,1000000,1000000,41,80,0,1.0,4.099999999995774e-05,150.99257512501208,72.23836260300595
4,x,2,"['x', 'x', 'x', 'x']",0.1,normal,1176998,1000000,1000000,0,0,0,1.0,0.0,59.333212161960546,-16.178022637963295
4,x,3,"['z', 'x', 'x', 'x']",1.0,normal,2345085,1000000,1000000,56,111,0,1.0,5.599999999994498e-05,225.49140592000913,-16.21334671904333
4,x,3,"['z', 'x', 'x', 'x']",0.1,normal,1083506,1000000,1000000,0,0,0,1.0,0.0,46.19147514196811,13.610229661047924
4,x,4,"['x', 'z', 'x', 'x']",1.0,normal,3400910,1000000,1000000,14332,27344,0,1.0,0.014332000000000011,547.8814963190234,195.36770673200954
4,x,4,"['x', 'z', 'x', 'x']",0.1,normal,1142870,1000000,1000000,145,288,0,1.0,0.00014499999999995072,361.9535012579872,369.1879608660238
4,x,5,"['z', 'z', 'x', 'x']",1.0,normal,3459022,1000000,1000000,16939,27442,0,1.0,0.016939000000000037,362.7192093349877,52.48233387398068
4,x,5,"['z', 'z', 'x', 'x']",0.1,normal,1330595,1000000,1000000,4,7,0,1.0,4.000000000004e-06,112.59354235802311,29.871853886987083
4,x,6,"['x', 'x', 'z', 'x']",1.0,normal,3202576,1000000,1000000,20422,38855,0,1.0,0.02042200000000005,573.7629755269736,173.87866403505905
4,x,6,"['x', 'x', 'z', 'x']",0.1,normal,1145114,1000000,1000000,244,488,0,1.0,0.00024400000000002198,574.6291150730103,33.52264273300534
4,x,7,"['z', 'x', 'z', 'x']",1.0,normal,1678660,1000000,1000000,36614,68015,0,1.0,0.036614000000000035,348.7561253790045,269.31537679204484
4,x,7,"['z', 'x', 'z', 'x']",0.1,normal,1065682,1000000,1000000,473,940,0,1.0,0.0004729999999999457,435.71132957201917,196.86494150198996
4,x,8,"['x', 'z', 'z', 'x']",1.0,normal,3705210,1000000,1000000,257551,464664,0,1.0,0.257551,559.0360876340419,55.27632040093886
4,x,8,"['x', 'z', 'z', 'x']",0.1,normal,1162389,1000000,1000000,24854,48923,0,1.0,0.024854000000000043,452.16795229399577,173.07968966301996
4,x,9,"['z', 'z', 'z', 'x']",1.0,normal,1000000,1000000,1000000,11172,17878,0,1.0,0.01117199999999996,228.67722575401422,34.27444105694303
4,x,9,"['z', 'z', 'z', 'x']",0.1,normal,1000000,1000000,1000000,4,7,0,1.0,4.000000000004e-06,67.95697319804458,65.38322846399387
4,x,10,"['x', 'x', 'x', 'z']",1.0,normal,2658702,1000000,1000000,24230,44713,0,1.0,0.024229999999999974,554.6017990589608,62.125494392064866
4,x,10,"['x', 'x', 'x', 'z']",0.1,normal,1114372,1000000,1000000,261,520,0,1.0,0.0002609999999999557,360.95758851099527,178.4507659659721
4,x,11,"['z', 'x', 'x', 'z']",1.0,normal,2010259,1000000,1000000,25800,47021,0,1.0,0.025800000000000045,379.9130052549881,239.8326618099818
4,x,11,"['z', 'x', 'x', 'z']",0.1,normal,1082585,1000000,1000000,341,674,0,1.0,0.0003410000000000357,305.15467694902327,143.14562249998562
4,x,12,"['x', 'z', 'x', 'z']",1.0,normal,2556182,1000000,1000000,233498,437808,0,1.0,0.23349799999999998,453.77678765699966,99.35503894498106
4,x,12,"['x', 'z', 'x', 'z']",0.1,normal,1126506,1000000,1000000,35382,70079,0,1.0,0.035382000000000025,574.581172522041,178.7449322209577
4,x,13,"['z', 'z', 'x', 'z']",1.0,normal,1407887,1000000,1000000,89661,136260,0,1.0,0.08966099999999999,482.65809677698417,176.23466750298394
4,x,13,"['z', 'z', 'x', 'z']",0.1,normal,1040308,1000000,1000000,1726,3333,0,1.0,0.0017260000000000053,510.2939910349669,49.94008515303722
4,x,14,"['x', 'x', 'z', 'z']",1.0,normal,3175465,1000000,1000000,266930,469203,0,1.0,0.26693,573.0028067179956,169.87087254197104
4,x,14,"['x', 'x', 'z', 'z']",0.1,normal,1129409,1000000,1000000,34036,67029,0,1.0,0.034035999999999955,575.4041744249989,178.60057892103214
4,x,15,"['z', 'x', 'z', 'z']",1.0,normal,1445360,1000000,1000000,287520,411573,0,1.0,0.28752,433.478473418043,339.9656219899771
4,x,15,"['z', 'x', 'z', 'z']",0.1,normal,1040972,1000000,1000000,34580,66899,0,1.0,0.034580000000000055,399.47045938303927,53.80345855397172
4,x,16,"['x', 'z', 'z', 'z']",1.0,normal,2037259,1000000,1000000,415834,0,0,1.0,0.41583400000000004,485.3489080950385,186.61664569092682
4,x,16,"['x', 'z', 'z', 'z']",0.1,normal,1080469,1000000,1000000,87425,0,0,1.0,0.08742499999999997,404.0222971710027,235.1001934420201
4,z,2,"['z', 'x', 'x', 'x']",1.0,normal,2178292,1000000,1000000,211526,334783,0,1.0,0.211526,477.7903210290242,-48.96012481802609
4,z,2,"['z', 'x', 'x', 'x']",0.1,normal,1104564,1000000,1000000,27530,53446,0,1.0,0.027530000000000054,317.3062556880177,266.0456210039556
4,z,3,"['x', 'z', 'x', 'x']",1.0,normal,3216023,1000000,1000000,250623,435906,0,1.0,0.25062300000000004,575.7336072979961,179.1560869840323
4,z,3,"['x', 'z', 'x', 'x']",0.1,normal,1137459,1000000,1000000,31464,61867,0,1.0,0.03146400000000005,501.0658140510204,52.99069116398459
