n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.8,m2,0,50000,5,0,0,48950,0.004761904761904762,0.0,0,0.3184288269840181
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.5,m2,0,50000,24370,0,0,14936,0.695014830025097,0.0,0,16.158001312986016
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,m2,0,50000,7783,0,0,31637,0.4238414202472363,0.0,0,5.249984863214195
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.1,m2,0,50000,43214,0,0,3518,0.929693214577686,0.0,0,11.478514558868483
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.3,m2,0,50000,10868,0,0,32053,0.6055608179640051,0.0,0,12.666617525974289
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.8,m2,0,50000,3494,0,0,28059,0.15924524862130257,0.0,0,5.823848865926266
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.3,m2,0,50000,1,0,0,47699,0.000434593654932638,0.0,0,0.3566167999524623
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.5,m2,0,50000,46,0,0,42560,0.006182795698924731,0.0,0,1.5269716519396752
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,m2,0,50000,4113,0,0,27122,0.17977970102281668,0.0,0,5.339683891041204
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.3,m2,0,50000,12972,0,0,20701,0.44274548619406806,0.0,0,6.829275548923761
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.5,m2,0,50000,0,0,0,48253,0.0,1,0,0.2382905720733106
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,m2,0,50000,0,0,0,49154,0.0,1,0,0.1059122912120074
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.8,m2,0,50000,7,0,0,40928,0.0007716049382716049,0.0,0,1.1079407529905438
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.1,m2,0,50000,37298,0,0,3905,0.8091550059659399,0.0,0,7.91733990306966
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.1,m2,0,50000,28979,0,0,7408,0.6803859879789632,0.0,0,6.704048532061279
