n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,20,16,1.0,0.0,0.0,0,0,0,0,0.0022422780002671
3,x,3,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,1,0,12,12,8,1.0,0.0,0.0,0,0,0,0,0.0027728559998649
3,x,4,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,12,16,1.0,0.0,0.0,0,0,0,0,0.0102632930011168
3,x,5,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,2,-1,4,4,0,1.0,0.0,0.0,0,0,0,0,0.0024814890002744
3,x,6,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,12,16,1.0,0.0,0.0,0,0,0,0,0.0116939390009065
3,x,7,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,1,0,12,4,8,1.0,0.0,0.0,0,0,0,0,0.0125825699997221
3,x,8,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,4,16,1.0,0.0,0.0,0,0,0,0,0.0121036349992209
3,z,2,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,1,0,12,12,8,1.0,0.0,0.0,0,0,0,0,0.0130909100007556
3,z,3,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,12,16,1.0,0.0,0.0,0,0,0,0,0.0115967159999854
3,z,4,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,2,-1,4,4,0,1.0,0.0,0.0,0,0,0,0,0.0024508469996362
3,z,5,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,12,16,1.0,0.0,0.0,0,0,0,0,0.0100495449987647
3,z,6,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,1,0,12,4,8,1.0,0.0,0.0,0,0,0,0,0.0024936319987318
3,z,7,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,4,16,1.0,0.0,0.0,0,0,0,0,0.0020638280002458
3,z,8,0.0,m2,100,1.0,100,0.0,1.0,1,0.0,,0.0,,0.0,,0,1,20,-4,16,1.0,0.0,0.0,0,0,0,0,0.0002006439990509
4,x,2,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,56,48,1.0,0.0,0.0,0,0,0,0,0.0453523130308894
4,x,2,0.1,m2,13500000,0.9343070808220423,12167304,0.0,0.8985947333333333,45,0.003554588529221907,0.012165767729665076,0.0,0.0,0.0040767538530274774,0.013952906239138205,0,2,56,56,48,0.9823523384615385,0.0008500626483166871,0.0,0,514719,0,0,61.79604391625253
4,x,2,0.3,m2,13500000,0.8037868607552053,9547605,5.833341858163517e-07,0.7145327888888889,45,0.00830369542282368,0.0284198379028892,4.512542552070427e-07,1.5444416170086519e-06,0.010097019894154144,0.034557586000249586,0,2,56,56,48,0.9486452512820512,0.002878998147258496,0.0,19,1492417,0,0,145.75318623411295
4,x,2,0.5,m2,13500000,0.7052767539295651,7911811,4.3629588697047985e-06,0.5785098444444444,45,0.008492954104602279,0.02906758577705595,1.8668997245023112e-06,6.389563302800201e-06,0.01151227810746821,0.039401382281910535,0,2,56,56,48,0.9170835076923077,0.006121739602365237,0.0,70,2237940,0,0,247.58355418593055
4,x,2,0.8,m2,13500000,0.5709550271530591,5649316,2.7050550305733535e-05,0.4273603222222222,45,0.01412074906574771,0.04832901245545183,6.499910605719213e-06,2.2246288717438764e-05,0.013155011710533451,0.04502372514728355,0,2,56,56,48,0.8838080923076924,0.005511090438048829,6.0,270,3521706,0,0,376.11141826609673
4,x,2,1.0,m2,13500000,0.48389819216319574,4605975,5.659331646631914e-05,0.3322793777777778,45,0.013482429106218963,0.046144328545909184,1.1962643607053342e-05,4.0942782085675344e-05,0.01070410333426778,0.036635361265721804,0,2,56,56,48,0.8556012512820512,0.006275590480665952,16.0,636,4218892,0,0,482.96352149749873
4,x,3,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,40,32,1.0,0.0,0.0,0,0,0,0,0.0377179000970499
4,x,3,0.1,m2,13500000,0.9725570904885106,12751401,0.0,0.9429854666666666,45,0.0013398888262299085,0.004585840557769101,0.0,0.0,0.0021767520306931196,0.007450049251209986,1,1,40,40,32,0.9898620296296295,0.00046094255777802,0.0,0,399452,0,0,99.23329033715345
4,x,3,0.3,m2,13500000,0.917101186499573,11363943,4.098357962382263e-07,0.8358793222222223,45,0.00430558312607262,0.014736086560215961,3.2447504592942784e-07,1.1105330505620926e-06,0.00654972576863929,0.022416783754070687,1,1,40,40,32,0.9704422222222222,0.0013471173715136646,0.0,22,1167387,0,0,236.15933139577464
4,x,3,0.5,m2,13500000,0.8759359169246609,10112928,6.872194030163396e-06,0.7517871555555555,45,0.00603637342213479,0.020659808126734323,1.7765859015628312e-06,6.080459454738124e-06,0.009127055062085948,0.031237829928379198,1,1,40,40,32,0.9526685703703704,0.001943095759994804,2.0,129,1937299,0,0,332.01320264792594
4,x,3,0.8,m2,13500000,0.7970916080024212,8603111,4.3450331524566594e-05,0.6261254777777777,45,0.0074042220933010225,0.02534134273641869,7.42771717739264e-06,2.5421755907591034e-05,0.009308513062923632,0.03185887955838064,1,1,40,40,32,0.9284528444444444,0.002579761075704345,10.0,688,2803449,0,0,510.7782893099866
4,x,3,1.0,m2,13500000,0.7646359397110776,7595259,0.00010219499217752909,0.5705514222222222,45,0.00954045410321735,0.03265271006787366,1.3280161500458397e-05,4.545205693959273e-05,0.010785781362084766,0.03691490864704869,1,1,40,40,32,0.9152836962962964,0.0026476476300434913,44.0,1479,3526556,0,0,630.8746768589845
4,x,4,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,40,48,1.0,0.0,0.0,0,0,0,0,0.0370071660836401
4,x,5,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,24,24,16,1.0,0.0,0.0,0,0,0,0,0.03691727210753
4,x,5,0.1,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,4,-2,-8,24,-16,1.0,0.0,0.0,0,0,0,0,1.4233811849844642
4,x,5,0.3,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,4,-2,-8,24,-16,1.0,0.0,0.0,0,0,0,0,0.9294279969763012
4,x,5,0.5,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,4,-2,-8,24,-16,1.0,0.0,0.0,0,0,0,0,0.8233386169886217
4,x,5,0.8,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,4,-2,-8,24,-16,1.0,0.0,0.0,0,0,0,0,0.6150525459670462
4,x,5,1.0,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,4,-2,-8,24,-16,1.0,0.0,0.0,0,0,0,0,0.6182367830188014
4,x,6,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,40,48,1.0,0.0,0.0,0,0,0,0,0.1482710620912257
4,x,7,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,24,32,1.0,0.0,0.0,0,0,0,0,0.043535278940908
4,x,8,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,24,48,1.0,0.0,0.0,0,0,0,0,0.0377302748493092
4,x,9,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,0.0,0,0,0,0,0.0341926010096357
4,x,10,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,40,48,1.0,0.0,0.0,0,0,0,0,0.036884195138554704
4,x,11,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,24,32,1.0,0.0,0.0,0,0,0,0,0.0423858311587537
4,x,12,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,24,48,1.0,0.0,0.0,0,0,0,0,0.0448644979387608
4,x,13,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,24,8,16,1.0,0.0,0.0,0,0,0,0,0.0454197550170647
4,x,14,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,24,48,1.0,0.0,0.0,0,0,0,0,0.041531842860422205
4,x,15,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,8,32,1.0,0.0,0.0,0,0,0,0,0.0416302641770016
4,x,16,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,8,48,1.0,0.0,0.0,0,0,0,0,0.0430145021000498
4,z,2,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,40,32,1.0,0.0,0.0,0,0,0,0,0.0448559429933084
4,z,3,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,40,48,1.0,0.0,0.0,0,0,0,0,0.0411012999265948
4,z,4,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,24,24,16,1.0,0.0,0.0,0,0,0,0,0.042130802006795295
4,z,5,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,40,48,1.0,0.0,0.0,0,0,0,0,0.0402974509979684
4,z,6,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,24,32,1.0,0.0,0.0,0,0,0,0,0.0437105170203721
4,z,7,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,24,48,1.0,0.0,0.0,0,0,0,0,0.0395356900244222
4,z,8,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,0.0,0,0,0,0,0.0350923270307247
4,z,9,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,40,48,1.0,0.0,0.0,0,0,0,0,0.0364796999238023
4,z,10,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,24,32,1.0,0.0,0.0,0,0,0,0,0.0413022139873645
4,z,11,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,24,48,1.0,0.0,0.0,0,0,0,0,0.0367652079476101
4,z,12,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,24,8,16,1.0,0.0,0.0,0,0,0,0,0.0344064920736854
4,z,13,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,24,48,1.0,0.0,0.0,0,0,0,0,0.0391362498612579
4,z,14,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,8,32,1.0,0.0,0.0,0,0,0,0,0.0351041329649887
4,z,15,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,8,48,1.0,0.0,0.0,0,0,0,0,0.033753664984033
4,z,16,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,-8,48,1.0,0.0,0.0,0,0,0,0,0.0004933350664941001
5,x,2,0.0,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,0,3,144,144,128,1.0,0.0,0.0,0,0,0,0,0.3288608719885815
