n,lstate,i,meas_type,p_error,sim_type,decoder_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,5,"['z', 'z', 'x']",0.1,normal,val,0,1000000,1000000,376223,354694,0,1.0,0.376223,0,1.7827014250215143
3,x,5,"['z', 'z', 'x']",0.1,normal,anqi,0,1000000,1000000,376712,0,0,1.0,0.37671200000000005,0,1.8050332580460235
3,x,3,"['z', 'x', 'x']",0.1,normal,anqi,0,1000000,264332,102366,0,0,0.264332,0.38726298745516996,0,21.297271362971514
3,x,3,"['z', 'x', 'x']",0.1,normal,val,0,1000000,264332,102388,124649,0,0.264332,0.38734621612214937,0,21.24262096401071
3,x,3,"['z', 'x', 'x']",0.05,normal,val,0,1000000,349718,58664,83201,0,0.349718,0.1677465843908521,0,20.555735189002007
3,x,3,"['z', 'x', 'x']",0.05,normal,anqi,0,1000000,349718,58835,0,0,0.349718,0.16823554978582744,0,20.54683866898995
3,x,2,"['x', 'x', 'x']",0.05,normal,val,0,1000000,106259,10118,15403,0,0.106259,0.09522016958563506,0,28.005331523017958
3,x,5,"['z', 'z', 'x']",0.05,normal,val,0,1000000,1000000,198323,249034,0,1.0,0.19832300000000003,0,1.6773093129741028
3,x,5,"['z', 'z', 'x']",0.05,normal,anqi,0,1000000,1000000,198412,0,0,1.0,0.19841200000000003,0,1.6992745529860258
3,x,2,"['x', 'x', 'x']",0.1,normal,anqi,0,1000000,37686,13791,0,0,0.037686,0.36594491323037737,0,43.38427108398173
3,x,2,"['x', 'x', 'x']",0.05,normal,anqi,0,1000000,106259,10222,0,0,0.106259,0.09619891020995863,0,46.32767236302607
3,x,3,"['z', 'x', 'x']",0.01,normal,val,0,1000000,740368,5672,10413,0,0.740368,0.007661055042897602,0,9.607462401967496
3,x,2,"['x', 'x', 'x']",0.01,normal,val,0,1000000,605244,1861,3608,0,0.605244,0.003074792976055951,0,17.470884190988727
3,x,3,"['z', 'x', 'x']",0.01,normal,anqi,0,1000000,740368,5641,0,0,0.740368,0.007619183973375354,0,3.6603121949592605
3,x,5,"['z', 'z', 'x']",0.01,normal,anqi,0,1000000,1000000,16231,0,0,1.0,0.016230999999999995,0,0.6058352050022222
3,x,2,"['x', 'x', 'x']",0.01,normal,anqi,0,1000000,605244,1849,0,0,0.605244,0.0030549662615407813,0,17.577429983008187
3,x,5,"['z', 'z', 'x']",0.01,normal,val,0,1000000,1000000,16166,29124,0,1.0,0.016166000000000014,0,1.6785114409867674
3,x,2,"['x', 'x', 'x']",0.005,normal,val,0,1000000,776074,584,1150,0,0.776074,0.0007525055600368091,0,3.322710306965746
3,x,3,"['z', 'x', 'x']",0.005,normal,anqi,0,1000000,854291,1568,0,0,0.854291,0.0018354401486144756,0,2.2933866339735687
3,x,4,"['x', 'z', 'x']",0.01,normal,val,0,1000000,600109,62946,114444,0,0.600109,0.10489094481169259,0,17.496078858035617
3,x,3,"['z', 'x', 'x']",0.005,normal,val,0,1000000,854291,1582,3067,0,0.854291,0.0018518280070842774,0,6.408083718037233
3,x,2,"['x', 'x', 'x']",0.005,normal,anqi,0,1000000,776074,596,0,0,0.776074,0.0007679680030512337,0,9.219403862021863
3,x,5,"['z', 'z', 'x']",0.005,normal,val,0,1000000,1000000,4489,8514,0,1.0,0.004488999999999965,0,1.4851424350054003
3,x,5,"['z', 'z', 'x']",0.005,normal,anqi,0,1000000,1000000,4443,0,0,1.0,0.004442999999999975,0,1.4188013640232384
3,x,2,"['x', 'x', 'x']",0.0001,normal,val,0,1000000,994925,0,0,0,0.994925,0.0,0,1.358763104013633
3,x,4,"['x', 'z', 'x']",0.005,normal,val,0,1000000,763300,37568,71424,0,0.7633,0.049217869775972756,0,12.189391700958367
