n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,m2,0,1000000,163119,0,0,628680,0.43929494775395883,0.0,0,197.73176051815972
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0001,m2,0,1000000,981790,0,0,10459,0.9921670754420484,0.0,0,27.309707666980103
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0005,m2,0,1000000,911734,0,0,51493,0.9612306498528741,0.0,0,54.132195722078905
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.001,m2,0,1000000,831137,0,0,100188,0.9236785017314728,0.0,0,54.2923867511563
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,m2,0,1000000,74103,0,0,629360,0.1999325491042521,0.0,0,92.00269470806234
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,m2,0,1000000,399488,0,0,400964,0.6668847949038121,0.0,0,184.3339029571507
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,m2,0,1000000,34088,0,0,628815,0.09183560758112531,0.0,0,73.2061111619696
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,m2,0,1000000,182283,0,0,401373,0.3045018016227133,0.0,0,143.8439408778213
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.001,m2,0,1000000,768015,0,0,100117,0.8534609499234901,0.0,0,64.49396922579035
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0001,m2,0,1000000,973907,0,0,10495,0.9842365627258074,0.0,0,25.261218440020457
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0005,m2,0,1000000,876296,0,0,51447,0.9238239718813814,0.0,0,40.66329748998396
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,m2,0,1000000,269499,0,0,401381,0.45020121312554395,0.0,0,115.45576576609164
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0001,m2,0,1000000,966367,0,0,10542,0.9766629811472544,0.0,0,20.734354476910084
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.001,m2,0,1000000,709841,0,0,99887,0.788613207452842,0.0,0,50.929451077012345
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0005,m2,0,1000000,842515,0,0,51331,0.8881021726229064,0.0,0,32.57344276201911
