n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,0.01,m1,0,1000000,1000000,251,460,0,1.0,0.000251,0,4.416513402946293,"['z', 'z', 'z', 'x']"
4,x,3,0.01,m2,0,1000000,402219,9,16,391967,0.6615085036502953,2.2375869861979147e-05,0,27.837652697926387,"['z', 'x', 'x', 'x']"
4,x,9,0.01,normal,0,1000000,1000000,822,1453,0,1.0,0.0008219999999999,0,136.45068451180123,"['z', 'z', 'z', 'x']"
4,x,5,0.01,m1,0,1000000,607314,50,88,0,0.607314,8.232973387733988e-05,0,29.59749626996927,"['z', 'z', 'x', 'x']"
4,x,5,0.01,m2,0,1000000,607314,50,88,392686,1.0,8.232973387733988e-05,0,4.789297328097746,"['z', 'z', 'x', 'x']"
4,x,2,0.01,m2,0,1000000,271926,4,7,391882,0.4471599261985338,1.4709884306740584e-05,0,24.71684731496498,"['x', 'x', 'x', 'x']"
4,x,2,0.01,m1,0,1000000,271926,4,7,0,0.271926,1.4709884306740584e-05,0,38.1164680859074,"['x', 'x', 'x', 'x']"
4,x,3,0.01,m1,0,1000000,402219,9,16,0,0.402219,2.2375869861979147e-05,0,68.82638896815479,"['z', 'x', 'x', 'x']"
4,x,3,0.01,normal,0,1000000,340020,8,14,0,0.34002,2.3528027763064507e-05,0,126.84485860401765,"['z', 'x', 'x', 'x']"
4,x,9,0.01,m2,0,1000000,1000000,251,460,0,1.0,0.000251,0,2.0828670479822904,"['z', 'z', 'z', 'x']"
4,x,5,0.01,normal,0,1000000,523862,87,160,0,0.523862,0.0001660742714684,0,83.81713684787974,"['z', 'z', 'x', 'x']"
4,x,2,0.01,normal,0,1000000,229711,1,2,0,0.229711,4.353296098158488e-06,0,73.26504319999367,"['x', 'x', 'x', 'x']"
