n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,2,"['x', 'x', 'x', 'x']",0.001,normal,0,1000000,718940,0,0,0,0.71894,0.0,0,123.1372913410014
4,x,9,"['z', 'z', 'z', 'x']",0.005,normal,0,1000000,1000000,102,194,0,1.0,0.0001020000000000465,0,173.71122248400934
4,x,3,"['z', 'x', 'x', 'x']",0.001,normal,0,1000000,789832,0,1,0,0.789832,0.0,0,184.83788686298067
4,x,5,"['z', 'z', 'x', 'x']",0.001,normal,0,1000000,869037,0,1,0,0.869037,0.0,0,97.79976640199311
4,x,9,"['z', 'z', 'z', 'x']",0.01,normal,0,1000000,1000000,913,1634,0,1.0,0.0009130000000000527,0,263.4106642710103
4,x,9,"['z', 'z', 'z', 'x']",0.001,normal,0,1000000,1000000,0,1,0,1.0,0.0,0,105.46726773999399
4,x,5,"['z', 'z', 'x', 'x']",0.005,normal,0,1000000,702263,8,17,0,0.702263,1.1391743549027389e-05,0,280.8495373959886
4,x,3,"['z', 'x', 'x', 'x']",0.0005,normal,0,1000000,824235,0,1,0,0.824235,0.0,0,62.237691401998745
4,x,2,"['x', 'x', 'x', 'x']",0.01,normal,0,1000000,253590,6,12,0,0.25359,2.3660238968381542e-05,0,292.42336023499956
4,x,2,"['x', 'x', 'x', 'x']",0.005,normal,0,1000000,450767,0,1,0,0.450767,0.0,0,301.0283644910087
4,x,3,"['z', 'x', 'x', 'x']",0.005,normal,0,1000000,559812,2,3,0,0.559812,3.5726279536962835e-06,0,300.71500093399663
4,x,5,"['z', 'z', 'x', 'x']",0.01,normal,0,1000000,546679,120,217,0,0.546679,0.0002195072428243794,0,331.9044726160064
4,x,9,"['z', 'z', 'z', 'x']",0.0001,normal,0,1000000,1000000,0,0,0,1.0,0.0,0,32.08635356000741
4,x,5,"['z', 'z', 'x', 'x']",0.01,m1,0,1000000,652791,59,116,0,0.652791,9.038114802439878e-05,0,30.888277703983476
4,x,2,"['x', 'x', 'x', 'x']",0.0005,normal,0,1000000,761643,0,0,0,0.761643,0.0,0,175.33583619102137
4,x,9,"['z', 'z', 'z', 'x']",0.01,m1,0,1000000,1000000,240,452,0,1.0,0.00024000000000001798,0,4.294986966007855
4,x,5,"['z', 'z', 'x', 'x']",0.0001,normal,0,1000000,913187,0,0,0,0.913187,0.0,0,83.05072269201628
4,x,9,"['z', 'z', 'z', 'x']",0.0005,normal,0,1000000,1000000,0,0,0,1.0,0.0,0,106.03462245600531
4,x,3,"['z', 'x', 'x', 'x']",0.0001,normal,0,1000000,853012,0,0,0,0.853012,0.0,0,93.85081358699244
4,x,5,"['z', 'z', 'x', 'x']",0.0005,normal,0,1000000,893434,0,0,0,0.893434,0.0,0,132.47157613298623
4,x,9,"['z', 'z', 'z', 'x']",0.005,m1,0,1000000,1000000,26,52,0,1.0,2.599999999997049e-05,0,8.310723214002792
4,x,3,"['z', 'x', 'x', 'x']",0.005,m1,0,1000000,618585,2,4,0,0.618585,3.2331854150635664e-06,0,26.98696584100253
4,x,2,"['x', 'x', 'x', 'x']",0.01,m1,0,1000000,310061,4,8,0,0.310061,1.2900687284100876e-05,0,103.06993972900091
4,x,2,"['x', 'x', 'x', 'x']",0.001,m1,0,1000000,733393,0,0,0,0.733393,0.0,0,16.97418361902237
4,x,9,"['z', 'z', 'z', 'x']",0.001,m1,0,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,3.7845120249839965
4,x,5,"['z', 'z', 'x', 'x']",0.005,m1,0,1000000,772169,8,16,0,0.772169,1.0360426279776291e-05,0,33.11868069000775
4,x,5,"['z', 'z', 'x', 'x']",0.001,m1,0,1000000,886596,0,0,0,0.886596,0.0,0,13.539484050997999
4,x,2,"['x', 'x', 'x', 'x']",0.0005,m1,0,1000000,769237,0,0,0,0.769237,0.0,0,8.894470283994451
4,x,5,"['z', 'z', 'x', 'x']",0.0005,m1,0,1000000,902039,0,0,0,0.902039,0.0,0,6.412635818007402
4,x,9,"['z', 'z', 'z', 'x']",0.0005,m1,0,1000000,1000000,0,0,0,1.0,0.0,0,3.0926194909843616
4,x,3,"['z', 'x', 'x', 'x']",0.001,m1,0,1000000,805743,0,1,0,0.805743,0.0,0,24.730876947985962
4,x,3,"['z', 'x', 'x', 'x']",0.0005,m1,0,1000000,832635,0,0,0,0.832635,0.0,0,14.238706834003096
4,x,5,"['z', 'z', 'x', 'x']",0.0001,m1,0,1000000,915056,0,0,0,0.915056,0.0,0,4.802381069981493
4,x,9,"['z', 'z', 'z', 'x']",0.0001,m1,0,1000000,1000000,0,0,0,1.0,0.0,0,2.4140164959826507
4,x,3,"['z', 'x', 'x', 'x']",0.01,normal,0,1000000,365907,17,32,0,0.365907,4.645989281426566e-05,0,433.78960053200717
4,x,3,"['z', 'x', 'x', 'x']",0.01,m1,0,1000000,446936,15,28,0,0.446936,3.356185225622532e-05,0,98.63406176801072
4,x,3,"['z', 'x', 'x', 'x']",0.0001,m1,0,1000000,855068,0,0,0,0.855068,0.0,0,7.040242259012302
4,x,2,"['x', 'x', 'x', 'x']",0.0001,normal,0,1000000,798036,0,0,0,0.798036,0.0,0,148.2824639879982
4,x,2,"['x', 'x', 'x', 'x']",0.0001,m1,0,1000000,799712,0,0,0,0.799712,0.0,0,9.371212525991723
4,x,2,"['x', 'x', 'x', 'x']",0.005,m1,0,1000000,498323,0,1,0,0.498323,0.0,0,64.45749596398673
