n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,2,0.01,normal,0,5000000,1270596,6,11,0,0.2541192,4.722193364337102e-06,320.8766591362655,-6.62182898260653,"['x', 'x', 'x', 'x']"
4,x,3,0.01,normal,0,5000000,1832306,18,31,0,0.3664612,9.823686654919506e-06,362.9285886227153,16.338490586262196,"['z', 'x', 'x', 'x']"
4,x,4,0.01,normal,0,5000000,1155095,2904,5376,0,0.231019,0.002514078928573,481.4540725499392,33.67471226211637,"['x', 'z', 'x', 'x']"
4,x,5,0.01,normal,0,5000000,2737986,200,367,0,0.5475972,7.304639249439138e-05,303.4024525987916,-15.06657457910478,"['z', 'z', 'x', 'x']"
4,x,6,0.01,normal,0,5000000,1158609,5005,9516,0,0.2317218,0.0043198352507187,423.40503273019567,88.85634430218488,"['x', 'x', 'z', 'x']"
4,x,7,0.01,normal,0,5000000,1801465,31792,55766,0,0.360293,0.017647858826011,588.3423881330527,73.40725523792207,"['z', 'x', 'z', 'x']"
4,x,8,0.01,normal,0,5000000,1451289,246808,411704,0,0.2902578,0.1700612352191741,485.5853312248364,594.3963593859226,"['x', 'z', 'z', 'x']"
4,x,9,0.01,normal,0,5000000,5000000,1700,3085,0,1.0,0.00034,266.66611262317747,67.89759452082217,"['z', 'z', 'z', 'x']"
4,x,10,0.01,normal,0,5000000,1239596,7632,14497,0,0.2479192,0.0061568446493858,1033.1188637139276,105.63946076808496,"['x', 'x', 'x', 'z']"
4,x,11,0.01,normal,0,5000000,1757772,22476,40710,0,0.3515544,0.0127866412708815,1214.8438976872712,-556.6461654822342,"['z', 'x', 'x', 'z']"
4,x,12,0.01,normal,0,5000000,1289630,174170,312093,0,0.257926,0.1350542403635151,505.6629730039276,38.32715524500236,"['x', 'z', 'x', 'z']"
4,x,13,0.01,normal,0,5000000,3144425,106456,181885,0,0.628885,0.0338554743713079,792.9845435046591,733.2741618743166,"['z', 'z', 'x', 'z']"
4,x,14,0.01,normal,0,5000000,1259169,159133,287860,0,0.2518338,0.1263793819574655,451.45061927381903,79.05233364086598,"['x', 'x', 'z', 'z']"
4,x,15,0.01,normal,0,5000000,2312802,466391,744622,0,0.4625604,0.2016562593771538,618.0573720331304,679.7482400699519,"['z', 'x', 'z', 'z']"
4,z,2,0.01,normal,0,5000000,1832306,219929,386938,0,0.3664612,0.1200285323521289,615.2380062541924,67.20881862286478,"['z', 'x', 'x', 'x']"
4,z,3,0.01,normal,0,5000000,1155095,62316,113953,0,0.231019,0.053948809405287,470.6144971419126,22.491472586989403,"['x', 'z', 'x', 'x']"
4,z,4,0.01,normal,0,5000000,2737986,29246,53722,0,0.5475972,0.0106815739744469,647.4568363940343,118.42734550824387,"['z', 'z', 'x', 'x']"
4,z,5,0.01,normal,0,5000000,1158609,63794,108832,0,0.2317218,0.0550608531437266,472.0515776933171,13.997784476727247,"['x', 'x', 'z', 'x']"
4,z,6,0.01,normal,0,5000000,1801465,6309,11826,0,0.360293,0.0035021496393213,621.550767974928,52.892667970154434,"['z', 'x', 'z', 'x']"
4,z,7,0.01,normal,0,5000000,1451289,1976,3847,0,0.2902578,0.0013615482512442,490.7443930385634,150.56530439434573,"['x', 'z', 'z', 'x']"
4,z,8,0.01,normal,0,5000000,5000000,153,292,0,1.0,3.0599999999991745e-05,85.27656216314062,14.264982759952543,"['z', 'z', 'z', 'x']"
4,z,9,0.01,normal,0,5000000,1239596,97420,140940,0,0.2479192,0.078590121297584,484.29878466483206,-1.192181740887463,"['x', 'x', 'x', 'z']"
4,z,10,0.01,normal,0,5000000,1757772,11495,21322,0,0.3515544,0.0065395284485132,605.0771669978276,-29.66486767306924,"['z', 'x', 'x', 'z']"
4,z,11,0.01,normal,0,5000000,1289630,1125,2136,0,0.257926,0.0008723432302287,810.6223700847477,-423.308937443886,"['x', 'z', 'x', 'z']"
4,z,12,0.01,normal,0,5000000,3144425,24,48,0,0.628885,7.632556031755833e-06,179.12304112827405,11.56999421864748,"['z', 'z', 'x', 'z']"
4,z,13,0.01,normal,0,5000000,1259169,498,846,0,0.2518338,0.0003954989362031,460.670967116952,-88.71755959000438,"['x', 'x', 'z', 'z']"
4,z,14,0.01,normal,0,5000000,2312802,6,11,0,0.4625604,2.5942557988489767e-06,241.10034505603835,-2.623299981933087,"['z', 'x', 'z', 'z']"
4,z,15,0.01,normal,0,5000000,1733704,0,0,0,0.3467408,0.0,262.110937688034,-48.8360794861801,"['x', 'z', 'z', 'z']"
4,x,2,0.005,normal,0,5000000,2510649,0,0,0,0.5021298,0.0,207.8804706661031,12.877995407674462,"['x', 'x', 'x', 'x']"
4,x,3,0.005,normal,0,5000000,3015722,1,2,0,0.6031444,3.3159555157258325e-07,236.15081583801657,11.824167649261652,"['z', 'x', 'x', 'x']"
4,x,4,0.005,normal,0,5000000,2375716,1291,2514,0,0.4751432,0.0005434151220095,494.8313205973245,116.78362475568429,"['x', 'z', 'x', 'x']"
