n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",0.01,m1,0,1000000,1000000,248,452,0,1.0,0.000248000000000026,0,5.964552863966674
4,x,5,"['z', 'z', 'x', 'x']",0.01,m1,0,1000000,608477,50,94,0,0.608477,8.217237463370441e-05,0,23.826636718818918
4,x,3,"['z', 'x', 'x', 'x']",0.01,m2,0,1000000,402789,12,25,391320,0.6617418019320497,2.979227337385204e-05,0,17.71829228894785
4,x,2,"['x', 'x', 'x', 'x']",0.01,m2,0,1000000,272187,4,9,391802,0.44753024508465994,1.4695779004925136e-05,0,25.473074078094214
4,x,9,"['z', 'z', 'z', 'x']",0.01,normal,0,1000000,1000000,791,1422,0,1.0,0.0007909999999999862,0,94.23281464795582
4,x,3,"['z', 'x', 'x', 'x']",0.01,m1,0,1000000,402789,12,25,0,0.402789,2.979227337385204e-05,0,32.03868050780147
4,x,2,"['x', 'x', 'x', 'x']",0.01,m1,0,1000000,272187,4,9,0,0.272187,1.4695779004925136e-05,0,33.29636990302242
4,x,9,"['z', 'z', 'z', 'x']",0.01,m2,0,1000000,1000000,248,452,0,1.0,0.000248000000000026,0,2.6309763060417026
4,x,5,"['z', 'z', 'x', 'x']",0.01,normal,0,1000000,523772,96,171,0,0.523772,0.00018328585720506219,0,80.6770130910445
4,x,5,"['z', 'z', 'x', 'x']",0.01,m2,0,1000000,608477,50,94,391523,1.0,8.217237463370441e-05,0,2.828756154049188
4,x,3,"['z', 'x', 'x', 'x']",0.01,normal,0,1000000,339842,14,25,0,0.339842,4.119561443260977e-05,0,71.50272666593082
4,x,2,"['x', 'x', 'x', 'x']",0.01,normal,0,1000000,229032,2,5,0,0.229032,8.732404205513689e-06,0,59.20402003405616
