n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,2,0.001,m1,0,1000000,888764,0,0,0,0.888764,0.0,0,14.505664907999744,"['x', 'x', 'x', 'x']"
4,x,2,0.0001,normal,0,1000000,986407,0,0,0,0.986407,0.0,0,20.303068604000146,"['x', 'x', 'x', 'x']"
4,x,3,0.0001,normal,0,1000000,990064,0,0,0,0.990064,0.0,0,22.415978933000588,"['z', 'x', 'x', 'x']"
4,x,5,0.001,m1,0,1000000,956553,0,0,0,0.956553,0.0,0,2.6943960009994044,"['z', 'z', 'x', 'x']"
4,x,2,0.0005,m1,0,1000000,942378,0,0,0,0.942378,0.0,0,3.63511066099818,"['x', 'x', 'x', 'x']"
4,x,3,0.0005,m1,0,1000000,959927,0,0,0,0.959927,0.0,0,3.260234536999633,"['z', 'x', 'x', 'x']"
4,x,5,0.0005,m1,0,1000000,977772,0,0,0,0.977772,0.0,0,2.255935942997894,"['z', 'z', 'x', 'x']"
4,x,3,0.001,m1,0,1000000,922165,0,0,0,0.922165,0.0,0,12.370354029000737,"['z', 'x', 'x', 'x']"
4,x,2,0.0001,m1,0,1000000,988302,0,0,0,0.988302,0.0,0,1.81786568300231,"['x', 'x', 'x', 'x']"
4,x,3,0.0001,m1,0,1000000,991845,0,0,0,0.991845,0.0,0,1.6857254469978216,"['z', 'x', 'x', 'x']"
4,x,5,0.0001,m1,0,1000000,995522,0,0,0,0.995522,0.0,0,3.4794620949978707,"['z', 'z', 'x', 'x']"
4,x,5,0.0001,normal,0,1000000,993695,0,0,0,0.993695,0.0,0,46.65032166099991,"['z', 'z', 'x', 'x']"
4,x,5,0.0005,normal,0,1000000,968238,0,0,0,0.968238,0.0,0,53.70256009199875,"['z', 'z', 'x', 'x']"
4,x,5,0.001,normal,0,1000000,937234,0,0,0,0.937234,0.0,0,67.02802199300277,"['z', 'z', 'x', 'x']"
4,x,2,0.0005,normal,0,1000000,932834,0,0,0,0.932834,0.0,0,66.97145061599804,"['x', 'x', 'x', 'x']"
4,x,3,0.0005,normal,0,1000000,950310,0,0,0,0.95031,0.0,0,73.19603892700252,"['z', 'x', 'x', 'x']"
4,x,3,0.001,normal,0,1000000,903070,0,0,0,0.90307,0.0,0,78.11014172700015,"['z', 'x', 'x', 'x']"
4,x,2,0.001,normal,0,1000000,870772,0,0,0,0.870772,0.0,0,78.87445397900228,"['x', 'x', 'x', 'x']"
