n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,16,48,100,0.0,0,0,0,0.0,0.0029173819984862
3,x,3,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,1,40,8,32,100,0.0,0,0,0,0.0,0.0025587050004105
3,x,4,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,8,48,100,0.0,0,0,0,0.0,0.011574637999729
3,x,5,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,2,0,24,0,16,100,0.0,0,0,0,0.0,0.0028557699988596
3,x,6,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,8,48,100,0.0,0,0,0,0.0,0.013047701000687
3,x,7,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,1,40,0,32,100,0.0,0,0,0,0.0,0.0126453289994969
3,x,8,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,0,48,100,0.0,0,0,0,0.0,0.0123206570006004
3,z,2,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,1,40,8,32,100,0.0,0,0,0,0.0,0.0131842209993919
3,z,3,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,8,48,100,0.0,0,0,0,0.0,0.0133388480007852
3,z,4,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,2,0,24,0,16,100,0.0,0,0,0,0.0,0.0032675489983375
3,z,5,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,8,48,100,0.0,0,0,0,0.0,0.0111506140001438
3,z,6,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,1,40,0,32,100,0.0,0,0,0,0.0,0.0033077759999287
3,z,7,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,0,48,100,0.0,0,0,0,0.0,0.0020633200001611
3,z,8,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,2,56,-8,48,100,0.0,0,0,0,0.0,0.0001806780001061
4,x,2,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0,2,56,56,48,200,0.0,0,0,0,0.0,0.0458126669982447
4,x,2,0.0001,m1,7900000,0.9882334177215191,8.91327885450259e-05,0.00040419875180901536,0.0,79,0.0,0.0,0.9882334177215191,8.91327885450259e-05,0.00040419875180901536,0,2,56,-6,48,7807044,0.0,0,0,0,0.0,54.886802308028564
4,x,2,0.0001,m1,762000000,0.9882342600299401,7.959301700052488e-06,0.00010495596522771369,0.0,668,0.0,0.0,0.9882342600299401,7.959301700052488e-06,0.00010495596522771369,0,2,56,56,48,753036568,0.0,0,0,0,2.047767397947609,1584.913659323246
4,x,2,0.0001,m2,1052400000,0.9921355141027665,5.639354777608848e-06,9.349864242992156e-05,0.0,1056,0.0,0.0,0.9869211212121212,7.566408987519637e-06,0.00012544856571386167,0,2,56,56,48,1038636368,0.0,0,5531022,0,0.0,594.5037473256234
4,x,2,0.0001,normal,7900000,0.9862681012658229,8.394972432620705e-05,0.000380694628107845,0.0,79,0.0,0.0,0.9862681012658229,8.394972432620705e-05,0.000380694628107845,0,2,64,2,64,7791518,0.0,0,0,0,0.0,2434.878346466023
4,x,2,0.0001,normal,762000000,0.986226466017964,8.489229296285067e-06,0.0001119438976443258,0.0,668,0.0,0.0,0.986226466017964,8.489229296285067e-06,0.0001119438976443258,0,2,64,64,64,751506018,0.0,0,0,0,14.848790252115576,29451.54413619307
4,x,2,0.0005,m1,7900000,0.9425753164556961,0.00016694413689559927,0.0007570571150811401,0.0,79,0.0,0.0,0.9425753164556961,0.00016694413689559927,0.0007570571150811401,0,2,56,-6,48,7446345,0.0,0,0,0,0.0,193.7070155999536
4,x,2,0.0005,m1,762000000,0.942554102245509,1.7843599991324658e-05,0.00023529605118679609,0.0,668,0.0,0.0,0.942554102245509,1.7843599991324658e-05,0.00023529605118679609,0,2,56,56,48,718226539,0.0,0,0,0,3.002606811001897,3248.4549140851022
4,x,2,0.0005,m2,1052400000,0.9612600230808286,1.193139297360187e-05,0.0001978185606905005,0.0,1056,0.0,0.0,0.9362765028409091,1.5200431671626358e-05,0.00025201814421905576,0,2,56,56,48,985341177,0.0,0,27351332,0,0.0,1220.329233828932
4,x,2,0.0005,normal,8000000,0.9330047499999999,0.000167188556627207,0.0007629489340377711,0.0,80,0.0,0.0,0.9330047499999999,0.000167188556627207,0.0007629489340377711,0,2,64,2,64,7464038,0.0,0,0,0,0.0,2246.067123700006
4,x,2,0.0005,normal,762000000,0.9330558678143713,1.9647069463644482e-05,0.0002590776448942936,0.0,668,0.0,0.0,0.9330558678143713,1.9647069463644482e-05,0.0002590776448942936,0,2,64,64,64,710988082,0.0,0,0,0,93.44471625518054,40725.019688169996
4,x,2,0.001,m1,7900000,0.8881889873417721,0.00021036820695207345,0.0009539762870469947,0.0,79,0.0,0.0,0.8881889873417721,0.00021036820695207345,0.0009539762870469947,0,2,56,-6,48,7016693,0.0,0,0,0,0.0,306.4843559879955
4,x,2,0.001,m1,33572000000,0.8884355054925674,4.7820722675536426e-06,0.00015370946574279568,1.715707140763594e-09,3969,3.061384562175471e-10,9.840164664135442e-09,0.888435503968254,4.78206898233792e-06,0.000153709360146576,0,2,56,56,48,29826472706,0.0,121,0,0,5.826127861626446,139673.0547530596
4,x,2,0.001,m2,1052400000,0.9239384279237312,1.692919418445736e-05,0.0002806804565593293,0.0,1056,0.0,0.0,0.8766877651515151,2.0883503252220244e-05,0.0003462415968252597,0,2,56,56,48,922630858,0.0,0,53818652,0,0.0,1688.6169216330163
4,x,2,0.001,normal,8000000,0.870714625,0.0002504987255273397,0.0011431268950126397,0.0,80,0.0,0.0,0.870714625,0.0002504987255273397,0.0011431268950126397,0,2,64,2,64,6965717,0.0,0,0,0,0.0,2731.090212179013
4,x,2,0.001,normal,45472000000,0.8706535104671449,4.2076147725247445e-06,0.0001541922918953691,1.6029591590378465e-09,5159,3.3379158379075647e-10,1.2232129627494125e-08,0.8706535090715255,4.207615197388693e-06,0.0001541923074649375,0,2,64,64,64,39590372918,0.0,135,0,0,72.08889524219558,1627761.8371087827
4,x,2,0.005,m1,7900000,0.5546582278481013,0.0003477648928843235,0.0015770418262616315,1.2542877155432935e-06,79,7.618144157043228e-07,3.4546707330069895e-06,0.5546575316455696,0.0003477250855574589,0.0015768613082716286,0,2,56,-6,48,4381800,0.0,11,0,0,0.0,869.2966129749693
4,x,2,0.005,m1,750000000,0.5546922134502924,3.933088838909563e-05,0.00026240719568532416,1.391603286085331e-07,171,3.078107452135211e-08,2.0536468348801295e-07,0.55469213625731,3.9330301402639105e-05,0.0002624032794384182,0,2,56,56,48,416006984,2.0,113,0,0,44.33491790527478,18497.01230437953
4,x,2,0.005,m2,1052400000,0.6712280334238675,3.411334331132829e-05,0.0005655879819831884,5.852193586530033e-07,1056,4.49993094706636e-08,7.460737108607547e-07,0.5194879138257577,2.9196967468221156e-05,0.0004840760918586438,0,2,56,56,48,546710582,0.0,642,237911557,0,0.0,7247.386611904018
4,x,2,0.005,normal,8000000,0.502031125,0.00036620768286181826,0.0016711536178810418,1.7434855362226296e-06,80,9.038510294319056e-07,4.124637435393682e-06,0.50203025,0.00036622660149735836,0.0016712399512588156,0,2,64,2,64,4016249,0.0,14,0,0,0.0,3221.5178306860907
4,x,2,0.005,normal,834000000,0.50187773046875,3.671950836600069e-05,0.00025959205762801483,1.4166702627208473e-07,192,2.5573088957297498e-08,1.8079138522660354e-07,0.501877659375,3.672109293785322e-05,0.00025960325990947124,0,2,64,64,64,418565380,0.0,122,0,0,207.8804706661031,88003.64335284983
4,x,2,0.01,m1,7900000,0.309429746835443,0.00034025604343962266,0.0015429907478356861,1.533741620188894e-05,79,3.4207089113470797e-06,1.5512207065865715e-05,0.309425,0.00034020803975631043,0.0015427730610652643,0,2,56,-6,48,2444495,1.0,73,0,0,0.0,1472.0814496640087
4,x,2,0.01,m1,609000000,0.27735425588785045,0.0011148313478265958,0.013156185603468781,9.505163401113693e-06,535,4.4437509600685907e-07,5.244094770050226e-06,0.2773516578504673,0.001114895791730741,0.013156946109500117,0,2,56,56,48,171272852,48.0,2790,0,0,98.79311243677512,26806.970969207203
4,x,2,0.01,m2,458400000,0.4469999047398149,6.401415152187168e-05,0.0007020061388193486,1.0644466646139554e-05,462,4.3280501408166736e-07,4.746322017457578e-06,0.2719709534632035,4.572527545185872e-05,0.0005014426232837451,0,2,56,56,48,124670477,46.0,2574,179495110,0,0.0,11239.16824135976
4,x,2,0.01,normal,8100000,0.25389197530864194,0.00029447397418608397,0.001352176412078957,2.0645304246641142e-05,81,4.383205055621594e-06,2.0126961990099156e-05,0.2538867283950617,0.00029425422430746375,0.0013511673565138641,0,2,64,2,64,2056525,3.0,79,0,0,0.0,3439.2495928909193
4,x,2,0.01,normal,641000000,0.23348829727767698,0.0007697121496701321,0.009218241251229293,9.05117203247044e-06,551,4.6121777950437724e-07,5.523645121945522e-06,0.23348621270417422,0.0007697703833555505,0.009218938670597514,0,2,64,64,64,151499431,12.0,2377,0,0,320.8766591362655,67408.68751111726
4,x,3,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,1,1,40,40,32,200,0.0,0,0,0,0.0,0.048288728999978006
