n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.04,m1,anqi,15000000,1.0,15000000,9.8e-06,0.0,15,0.0,1.5444904229766743e-06,3.0519314727375046e-06,0.9999901999999999,1.5444904229712319e-06,3.0519314727267502e-06,0,2,56,56,48,1.0,0.0,15000000,147.0,0,0,0,0,368.98908775218297
4,x,2,0.04,m1,val,15000000,1.0,15000000,0.00016113333333333334,0.0,15,0.0,5.77995632432557e-06,1.142126254383631e-05,0.9998388666666667,5.779956324313178e-06,1.1421262543811825e-05,0,2,56,56,48,1.0,0.0,15000000,147.0,4540,0,0,0,379.023012200254
4,x,2,0.04,normal,anqi,15000000,1.0,15000000,0.0001618,0.0,15,0.0,6.523619445267074e-06,1.28907497288338e-05,0.9998382,6.523619445259395e-06,1.2890749728818626e-05,0,2,64,64,64,1.0,0.0,15000000,2427.0,0,0,0,0,2726.647808939102
4,x,2,0.04,normal,val,15000000,1.0,15000000,0.00015910000000000002,0.0,15,0.0,3.8543502695006835e-06,7.616242042972559e-06,0.9998409,3.854350269489638e-06,7.616242042950734e-06,0,2,64,64,64,1.0,0.0,15000000,142.0,4489,0,0,0,2863.095556370332
4,x,2,0.06,m1,anqi,5000000,1.0,5000000,7.94e-05,0.0,5,0.0,5.834087417925783e-06,6.655824516917488e-06,0.9999205999999999,5.834087417936649e-06,6.655824516929885e-06,0,2,56,56,48,1.0,0.0,5000000,397.0,0,0,0,0,220.36790956894401
4,x,2,0.06,m1,val,5000000,1.0,5000000,0.0007849,0.0,5,0.0,1.3926348265069368e-05,1.5887888468893555e-05,0.9992151,1.3926348265022901e-05,1.5887888468840544e-05,0,2,56,56,48,1.0,0.0,5000000,396.0,7057,0,0,0,211.09966758813243
4,x,2,0.06,normal,anqi,5000000,1.0,5000000,0.000799,0.0,5,0.0,3.0660063926874e-05,3.4978564864785415e-05,0.999201,3.0660063926873365e-05,3.497856486478468e-05,0,2,64,64,64,1.0,0.0,5000000,3995.0,0,0,0,0,1524.363370934967
4,x,2,0.06,normal,val,5000000,1.0,5000000,0.0007865999999999999,0.0,5,0.0,1.096286714322489e-05,1.2506998041096826e-05,0.9992134,1.0962867143232212e-05,1.250699804110518e-05,0,2,64,64,64,1.0,0.0,5000000,400.0,7066,0,0,0,1558.5075709038647
4,x,2,0.08,m1,anqi,5000000,1.0,5000000,0.0002832,0.0,5,0.0,1.3570788628521177e-05,1.5482247898803314e-05,0.9997168000000001,1.3570788628517262e-05,1.5482247898798848e-05,0,2,56,56,48,1.0,0.0,5000000,1416.0,0,0,0,0,318.4361494688783
4,x,2,0.08,m1,val,5000000,1.0,5000000,0.0023494,0.0,5,0.0,2.767940562945677e-05,3.157807783890597e-05,0.9976506,2.767940562946704e-05,3.1578077838917686e-05,0,2,56,56,48,1.0,0.0,5000000,1417.0,20660,0,0,0,306.5043014290277
