n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,2,"['x', 'x', 'x', 'x']",0.001,normal,0,1000000,719099,0,0,0,0.719099,0.0,0,148.28680714900838
4,x,9,"['z', 'z', 'z', 'x']",0.005,normal,0,1000000,1000000,93,166,0,1.0,9.300000000000974e-05,0,166.9358708190266
4,x,3,"['z', 'x', 'x', 'x']",0.001,normal,0,1000000,790382,0,1,0,0.790382,0.0,0,200.03310229899944
4,x,2,"['x', 'x', 'x', 'x']",0.005,normal,0,1000000,452333,0,0,0,0.452333,0.0,0,213.58833192900056
4,x,5,"['z', 'z', 'x', 'x']",0.005,normal,0,1000000,703047,14,26,0,0.703047,1.9913320162046055e-05,0,231.92682934799814
4,x,9,"['z', 'z', 'z', 'x']",0.01,normal,0,1000000,1000000,937,1672,0,1.0,0.0009369999999999656,0,241.68402589001926
4,x,3,"['z', 'x', 'x', 'x']",0.005,normal,0,1000000,560604,2,5,0,0.560604,3.5675806808743715e-06,0,242.89963989902753
4,x,2,"['x', 'x', 'x', 'x']",0.01,normal,0,1000000,253982,2,5,0,0.253982,7.874573788702044e-06,0,241.76779553998495
4,x,5,"['z', 'z', 'x', 'x']",0.001,normal,0,1000000,869718,0,1,0,0.869718,0.0,0,128.25445384799968
4,x,9,"['z', 'z', 'z', 'x']",0.001,normal,0,1000000,1000000,0,1,0,1.0,0.0,0,109.05284657201264
4,x,9,"['z', 'z', 'z', 'x']",0.0005,normal,0,1000000,1000000,0,0,0,1.0,0.0,0,57.44927734500379
4,x,5,"['z', 'z', 'x', 'x']",0.0005,normal,0,1000000,893393,0,0,0,0.893393,0.0,0,77.47484350498416
4,x,9,"['z', 'z', 'z', 'x']",0.0001,normal,0,1000000,1000000,0,1,0,1.0,0.0,0,37.56286094299867
4,x,2,"['x', 'x', 'x', 'x']",0.0005,normal,0,1000000,761054,0,0,0,0.761054,0.0,0,143.57885758698103
4,x,5,"['z', 'z', 'x', 'x']",0.0001,normal,0,1000000,913611,0,0,0,0.913611,0.0,0,70.56570819299668
4,x,3,"['z', 'x', 'x', 'x']",0.01,normal,0,1000000,366206,18,27,0,0.366206,4.915266270899554e-05,0,356.00158079800894
4,x,3,"['z', 'x', 'x', 'x']",0.0001,normal,0,1000000,853849,0,0,0,0.853849,0.0,0,108.26637901400682
4,x,5,"['z', 'z', 'x', 'x']",0.01,m1,0,1000000,652918,75,144,0,0.652918,0.00011486894219492338,0,35.856589105998864
4,x,9,"['z', 'z', 'z', 'x']",0.01,m1,0,1000000,1000000,246,457,0,1.0,0.00024599999999996847,0,7.269790199003182
4,x,9,"['z', 'z', 'z', 'x']",0.005,m1,0,1000000,1000000,30,53,0,1.0,2.999999999997449e-05,0,7.122895268985303
4,x,2,"['x', 'x', 'x', 'x']",0.001,m1,0,1000000,732915,0,0,0,0.732915,0.0,0,11.245471859991085
4,x,2,"['x', 'x', 'x', 'x']",0.0001,normal,0,1000000,798387,0,0,0,0.798387,0.0,0,142.25766449401272
4,x,5,"['z', 'z', 'x', 'x']",0.01,normal,0,1000000,546453,109,208,0,0.546453,0.00019946820678085064,0,392.11924235598417
4,x,3,"['z', 'x', 'x', 'x']",0.0005,normal,0,1000000,824395,0,0,0,0.824395,0.0,0,169.27218485000776
4,x,5,"['z', 'z', 'x', 'x']",0.001,m1,0,1000000,887067,0,0,0,0.887067,0.0,0,10.06743729201844
4,x,3,"['z', 'x', 'x', 'x']",0.001,m1,0,1000000,805913,0,0,0,0.805913,0.0,0,23.2252908720111
4,x,9,"['z', 'z', 'z', 'x']",0.001,m1,0,1000000,1000000,2,3,0,1.0,1.999999999946489e-06,0,3.8248655069910455
4,x,9,"['z', 'z', 'z', 'x']",0.0005,m1,0,1000000,1000000,0,1,0,1.0,0.0,0,1.115244944987353
4,x,5,"['z', 'z', 'x', 'x']",0.005,m1,0,1000000,771668,8,15,0,0.771668,1.0367152713297578e-05,0,41.88514348299941
4,x,3,"['z', 'x', 'x', 'x']",0.01,m1,0,1000000,446179,19,34,0,0.446179,4.258380605093315e-05,0,89.33939185002237
4,x,2,"['x', 'x', 'x', 'x']",0.0005,m1,0,1000000,768616,0,0,0,0.768616,0.0,0,12.243767222011229
4,x,5,"['z', 'z', 'x', 'x']",0.0005,m1,0,1000000,902146,0,0,0,0.902146,0.0,0,11.174359911994543
4,x,9,"['z', 'z', 'z', 'x']",0.0001,m1,0,1000000,1000000,0,0,0,1.0,0.0,0,2.1895414640021045
4,x,3,"['z', 'x', 'x', 'x']",0.0001,m1,0,1000000,855966,0,0,0,0.855966,0.0,0,5.737439667980652
4,x,5,"['z', 'z', 'x', 'x']",0.0001,m1,0,1000000,915965,0,0,0,0.915965,0.0,0,7.386856748024002
4,x,3,"['z', 'x', 'x', 'x']",0.0005,m1,0,1000000,832838,0,0,0,0.832838,0.0,0,18.791743231005967
4,x,2,"['x', 'x', 'x', 'x']",0.0001,m1,0,1000000,800206,0,0,0,0.800206,0.0,0,13.156546576006804
4,x,3,"['z', 'x', 'x', 'x']",0.005,m1,0,1000000,618724,2,4,0,0.618724,3.2324590608645565e-06,0,58.44736491100048
4,x,2,"['x', 'x', 'x', 'x']",0.005,m1,0,1000000,498154,0,1,0,0.498154,0.0,0,67.14752565798699
4,x,2,"['x', 'x', 'x', 'x']",0.01,m1,0,1000000,309426,7,14,0,0.309426,2.262253333595865e-05,0,122.15149343101075
