n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,z,8,0.0001,m1,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,50000000,0.0,0,0,0,0,1.822146640624851,"['z', 'z', 'z', 'x']"
4,z,8,0.0001,normal,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,16,16,16,1.0,0.0,50000000,0.0,0,0,0,0,115.50365928886458,"['z', 'z', 'z', 'x']"
4,z,8,0.0005,m1,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,50000000,0.0,0,0,0,0,3.2819998525083065,"['z', 'z', 'z', 'x']"
4,z,8,0.0005,normal,50000000,1.0,0.0,0.0,0.0,5,0.0,0.0,1.0,0.0,0.0,3,-1,16,16,16,1.0,0.0,50000000,0.0,0,0,0,0,212.5052313967608,"['z', 'z', 'z', 'x']"
4,z,8,0.001,m1,72360000000,1.0,0.0,0.0,5.327529021558871e-09,7236,3.794466496327256e-10,1.6468116485175307e-08,0.999999994672471,3.7944664971306054e-10,1.646811648866187e-08,3,-1,8,8,0,1.0,0.0,72360000000,2.0,767,0,0,0,8672.514187385852,"['z', 'z', 'z', 'x']"
4,z,8,0.001,normal,72350000000,1.0,0.0,0.0,2.2702142363510713e-08,7235,7.814021123434393e-10,3.3910779839562213e-08,0.9999999772978576,7.814021126472745e-10,3.3910779852747856e-08,3,-1,16,16,16,1.0,0.0,72350000000,13.0,3259,0,0,0,432350.6298259393,"['z', 'z', 'z', 'x']"
4,z,8,0.005,m1,1340000000,1.0,0.0,0.0,3.105223880597015e-06,134,7.239806929442817e-08,4.275858378720436e-07,0.9999968947761194,7.239806929372832e-08,4.2758583786791037e-07,3,-1,8,8,0,1.0,0.0,1340000000,126.0,8070,0,0,0,870.6465123927701,"['z', 'z', 'z', 'x']"
4,z,8,0.005,normal,1330000000,1.0,0.0,0.0,1.2534210526315789e-05,133,1.3902395429339417e-07,8.18011456656745e-07,0.9999874657894736,1.3902395429480337e-07,8.180114566650366e-07,3,-1,16,16,16,1.0,0.0,1330000000,677.0,31987,0,0,0,39031.13214058079,"['z', 'z', 'z', 'x']"
4,z,8,0.01,m1,50000000,1.0,0.0,0.0,4.4970000000000005e-05,5,1.269695806089001e-06,1.4485337414088764e-06,0.99995503,1.2696958061262125e-06,1.448533741451329e-06,3,-1,8,8,0,1.0,0.0,50000000,124.0,4249,0,0,0,19.58905713725835,"['z', 'z', 'z', 'x']"
4,z,8,0.01,normal,50000000,1.0,0.0,0.0,0.00017266,5,1.8700803619096188e-06,2.133483067661896e-06,0.99982734,1.870080361921004e-06,2.133483067674885e-06,3,-1,16,16,16,1.0,0.0,50000000,625.0,16016,0,0,0,1004.9826563871466,"['z', 'z', 'z', 'x']"
4,z,12,0.0001,m1,50000000,0.99631702,1.576641835799932e-05,1.7987134290911784e-05,0.0,5,0.0,0.0,0.99631702,1.576641835799932e-05,1.7987134290911784e-05,2,0,24,8,16,1.0,0.0,49815851,0.0,0,0,0,0,6.305345539469272,"['z', 'z', 'x', 'z']"
4,z,12,0.0001,normal,50000000,0.9951051,1.7299706587097116e-05,1.9736387714056144e-05,0.0,5,0.0,0.0,0.9951051,1.7299706587097116e-05,1.9736387714056144e-05,2,0,32,16,32,1.0,0.0,49755255,0.0,0,0,0,0,165.41556297708303,"['z', 'z', 'x', 'z']"
4,z,12,0.0005,m1,50000000,0.98178724,2.5974370801971365e-05,2.963288713571108e-05,0.0,5,0.0,0.0,0.98178724,2.5974370801971365e-05,2.963288713571108e-05,2,0,24,8,16,1.0,0.0,49089362,0.0,0,0,0,0,8.885845001321286,"['z', 'z', 'x', 'z']"
4,z,12,0.0005,normal,50000000,0.9757919000000002,3.428700553857494e-05,3.911636486181906e-05,0.0,5,0.0,0.0,0.9757919000000002,3.428700553857494e-05,3.911636486181906e-05,2,0,32,16,32,1.0,0.0,48789595,0.0,0,0,0,0,469.6957120448351,"['z', 'z', 'x', 'z']"
4,z,12,0.001,m1,72360000000,0.9640023104477612,1.3541567220695893e-06,5.877087242649314e-05,1.533927235754195e-09,7236,2.04412607158314e-10,8.871578202047106e-09,0.9640023089690436,1.3541536637484506e-06,5.877073969429268e-05,2,0,24,8,16,1.0,0.0,69755207184,0.0,214,0,0,0,28072.07171861001,"['z', 'z', 'x', 'z']"
4,z,12,0.001,normal,72330000000,0.9523664581086686,1.535832550535713e-06,6.664184758816135e-05,3.447786629319792e-09,7233,3.0838321848739675e-10,1.3381164136686185e-08,0.9523664548251072,1.5358308887318915e-06,6.664177548025026e-05,2,0,32,16,32,1.0,0.0,68884665915,1.0,473,0,0,0,642254.803973546,"['z', 'z', 'x', 'z']"
4,z,12,0.005,m1,1340000000,0.8348143828358209,1.9355740707857487e-05,0.0001143157640647,1.0427686038982686e-06,134,4.3008242912444016e-08,2.540083701173651e-07,0.8348135123134328,1.9350572084137284e-05,0.0001142852379702,2,0,24,8,16,1.0,0.0,1118651273,20.0,2293,0,0,0,6566.793692488129,"['z', 'z', 'x', 'z']"
4,z,12,0.005,normal,1330000000,0.7875497007518797,2.1966463187600023e-05,0.0001292498018849,2.359565000174525e-06,133,6.868823420640749e-08,4.041588573993889e-07,0.787547842481203,2.1970686486823423e-05,0.0001292746516108,2,0,32,16,32,1.0,0.0,1047441102,97.0,4749,0,0,0,60861.121462510426,"['z', 'z', 'x', 'z']"
4,z,12,0.01,m1,50000000,0.70191732,0.0001127624197924,0.0001286451203893,1.6868152539629306e-05,5,1.1235134657530967e-06,1.2817614709491355e-06,0.70190548,0.0001130524771839,0.0001289760326572,2,0,24,8,16,1.0,0.0,35095866,33.0,1118,0,0,0,204.2497850097716,"['z', 'z', 'x', 'z']"
