n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.0001,m1,anqi,125000000,0.988216304,1.9465935556404025e-05,0.0001110386610962,0.0,125,0.0,0.0,0.988216304,1.9465935556404025e-05,0.0001110386610962,0,2,56,56,48,1.0,0.0,123527038,0.0,0,0,0,0,589.5564024670748,"['x', 'x', 'x', 'x']"
4,x,2,0.0001,m1,val,2000000,0.988197,9.8000000000642e-06,7.0710678119118e-06,0.0,2,0.0,0.0,0.988197,9.8000000000642e-06,7.0710678119118e-06,0,2,56,56,48,1.0,0.0,1976394,0.0,0,0,0,0,11.61455004097661,"['x', 'x', 'x', 'x']"
4,x,2,0.0001,normal,anqi,126000000,0.986223261904762,2.2910136586234984e-05,0.0001312069619232,0.0,126,0.0,0.0,0.986223261904762,2.2910136586234984e-05,0.0001312069619232,0,2,64,64,64,1.0,0.0,124264131,0.0,0,0,0,0,6986.212239325279,"['x', 'x', 'x', 'x']"
4,x,2,0.0001,normal,val,3000000,0.9861656666666666,0.0001094347960102,9.670746265592629e-05,0.0,3,0.0,0.0,0.9861656666666666,0.0001094347960102,9.670746265592629e-05,0,2,64,64,64,1.0,0.0,2958497,0.0,0,0,0,0,141.97269003500696,"['x', 'x', 'x', 'x']"
4,x,2,0.005,m1,anqi,125000000,0.55467552,8.964513250248808e-05,0.0005113586993049,1.4413141902786962e-08,125,2.824975812946245e-08,1.611438253199116e-07,0.554675512,8.964410129411364e-05,0.0005113528170293,0,2,56,56,48,1.0,0.0,69334440,1.0,0,0,0,0,8382.83826453425,"['x', 'x', 'x', 'x']"
4,x,2,0.005,m1,val,2000000,0.55465,0.00231672,0.001671600430725,2.2508020632347887e-06,2,2.6409186366971287e-06,1.9055219148678288e-06,0.55464875,0.00231525,0.0016705397705532,0,2,56,56,48,1.0,0.0,1109300,0.0,5,0,0,0,139.12187102605822,"['x', 'x', 'x', 'x']"
4,x,2,0.005,normal,anqi,127000000,0.5018615433070867,8.526281711794476e-05,0.0004902363012325,1.0512015776470155e-06,127,2.384503141670398e-07,1.3710196777016277e-06,0.5018610157480314,8.526258687752636e-05,0.0004902349774173,0,2,64,64,64,1.0,0.0,63736416,67.0,0,0,0,0,37317.55689375807,"['x', 'x', 'x', 'x']"
4,x,2,0.005,normal,val,3000000,0.501895,0.0006166290000748,0.0005449146722194,1.3275439262647297e-06,3,1.7211731978104047e-06,1.520999707772152e-06,0.5018943333333333,0.0006160364325084,0.0005443910206215,0,2,64,64,64,1.0,0.0,1505685,0.0,4,0,0,0,878.2056147140102,"['x', 'x', 'x', 'x']"
4,x,2,0.01,m1,anqi,125000000,0.309365416,7.921304469019468e-05,0.0004518514097755,6.46571582144863e-07,125,2.493620340819915e-07,1.4224246408544705e-06,0.309365216,7.92162967426039e-05,0.0004518699603118,0,2,56,56,48,1.0,0.0,38670677,25.0,0,0,0,0,19536.71901828936,"['x', 'x', 'x', 'x']"
4,x,2,0.01,m1,val,2000000,0.309554,0.0001117199999999,8.06101730552489e-05,1.372809215304425e-05,2,1.424134818979778e-05,1.0275667222698748e-05,0.30954975,0.0001073099999999,7.742819253991606e-05,0,2,56,56,48,1.0,0.0,619108,2.0,13,0,0,0,303.63622695795493,"['x', 'x', 'x', 'x']"
4,x,2,0.01,normal,anqi,127000000,0.2538775826771653,7.111932251496281e-05,0.0004089153372409,1.7399364495350607e-05,127,1.4478469325613613e-06,8.324697083229722e-06,0.2538731653543307,7.111763578748923e-05,0.0004089056390504,0,2,64,64,64,1.0,0.0,32242453,561.0,0,0,0,0,49056.995547160215,"['x', 'x', 'x', 'x']"
4,x,2,0.01,normal,val,3000000,0.254284,0.0008008057272522,0.000707671533976,1.6388211016346584e-05,3,4.641104605835952e-06,4.101341316607039e-06,0.2542798333333333,0.0008011547118447,0.0007079799314481,0,2,64,64,64,1.0,0.0,762852,1.0,23,0,0,0,1089.8937960550538,"['x', 'x', 'x', 'x']"
4,x,2,0.05,m1,anqi,3000000,0.0037359999999999,5.439956372374103e-05,4.807286136688788e-05,0.0014333758376674,3,0.0012425431621421,0.0010980346364426,0.0037306666666666,5.731487454792542e-05,5.064911976859342e-05,0,2,56,56,48,1.0,0.0,11208,16.0,0,0,0,0,1077.9529795520357,"['x', 'x', 'x', 'x']"
4,x,2,0.05,m1,val,3000000,0.0037359999999999,5.439956372374103e-05,4.807286136688788e-05,0.0091586940543103,3,0.0034945940541518,0.0030881706396015,0.0037018333333333,6.155651748145346e-05,5.439745704840773e-05,0,2,56,56,48,1.0,0.0,11208,15.0,175,0,0,0,1228.2560596499245,"['x', 'x', 'x', 'x']"
4,x,2,0.05,normal,anqi,3000000,0.0015843333333333,8.050593794524993e-05,7.114304838375514e-05,0.00712842626289,3,0.0034620185916181,0.0030593837231789,0.001573,7.860390151470432e-05,6.946221994724905e-05,0,2,64,64,64,1.0,0.0,4753,34.0,0,0,0,0,1082.5393959919456,"['x', 'x', 'x', 'x']"
4,x,2,0.05,normal,val,3000000,0.0015843333333333,8.050593794524993e-05,7.114304838375514e-05,0.0077578362178134,3,0.0020063488338978,0.0017730092438865,0.0015719999999999,7.834076929245289e-05,6.922969016253068e-05,0,2,64,64,64,1.0,0.0,4753,4.0,66,0,0,0,843.7617257949896,"['x', 'x', 'x', 'x']"
