n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept.1,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.001,m1,anqi,2083000000,0.8884258919827172,1850591133,0.0,1.3661439979360628e-05,2083,0.0003181156550359,0.0,0.0,0.8884258919827172,1.3661439979360628e-05,0.0003181156550359,0,2,56,56,48,1.0,0.0,1850591133,0.0,0,0,0,0,27652.256014431598,"['x', 'x', 'x', 'x']"
4,x,2,0.001,normal,anqi,2081000000,0.8706430562229697,1811808200,3.862661852987649e-09,1.4319612569416071e-05,2081,0.0003332815225597,2.857369887424572e-09,6.65037955448097e-08,0.8706430528592023,1.4319526534802442e-05,0.0003332795201489,0,2,64,64,64,1.0,0.0,1811808200,7.0,0,0,0,0,169115.52370546048,"['x', 'x', 'x', 'x']"
4,x,2,0.005,m1,anqi,1000000,0.554346,554346,0.0,0.0,1,,0.0,,0.554346,0.0,,0,2,56,56,48,1.0,0.0,554346,0.0,0,0,0,0,52.03068656800315,"['x', 'x', 'x', 'x']"
4,x,3,0.001,m1,anqi,2083000000,0.9217101785885742,1919922302,0.0,1.147229453874516e-05,2083,0.0002671399572425,0.0,0.0,0.9217101785885742,1.147229453874516e-05,0.0002671399572425,1,1,40,40,32,1.0,0.0,1919922302,0.0,0,0,0,0,23396.479422805016,"['z', 'x', 'x', 'x']"
4,x,3,0.001,normal,anqi,2081000000,0.9032628226814032,1879689934,3.724244270666441e-09,1.2606181531596329e-05,2081,0.0002934023077893,2.7549767603524563e-09,6.412064885527299e-08,0.9032628193176356,1.2606208724638707e-05,0.0002934029406932,1,1,48,48,48,1.0,0.0,1879689934,7.0,0,0,0,0,172165.75102747546,"['z', 'x', 'x', 'x']"
4,x,3,0.005,m1,anqi,1000000,0.666347,666347,0.0,0.0,1,,0.0,,0.666347,0.0,,1,1,40,40,32,1.0,0.0,666347,0.0,0,0,0,0,34.88591283909045,"['z', 'x', 'x', 'x']"
4,x,4,0.005,m1,anqi,1000000,0.550939,550939,3.448657655384716e-05,0.0,1,,0.0,,0.55092,0.0,,0,2,56,40,48,1.0,0.0,550939,19.0,0,0,0,0,159.12110687990207,"['x', 'z', 'x', 'x']"
4,x,5,0.001,m1,anqi,2083000000,0.9563806053768604,1992140801,0.0,8.818315193100336e-06,2083,0.0002053402948887,0.0,0.0,0.9563806053768604,8.818315193100336e-06,0.0002053402948887,2,0,24,24,16,1.0,0.0,1992140801,0.0,0,0,0,0,12609.386848288355,"['z', 'z', 'x', 'x']"
4,x,5,0.001,normal,anqi,2081000000,0.9374372518020184,1950806921,2.5118886557500577e-08,1.0419971339894046e-05,2081,0.0002425194045128,7.236737702026569e-09,1.6843129993953057e-07,0.9374372282556463,1.0420140687928342e-05,0.0002425233460001,2,0,32,32,32,1.0,0.0,1950806921,49.0,0,0,0,0,160734.87302243244,"['z', 'z', 'x', 'x']"
4,x,5,0.005,m1,anqi,1000000,0.803953,803953,0.0,0.0,1,,0.0,,0.803953,0.0,,2,0,24,24,16,1.0,0.0,803953,0.0,0,0,0,0,18.44759906688705,"['z', 'z', 'x', 'x']"
4,x,5,0.01,m1,anqi,1000000,0.652944,652944,3.0630498174422307e-06,0.0,1,,0.0,,0.652942,0.0,,2,0,24,24,16,1.0,0.0,652944,2.0,0,0,0,0,35.10212519101333,"['z', 'z', 'x', 'x']"
4,x,9,0.001,m1,anqi,2083000000,1.0,2083000000,0.0,0.0,2083,0.0,0.0,0.0,1.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,2083000000,0.0,0,0,0,0,4390.555184855592,"['z', 'z', 'z', 'x']"
4,x,9,0.001,normal,anqi,2082000000,1.0,2082000000,1.3784822286263208e-07,0.0,2082,0.0,1.590871965819105e-08,3.703561152577417e-07,0.9999998621517772,1.5908719659265572e-08,3.703561152827565e-07,3,-1,16,16,16,1.0,0.0,2082000000,287.0,0,0,0,0,142537.3833308526,"['z', 'z', 'z', 'x']"
4,x,9,0.01,m1,anqi,1000000,1.0,1000000,2.4e-05,0.0,1,,0.0,,0.999976,0.0,,3,-1,8,8,0,1.0,0.0,1000000,24.0,0,0,0,0,6.129292477038689,"['z', 'z', 'z', 'x']"
4,z,8,0.005,m1,anqi,1000000,1.0,1000000,0.0,0.0,1,,0.0,,1.0,0.0,,3,-1,8,8,0,1.0,0.0,1000000,0.0,0,0,0,0,4.601867655990645,"['z', 'z', 'z', 'x']"
4,z,12,0.005,m1,anqi,1000000,0.834793,834793,0.0,0.0,1,,0.0,,0.834793,0.0,,2,0,24,8,16,1.0,0.0,834793,0.0,0,0,0,0,7.402116229990497,"['z', 'z', 'x', 'z']"
4,z,12,0.01,m1,anqi,1000000,0.70242,702420,5.694598673158509e-06,0.0,1,,0.0,,0.702416,0.0,,2,0,24,8,16,1.0,0.0,702420,4.0,0,0,0,0,27.175578137044795,"['z', 'z', 'x', 'z']"
4,z,14,0.01,m1,anqi,1000000,0.522271,522271,0.0,0.0,1,,0.0,,0.522271,0.0,,1,1,40,8,32,1.0,0.0,522271,0.0,0,0,0,0,43.06270071002655,"['z', 'x', 'z', 'z']"
4,z,15,0.01,m1,anqi,1000000,0.391348,391348,0.0,0.0,1,,0.0,,0.391348,0.0,,0,2,56,8,48,1.0,0.0,391348,0.0,0,0,0,0,44.87548042903654,"['x', 'z', 'z', 'z']"
