n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept.1,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,2,0.005,m1,anqi,341000000,0.5546059999999999,189120646,2.116095697324684e-08,5.199759566819616e-05,341,0.0004898965497038,2.0646050617323423e-08,1.9451724320061962e-07,0.5546059882697947,5.1998293414405605e-05,0.0004899031235359,0,2,56,56,48,1.0,0.0,189120646,4.0,0,0,0,0,18414.749004826062,"['x', 'x', 'x', 'x']"
4,x,2,0.005,normal,anqi,340000000,0.5018027323529411,170612929,1.1604612756234558e-06,5.463261213830743e-05,340,0.0005139671392113,1.4855555037186105e-07,1.397565817378557e-06,0.50180215,5.4629436223054994e-05,0.0005139372611584,0,2,64,64,64,1.0,0.0,170612929,198.0,0,0,0,0,64824.04855722666,"['x', 'x', 'x', 'x']"
4,x,3,0.005,m1,anqi,341000000,0.6663737448680352,227233447,5.2798424341302864e-08,4.977240201659435e-05,341,0.0004689318362717,2.938630539910592e-08,2.76863755690366e-07,0.6663737096774193,4.9771324691779656e-05,0.000468921686231,1,1,40,40,32,1.0,0.0,227233447,12.0,0,0,0,0,15321.385138669051,"['z', 'x', 'x', 'x']"
4,x,3,0.005,normal,anqi,339000000,0.6029515958702064,204400591,2.6321693588293863e-06,5.236875324714829e-05,339,0.0004919443900904,2.3054569917298922e-07,2.1657124971523243e-06,0.6029500088495575,5.237535192062968e-05,0.0004920063770616,1,1,48,48,48,1.0,0.0,204400591,538.0,0,0,0,0,67252.24754203041,"['z', 'x', 'x', 'x']"
4,z,8,0.001,m1,anqi,4345000000,1.0,4345000000,0.0,0.0,4345,0.0,0.0,0.0,1.0,0.0,0.0,3,-1,8,8,0,1.0,0.0,4345000000,0.0,0,0,0,0,8323.191797657986,"['z', 'z', 'z', 'x']"
4,z,8,0.001,normal,anqi,4344000000,1.0,4344000000,0.0,0.0,4344,0.0,0.0,0.0,1.0,0.0,0.0,3,-1,16,16,16,1.0,0.0,4344000000,0.0,0,0,0,0,256590.46581560723,"['z', 'z', 'z', 'x']"
4,z,8,0.005,m1,anqi,2541000000,1.0,2541000000,9.366391184573004e-08,0.0,2541,0.0,1.1994506469811381e-08,3.084811592025665e-07,0.9999999063360882,1.1994506469924412e-08,3.084811592054734e-07,3,-1,8,8,0,1.0,0.0,2541000000,238.0,0,0,0,0,13265.010898486828,"['z', 'z', 'z', 'x']"
4,z,8,0.005,normal,anqi,2539000000,1.0,2539000000,4.95076801890508e-07,0.0,2539,0.0,2.7349340851864564e-08,7.03108167610062e-07,0.999999504923198,2.7349340851789906e-08,7.031081676081428e-07,3,-1,16,16,16,1.0,0.0,2539000000,1257.0,0,0,0,0,334931.80281229585,"['z', 'z', 'z', 'x']"
4,z,12,0.001,m1,anqi,4344000000,0.9640010101289136,4187620388,0.0,5.460018300767321e-06,4344,0.0001836043368517,0.0,0.0,0.9640010101289136,5.460018300767321e-06,0.0001836043368517,2,0,24,8,16,1.0,0.0,4187620388,0.0,0,0,0,0,26971.14549009106,"['z', 'z', 'x', 'z']"
4,z,12,0.001,normal,anqi,4344000000,0.952366394106814,4137079616,0.0,6.296574445699628e-06,4344,0.0002117352565243,0.0,0.0,0.952366394106814,6.296574445699628e-06,0.0002117352565243,2,0,32,16,32,1.0,0.0,4137079616,0.0,0,0,0,0,279265.5687529702,"['z', 'z', 'x', 'z']"
