n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,2,0.0001,m1,val,51000000,0.9694554901960785,49442230,0.0,4.54968203084986e-05,51,0.00016577157446909062,0.0,0.0,0.9694554901960785,4.54968203084986e-05,0.00016577157446909062,0,3,144,144,128,1.0,0.0,49442230,0.0,0,0,0,1049.3309215833433,146.03502698941156
5,x,2,0.0001,normal,val,51000000,0.9655416666666666,49242625,0.0,4.580423366909102e-05,51,0.0001668916614653399,0.0,0.0,0.9655416666666666,4.580423366909102e-05,0.0001668916614653399,0,3,160,160,160,1.0,0.0,49242625,0.0,0,0,0,11412.077905746643,2460.710269491654
5,x,2,0.0005,m1,val,51000000,0.8563887450980392,43675826,0.0,0.00010710853094086897,51,0.00039025913663295056,0.0,0.0,0.8563887450980392,0.00010710853094086897,0.00039025913663295056,0,3,144,144,128,1.0,0.0,43675826,0.0,0,0,0,2158.4618447790854,-5.85081319650635
5,x,2,0.0005,normal,val,51000000,0.839197705882353,42799083,0.0,9.195311054151652e-05,51,0.0003350390600582293,0.0,0.0,0.839197705882353,9.195311054151652e-05,0.0003350390600582293,0,3,160,160,160,1.0,0.0,42799083,0.0,0,0,0,11029.87725160271,2132.289221873507
5,x,2,0.001,m1,val,51000000,0.733424137254902,37404631,0.0,0.00014951482616371684,51,0.0005447701173745969,0.0,0.0,0.733424137254902,0.00014951482616371684,0.0005447701173745969,0,3,144,144,128,1.0,0.0,37404631,0.0,0,0,0,3276.5186577895656,-88.98404198745266
5,x,2,0.001,normal,val,51000000,0.7044011568627451,35924459,0.0,0.00013694164476366102,51,0.000498958650493176,0.0,0.0,0.7044011568627451,0.00013694164476366102,0.000498958650493176,0,3,160,160,160,1.0,0.0,35924459,0.0,0,0,0,10518.66126222955,1809.2596427011304
5,x,2,0.005,m1,val,324000000,0.2131618950617284,69064454,0.0,4.562221870474883e-05,324,0.0004189795595334076,0.0,0.0,0.2131618950617284,4.562221870474883e-05,0.0004189795595334076,0,3,144,144,128,1.0,0.0,69064454,0.0,0,0,0,7140.653408687562,237545.04740825619
5,x,2,0.005,normal,val,324000000,0.17452222839506173,56545202,0.0,3.8620419608080656e-05,324,0.00035467732293135296,0.0,0.0,0.17452222839506173,3.8620419608080656e-05,0.00035467732293135296,0,3,160,160,160,1.0,0.0,56545202,0.0,0,0,0,8044.809458948206,256991.94691748588
5,x,2,0.01,m1,val,462000000,0.04606009307359307,21279763,0.0,1.95546562187485e-05,462,0.00021444459360479273,0.0,0.0,0.04606009307359307,1.95546562187485e-05,0.00021444459360479273,0,3,144,144,128,1.0,0.0,21279763,0.0,0,0,0,7084.500489788596,366100.7558253618
5,x,2,0.01,normal,val,462000000,0.031011439393939393,14327285,0.0,1.6621771779746583e-05,462,0.00018228134795240564,0.0,0.0,0.031011439393939393,1.6621771779746583e-05,0.00018228134795240564,0,3,160,160,160,1.0,0.0,14327285,0.0,0,0,0,6727.246291868389,345495.64261606947
5,x,3,0.0001,m1,val,51000000,0.976619,49807569,0.0,4.2264770871072176e-05,51,0.0001539953246043493,0.0,0.0,0.976619,4.2264770871072176e-05,0.0001539953246043493,1,2,112,112,96,1.0,0.0,49807569,0.0,0,0,0,1067.4322427222505,148.08999921707436
5,x,3,0.0001,normal,val,51000000,0.9726460784313726,49604950,0.0,4.80450003356427e-05,51,0.00017505608737056612,0.0,0.0,0.9726460784313726,4.80450003356427e-05,0.00017505608737056612,1,2,128,128,128,1.0,0.0,49604950,0.0,0,0,0,12057.470517269336,2378.8311609933153
