n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,normal,0,1000000,174056,0,0,0,0.174056,0.0,0,1046.9280523819907
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,m1,0,1000000,213538,0,0,0,0.213538,0.0,0,619.0103980829881
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,normal,0,1000000,251210,0,0,0,0.25121,0.0,0,1260.8144095349999
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,m1,0,1000000,307834,0,0,0,0.307834,0.0,0,995.0927297479939
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,normal,0,1000000,363020,0,0,0,0.36302,0.0,0,1202.1521615440142
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,m1,0,1000000,443643,0,0,0,0.443643,0.0,0,782.3142954680079
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.005,normal,0,1000000,533236,0,0,0,0.533236,0.0,0,1397.8768329680024
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.005,m1,0,1000000,645081,0,0,0,0.645081,0.0,0,1010.529113594006
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.005,normal,0,1000000,1000000,0,0,0,1.0,0.0,0,1077.2343423780112
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.005,m1,0,1000000,1000000,0,0,0,1.0,0.0,0,532.0966992210015
