n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0001,m1,0,50000000,48472845,0,0,0,0.9694569,0.0,1023.290172892157,140.4564198134467
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0001,normal,0,50000000,48276842,0,0,0,0.96553684,0.0,11146.142415533308,2404.7670094929636
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0005,m1,0,50000000,42819657,0,0,0,0.85639314,0.0,2099.2193062673323,1.9150937721133237
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0005,normal,0,50000000,41960070,0,0,0,0.8392014,0.0,10755.398987760767,2099.535591175314
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.001,m1,0,50000000,36671427,0,0,0,0.73342854,0.0,3200.0986184645444,-98.55153115373105
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.001,normal,0,50000000,35220301,0,0,0,0.70440602,0.0,10265.640618551522,1781.7322390885092
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,m1,0,50000000,10662342,0,0,0,0.21324684,0.0,6978.159446658567,-131.10911361733451
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,normal,0,50000000,8729504,0,0,0,0.17459008,0.0,7847.972172201611,481.2701564836316
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,m1,0,50000000,2305856,0,0,0,0.04611712,0.0,6932.613814812619,22.88026096438989
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,normal,0,50000000,1552249,0,0,0,0.03104498,0.0,6559.991518191062,121.6798607413657
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0001,m1,0,50000000,48830886,0,0,0,0.97661772,0.0,1043.0386517583393,140.59072555275634
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0001,normal,0,50000000,48632162,0,0,0,0.97264324,0.0,11786.096792879514,2301.3346151490696
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0005,m1,0,50000000,44422607,0,0,0,0.88845214,0.0,2070.9681919831783,26.320642344653606
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0005,normal,0,50000000,43533600,0,0,0,0.870672,0.0,11584.180806514807,2010.387713553384
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.001,m1,0,50000000,39467390,0,0,0,0.7893478,0.0,3174.586627613753,-69.33731942484155
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.001,normal,0,50000000,37904973,0,0,0,0.75809946,0.0,11313.508328548167,1661.473013295792
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,m1,0,50000000,15388935,0,0,0,0.3077787,0.0,7885.5891327220015,-379.6331036607735
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,normal,0,50000000,12598008,0,0,0,0.25196016,0.0,9920.438358008862,-9.973857210483402
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,m1,0,50000000,4792041,0,0,0,0.09584082,0.0,9112.508177167736,-833.8410376925021
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,normal,0,50000000,3224827,0,0,0,0.06449654,0.0,9077.003931453917,-623.13075722754
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.0001,m1,0,50000000,48449623,0,0,0,0.96899246,0.0,8704.196604100522,1277.178119245451
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.0001,normal,0,50000000,48159657,0,0,0,0.96319314,0.0,11165.595575558022,2492.7512837811373
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.0005,m1,0,50000000,42729843,0,0,0,0.85459686,0.0,8887.360672104638,657.5153598878533
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.0005,normal,0,50000000,41453234,0,0,0,0.82906468,0.0,10742.004688792396,2162.9194378014654
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.001,m1,0,50000000,36525580,0,0,0,0.7305116,0.0,9060.1013961602,-15.52038035681471
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.001,normal,0,50000000,34384326,0,0,0,0.68768652,0.0,10285.459167962894,1815.2311207288876
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.005,m1,0,50000000,10484839,0,5,0,0.20969678,0.0,8358.85827368917,-466.16467597708106
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.005,normal,0,50000000,7814131,0,3,0,0.15628262,0.0,7953.101216423325,448.92764744581655
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.01,m1,0,50000000,2250305,6,18,0,0.0450061,2.6677432652588707e-06,7199.6042868127115,-44.21357654966414
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.01,normal,0,50000000,1276273,0,9,0,0.02552546,0.0,6774.445405103266,60.384750510100275
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0001,m1,0,50000000,49191064,0,0,0,0.98382128,0.0,977.2924150051549,164.98305344814435
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0001,normal,0,50000000,48991475,0,0,0,0.9798295,0.0,11711.830916079693,2359.981577371247
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0005,m1,0,50000000,46088067,0,0,0,0.92176134,0.0,1804.3343764757738,117.65117117809132
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0005,normal,0,50000000,45162719,0,0,0,0.90325438,0.0,11636.444850572385,2045.7647103038616
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.001,m1,0,50000000,42478796,0,0,0,0.84957592,0.0,2732.4721655454487,71.20149235473946
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.001,normal,0,50000000,40795446,0,0,0,0.81590892,0.0,11504.005143212155,1687.2765868590213
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,m1,0,50000000,22212308,0,0,0,0.44424616,0.0,7422.173425518908,-156.07424050290138
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,normal,0,50000000,18183754,0,0,0,0.36367508,0.0,10905.04194858158,-223.93604618450627
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,m1,0,50000000,9961350,0,0,0,0.199227,0.0,9741.206337896176,-1093.3073699148372
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,normal,0,50000000,6714459,0,0,0,0.13428918,0.0,10498.233681854792,-1129.6137670516036
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.0001,m1,0,50000000,48430980,0,0,0,0.9686196,0.0,8701.200120785274,1275.5941749452613
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.0001,normal,0,50000000,48137643,0,0,0,0.96275286,0.0,11156.32924769912,2497.586059052963
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.0005,m1,0,50000000,42638556,0,0,0,0.85277112,0.0,8869.325080783572,654.1254045362584
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.0005,normal,0,50000000,41370372,0,0,0,0.82740744,0.0,10716.66998299025,2166.606985760387
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.001,m1,0,50000000,36375089,0,0,0,0.72750178,0.0,9031.391382454429,-17.55730869155377
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.001,normal,0,50000000,34247507,0,0,0,0.68495014,0.0,10203.996872778516,1818.337872961536
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.005,m1,0,50000000,10325808,1,10,0,0.20651616,9.670665486849472e-08,8249.85893134214,-414.61095886444673
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.005,normal,0,50000000,7700814,2,12,0,0.15401628,2.600873309188678e-07,7745.762969463598,469.81710620597005
