n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.001,m1,10000000,0.9600309,0.0,,3.2342708969055056e-05,1,0.0,,0.95999985,0.0,,0,1,20,20,16,1.0,0.0,9600309,2.0,617,0,0,0.0,0.1941209209617227
3,x,2,0.001,normal,10000000,0.9503605,0.0,,3.1830026605693314e-05,1,0.0,,0.95033025,0.0,,0,1,24,24,24,1.0,0.0,9503605,0.0,605,0,0,0.0,1.0480249180691317
3,x,2,0.01,m1,10000000,0.6681806,0.0,,0.0030877879423616907,1,0.0,,0.6661174,0.0,,0,1,20,20,16,1.0,0.0,6681806,634.0,39996,0,0,0.0,1.245147348032333
3,x,2,0.01,normal,10000000,0.6052949,0.0,,0.0031240144266868925,1,0.0,,0.60340395,0.0,,0,1,24,24,24,1.0,0.0,6052949,632.0,36555,0,0,0.0,10.100001511047594
4,x,2,0.001,m1,10000000,0.8885515,0.0,,0.0,1,0.0,,0.8885515,0.0,,0,2,56,56,48,1.0,0.0,8885515,0.0,0,0,0,0.0,24.256867778953165
4,x,2,0.001,normal,10000000,0.8709237,0.0,,0.0,1,0.0,,0.8709237,0.0,,0,2,64,64,64,1.0,0.0,8709237,0.0,0,0,0,0.0,153.92032289900817
5,x,2,0.0001,m1,50000000,0.9694569,4.633035549183671e-05,0.00016714545175031194,0.0,50,0.0,0.0,0.9694569,4.633035549183671e-05,0.00016714545175031194,0,3,144,144,128,1.0,0.0,48472845,0.0,0,0,0,1023.290172892157,140.4564198134467
5,x,2,0.0001,normal,50000000,0.9655368400000001,4.5722117634246284e-05,0.0001649511195376764,0.0,50,0.0,0.0,0.9655368400000001,4.5722117634246284e-05,0.0001649511195376764,0,3,160,160,160,1.0,0.0,48276842,0.0,0,0,0,11146.142415533308,2404.7670094929636
5,x,2,0.0005,m1,50000000,0.85639314,0.0001089186037339846,0.0003929443025391374,0.0,50,0.0,0.0,0.85639314,0.0001089186037339846,0.0003929443025391374,0,3,144,144,128,1.0,0.0,42819657,0.0,0,0,0,2099.2193062673323,1.9150937721133237
5,x,2,0.0005,normal,50000000,0.8392014,9.351966467005783e-05,0.0003373897401147443,0.0,50,0.0,0.0,0.8392014,9.351966467005783e-05,0.0003373897401147443,0,3,160,160,160,1.0,0.0,41960070,0.0,0,0,0,10755.398987760767,2099.535591175314
5,x,2,0.001,m1,60000000,0.7334281823529412,0.00014926723827189166,0.0005438680096147788,0.0,51,0.0,0.0,0.7334281823529412,0.00014926723827189166,0.0005438680096147788,0,3,144,144,128,1.0,0.0,44005530,0.0,0,0,0,3200.0986184645444,692.8543690602528
5,x,2,0.001,normal,60000000,0.7044043666666667,0.00013664794505402413,0.0004978885303626374,0.0,51,0.0,0.0,0.7044043666666667,0.00013664794505402413,0.0004978885303626374,0,3,160,160,160,1.0,0.0,42263518,0.0,0,0,0,10265.640618551522,5591.0545648124535
5,x,2,0.005,m1,50000000,0.21324684000000002,0.00010398669780774848,0.000375151526393139,0.0,50,0.0,0.0,0.21324684000000002,0.00010398669780774848,0.000375151526393139,0,3,144,144,128,1.0,0.0,10662342,0.0,0,0,0,6978.159446658567,-131.10911361733451
5,x,2,0.005,normal,50000000,0.17459008,0.00011331842968484919,0.00040881750032432566,0.0,50,0.0,0.0,0.17459008,0.00011331842968484919,0.00040881750032432566,0,3,160,160,160,1.0,0.0,8729504,0.0,0,0,0,7847.972172201611,481.2701564836316
5,x,2,0.01,m1,50000000,0.04611712,6.909060317467163e-05,0.00024925731643407714,0.0,50,0.0,0.0,0.04611712,6.909060317467163e-05,0.00024925731643407714,0,3,144,144,128,1.0,0.0,2305856,0.0,0,0,0,6932.613814812619,22.88026096438989
5,x,2,0.01,normal,50000000,0.03104498,4.525636769162974e-05,0.00016327083921746516,0.0,50,0.0,0.0,0.03104498,4.525636769162974e-05,0.00016327083921746516,0,3,160,160,160,1.0,0.0,1552249,0.0,0,0,0,6559.991518191062,121.6798607413657
5,x,3,0.0001,m1,50000000,0.97661772,4.3042659367656075e-05,0.00015528447101618512,0.0,50,0.0,0.0,0.97661772,4.3042659367656075e-05,0.00015528447101618512,1,2,112,112,96,1.0,0.0,48830886,0.0,0,0,0,1043.0386517583393,140.59072555275634
5,x,3,0.0001,normal,50000000,0.97264324,4.868598775992922e-05,0.00017564383721332247,0.0,50,0.0,0.0,0.97264324,4.868598775992922e-05,0.00017564383721332247,1,2,128,128,128,1.0,0.0,48632162,0.0,0,0,0,11786.096792879514,2301.3346151490696
5,x,3,0.0005,m1,50000000,0.88845214,9.845419564122463e-05,0.00035519198660294375,0.0,50,0.0,0.0,0.88845214,9.845419564122463e-05,0.00035519198660294375,1,2,112,112,96,1.0,0.0,44422607,0.0,0,0,0,2070.9681919831783,26.320642344653606
5,x,3,0.0005,normal,50000000,0.870672,9.488120505137246e-05,0.0003423017525457999,0.0,50,0.0,0.0,0.870672,9.488120505137246e-05,0.0003423017525457999,1,2,128,128,128,1.0,0.0,43533600,0.0,0,0,0,11584.180806514807,2010.387713553384
5,x,3,0.001,m1,50000000,0.7893478,0.00013249882837218272,0.00047801438796552507,0.0,50,0.0,0.0,0.7893478,0.00013249882837218272,0.00047801438796552507,1,2,112,112,96,1.0,0.0,39467390,0.0,0,0,0,3174.586627613753,-69.33731942484155
5,x,3,0.001,normal,50000000,0.75809946,0.0001322521923695808,0.00047712460230264466,0.0,50,0.0,0.0,0.75809946,0.0001322521923695808,0.00047712460230264466,1,2,128,128,128,1.0,0.0,37904973,0.0,0,0,0,11313.508328548167,1661.473013295792
5,x,3,0.005,m1,50000000,0.3077787,0.00012342348230381267,0.00044527337395246827,0.0,50,0.0,0.0,0.3077787,0.00012342348230381267,0.00044527337395246827,1,2,112,112,96,1.0,0.0,15388935,0.0,0,0,0,7885.5891327220015,-379.6331036607735
5,x,3,0.005,normal,50000000,0.25196016,0.0001368292059209613,0.0004936370376075625,0.0,50,0.0,0.0,0.25196016,0.0001368292059209613,0.0004936370376075625,1,2,128,128,128,1.0,0.0,12598008,0.0,0,0,0,9920.438358008862,-9.973857210483402
5,x,3,0.01,m1,50000000,0.09584082000000001,8.479854784039659e-05,0.000305926674554675,0.0,50,0.0,0.0,0.09584082000000001,8.479854784039659e-05,0.000305926674554675,1,2,112,112,96,1.0,0.0,4792041,0.0,0,0,0,9112.508177167736,-833.8410376925021
5,x,3,0.01,normal,50000000,0.06449653999999999,7.062874895225093e-05,0.0002548064659737699,0.0,50,0.0,0.0,0.06449653999999999,7.062874895225093e-05,0.0002548064659737699,1,2,128,128,128,1.0,0.0,3224827,0.0,0,0,0,9077.003931453917,-623.13075722754
5,x,4,0.0001,m1,50000000,0.96899246,5.1412154385513564e-05,0.0001854789949051344,0.0,50,0.0,0.0,0.96899246,5.1412154385513564e-05,0.0001854789949051344,0,3,144,112,128,1.0,0.0,48449623,0.0,0,0,0,8704.196604100522,1277.178119245451
5,x,4,0.0001,normal,50000000,0.96319314,5.044984677241857e-05,0.00018200728960509913,0.0,50,0.0,0.0,0.96319314,5.044984677241857e-05,0.00018200728960509913,0,3,160,128,160,1.0,0.0,48159657,0.0,0,0,0,11165.595575558022,2492.7512837811373
