n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,normal,0,1000000,30870,0,0,0,0.03087,0.0,130.2536312560551,2.2376346588134766
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,normal,0,1000000,63923,0,0,0,0.063923,0.0,179.78770905407146,-12.412665849085897
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.01,normal,0,1000000,25315,0,0,0,0.025315,0.0,134.0029097101651,0.7575691887177527
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,normal,0,1000000,133438,0,0,0,0.133438,0.0,207.7193378340453,-21.871987449470907
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.01,normal,0,1000000,25062,0,1,0,0.025062,0.0,128.8334910250269,2.201355812139809
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.01,normal,0,1000000,298352,0,0,0,0.298352,0.0,230.02225256199017,-26.955209597945213
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.01,normal,0,1000000,1000000,1,0,0,1.0,1.0000000000287557e-06,226.81362704886124,-0.4607711308635771
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.005,normal,0,1000000,174719,0,0,0,0.174719,0.0,154.94894586410373,9.734293355140835
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.005,normal,0,1000000,252191,0,0,0,0.252191,0.0,196.18585334345698,0.4445923436433077
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.005,normal,0,1000000,155806,0,0,0,0.155806,0.0,157.2790110851638,8.539131487719715
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.005,normal,0,1000000,363826,0,0,0,0.363826,0.0,215.9134416342713,-3.9220274360850453
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.005,normal,0,1000000,154147,0,0,0,0.154147,0.0,153.64292066916823,8.902318528853357
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.005,normal,0,1000000,533719,0,0,0,0.533719,0.0,228.30791043769568,-4.197539926040918
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.005,normal,0,1000000,1000000,0,0,0,1.0,0.0,226.00115881999955,14.508587883785367
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.001,normal,0,1000000,703683,0,0,0,0.703683,0.0,203.25412197876722,35.703676814213395
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.001,normal,0,1000000,757428,0,0,0,0.757428,0.0,223.40268536191434,33.61722904117778
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.001,normal,0,1000000,687727,0,0,0,0.687727,0.0,202.88387869298458,36.15098670497537
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.001,normal,0,1000000,815072,0,0,0,0.815072,0.0,227.65795383928344,33.188998031429946
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.001,normal,0,1000000,684415,0,0,0,0.684415,0.0,201.4058322943747,36.13153849169612
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.001,normal,0,1000000,878447,0,0,0,0.878447,0.0,229.22492829617113,35.471678575500846
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.001,normal,0,1000000,1000000,0,0,0,1.0,0.0,225.63891808968037,41.682164589408785
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0005,normal,0,1000000,839064,0,0,0,0.839064,0.0,212.06602543825284,42.01661607483402
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0005,normal,0,1000000,870438,0,0,0,0.870438,0.0,229.47132135508582,39.955768287181854
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.0005,normal,0,1000000,828961,0,0,0,0.828961,0.0,212.28201693389565,43.20053944317624
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0005,normal,0,1000000,903010,0,0,0,0.90301,0.0,229.68760239006951,41.08333464106545
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.0005,normal,0,1000000,827424,0,0,0,0.827424,0.0,211.15448370995,43.392080953810364
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.0005,normal,0,1000000,937071,0,0,0,0.937071,0.0,230.00938456412405,42.92018326697871
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.0005,normal,0,1000000,1000000,0,0,0,1.0,0.0,226.41671274788678,46.18851488921791
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.0001,normal,0,1000000,965657,0,0,0,0.965657,0.0,220.07948738429695,48.73330921167508
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.0001,normal,0,1000000,972768,0,0,0,0.972768,0.0,233.69092770200223,45.441171834710985
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.0001,normal,0,1000000,963289,0,0,0,0.963289,0.0,220.81923725595698,49.30044109001756
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.0001,normal,0,1000000,979911,0,0,0,0.979911,0.0,232.10229194397107,46.936410936992615
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.0001,normal,0,1000000,962845,0,0,0,0.962845,0.0,220.37937108520418,50.18520250078291
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.0001,normal,0,1000000,987134,0,0,0,0.987134,0.0,229.0048640370369,49.12864599796012
5,x,17,"['z', 'z', 'z', 'z', 'x']",0.0001,normal,0,1000000,1000000,0,0,0,1.0,0.0,226.11476004496217,51.49181602708995
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.01,m1,0,1000000,45589,0,0,0,0.045589,0.0,136.88864664314315,0.25340462289750576
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.01,m1,0,1000000,95645,0,0,0,0.095645,0.0,180.41746011096984,-15.704391456209123
5,x,4,"['x', 'z', 'x', 'x', 'x']",0.01,m1,0,1000000,45283,0,1,0,0.045283,0.0,142.4345821798779,-1.357294799759984
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.01,m1,0,1000000,199531,0,0,0,0.199531,0.0,192.73513051727787,-20.710475244093686
5,x,6,"['x', 'x', 'z', 'x', 'x']",0.01,m1,0,1000000,43693,2,5,0,0.043693,4.577392259630386e-05,138.58992326213047,0.5206423965282738
5,x,9,"['z', 'z', 'z', 'x', 'x']",0.01,m1,0,1000000,426563,0,0,0,0.426563,0.0,175.29755738424137,-8.725371628068388
