,list_key,list_value
0,010111110000101001010101101010100101000100000000,5
1,101000001111111101011111101000001111111000000000,10
2,101000000101101011111010101011110000100000000000,6
3,101000000000010110100101101001010001011000000000,5
4,111100000101101010101010111111110100111000000000,5
5,111101011111111100001010101000001001111000000000,7
6,010110100101000000001010111101010110110100000000,11
7,000001011111000011110101010111111010110100000000,11
8,101010101010111100000101000001010101100000000000,7
9,111110100000101011110000010110100100010000000000,13
10,000011111111101011110101111101010101100100000000,6
11,101010100101000011111010000001011011001100000000,6
12,010111111111111110100000101000000110100100000000,8
13,010100000000111101011111010111110000110100000000,10
14,010111111010101011110101101000000000001100000000,10
15,101000000101000011110000101001011010101000000000,4
16,000000000101101001011010000011110100000100000000,13
17,101011110101101011110101010111110111011100000000,5
18,101011110101000011111111010101010111001000000000,7
19,111111111111111100000000000000001110110100000000,7
20,101000000000101010101010101010101100011100000000,11
21,111100000101000010100000111101010100001000000000,7
22,111100001111101000001010111101011110111000000000,7
23,111100001111101000001010111101010010100000000000,6
24,111101010101111110101010101010101111010000000000,11
25,111110100000010111111111010101010101000100000000,7
26,010111110000010101011010101001010010010100000000,10
27,101010101010000000001010000010101000101000000000,6
28,000001010000101000001111010110101100001100000000,11
29,101010100000111110100101000011110011000100000000,5
30,000010101010101010100000101000000011111100000000,9
31,000001010101000001010101010101011110100000000000,4
32,000010101111111111110101101000000011111000000000,13
33,101001010101010111110000111100000000010100000000,10
34,000011110000111100000000111111111010101100000000,6
35,010101010101101100001111000011111000101100000000,1
36,111110101010101001010000010100001001101000000000,7
37,010101010101101000001111000011110111000000000000,7
38,000010100101000001011010101001011000011000000000,8
39,111100001111010100000101111110101000100100000000,10
40,111101010101101010101111101011110101101100000000,4
41,111100001111111100001111111100001000100100000000,9
42,000000000000000000000000000000000110101000000000,7
43,111111111010111101010000000001011110000100000000,5
44,101011111111000001011111010111111100000000000000,14
45,000010101111000011111010101011110111111000000000,11
46,000000001111000011110000000011110011100100000000,9
47,000001011010101010101111010100001010010000000000,13
48,000000000101010101010101000000000011101100000000,6
49,111110101010111101010101010101010110001100000000,4
50,010111111010101011110101101000001011000000000000,11
51,111110100000010111111111010101010111111000000000,9
52,000001011010101010101111010100001010100000000000,6
53,111101011111010100000000101010101010110000000000,7
54,111111110000000011111111000000000001100000000000,12
55,111100001010101001011010111100000000010000000000,8
56,000011110000000000001111111100000110000100000000,5
57,010110100000101001010000111110100011111000000000,7
58,111100000101000010100000111101010101001100000000,4
59,000011110000000000001111111100001110010000000000,7
60,000011111111111111110000111100000111100000000000,10
61,101010101010010100001111000011111110001000000000,4
62,010101010000010101010000000001010010010100000000,7
63,101010100101000011111010000001011000101000000000,5
