,list_key,list_value
0,110000111111110000111111111100111111001101111000,18
1,110000000011111111111111110011001100110010000010,20
2,001111110011110000000011110011111100111100011001,12
3,001100001111111111001111001100001100000000010011,22
4,111111001100110000110000001100000011111110010000,16
5,110011001100110000000000000000001111111101111011,19
6,001111111111001111001100110011001100001111001100,13
7,000000110000101100001000001110110011000110011101,1
8,000011000000001100001111110000110011001110111000,10
9,110000000011000011110000110000111100110001110011,19
10,001100110000110000111111000011001111001101110011,17
11,110000110000111111001100111111111111000000100000,13
12,000000000011111100111111000011000000110010000010,16
13,111111111100000000111111000011000000110000110101,19
14,001100111111111111001100000000001111000001000100,12
15,111100110011110011001111110011110011111100101001,17
16,111100000011111111001111111111000000110011001101,10
17,000000111100001111000000001111110011111100100011,13
18,110011000011001111111111000000001111111101010110,15
19,000000000000000000000001000000000000000000011001,1
20,001100000000111100111111001111111100000001010011,9
21,000000001111111111111111000000000000000011111101,14
22,001100111100001111110000000011111111111111100011,18
23,111100111100001100110000110011110011111110101100,21
24,111100110000001111110000110000110011001110111000,17
25,111111000000110011110000001111000011001111001111,13
26,000000111100000011000010001111000011110011101011,1
27,111100001100000000110000111111000000110011010101,11
28,110011111100000000001111001111001100110011100011,16
29,001100000011000000000000001100111100110011011100,16
30,000000000000000000000000000000000000000010001001,21
31,111100111100000000110011110011000011110001001010,9
32,111100000000001111110011111100110000001101110100,14
33,111111110100111110110000000010110000010001100111,1
34,110011001111111100110011000000001111000010101001,20
35,000000110000110000001111001111000011001110110001,18
36,000000000000000000000000000000000000000000000011,15
37,000011111111111111110000111100000000000001100001,15
38,110000110000110011001011111111001111001101010001,1
39,111100110011000011000011110000110011110011100110,14
40,110000111111001100100000111111001111001100000011,1
41,000011000000001100001111010000110011001111010011,1
42,000000000000000000000000000000000000000000100010,12
43,000000110011111100111100001111000011110010010010,11
44,111111001100000000111100001111000011110011111111,16
45,110011111111001100111100001111001100001101110100,11
46,110011111111110000110011001100111100001110001011,16
47,111111001111001100001111001111000011001100000110,16
48,111100000011001111000011111100000000111101010100,16
49,001100111111111111001100000000001111000010101011,15
50,000000000000000000000000000000000000000011010000,18
51,110000001111001100110011110011001100001101001100,13
52,000010110000111100001100001111110011000010010101,1
53,110000110000111111001100111111111111000010010100,18
54,110011111100000000001111001111001100110000011101,13
55,111111001111111000000010001100110011001100010000,1
56,001111000011000000001100111100111111110000100100,19
57,110011011111111100110010000000001111000000011111,1
58,000011111111111111110000111100000000000011101101,17
59,110011001100001100001111000011111111111101100010,18
60,110000000000000011000000110000001100000010010011,11
61,000000000000000000000000000000000000000011101111,21
62,000011000000000000001100110000000011000011011100,17
63,000011110011000000111111111100110000110000100011,15
64,000000110011000000110011001100110011110010100011,20
65,000011110000000000001111111100000000000001011110,12
66,001111111111111111000000110000001100000000101100,20
67,110000110011000011110011111100111111110001011010,15
68,110011110011111111110000001111001100110010111000,10
69,111100111100110000111111110000000011111111100111,14
70,000011001100001111001111110011110011111111000000,16
71,001100001100111111111111001100111100110001100100,16
72,001100001100111111111111001100111100110010001001,16
73,111111111100110000110011000000000000111101111111,13
74,110011000011110011110000000011111111111100001000,9
75,001111000000110000110000111111001111001110011111,10
76,110000111100111100001100111100111111110000100011,8
77,001111000011001100001111111100001111111110101001,16
78,110011001111001100111111000011001111001111011010,14
79,111111001100110000110000001100000011111101001010,12
80,001100110011000100100010000000101111110111010000,1
81,111111000000111111110011001111110011000000110010,12
82,001111001111111111000011011100001111000001100001,1
83,000000111111000011110011001111110011000010110111,17
84,000011110011111100110000111111000000110010111011,10
85,001100001100000011110000001111001100110001010110,14
86,000000001100001111000011000011110000111110101100,7
87,001100110011110000001111000011111111111110001000,20
88,001111000011111100000011111111001111110001011011,12
89,001100110011111100001100000011001111110010011110,17
90,001100111100110111111110000000011111110001101010,1
91,000011000000001100001111110000110011001100001110,13
92,110000110000110011001111111111001111001110011001,19
93,001100000000001100110011001100111100001100000001,23
94,111111111111110000000011000000110000001111110110,15
95,001100111100111111111100000000111111110000101111,13
96,000011111111110011110011111100110000001110000011,15
97,001111000000110000110000111111001111001100001110,18
98,001111001100001111111111111111111111111111100000,8
99,111111001100000000111100001111000011110010000100,11
100,111100110000001111110000110000110011001101110010,20
101,111100000000110011111100111111000000001111101101,14
102,000011000011001100111111110000000011111100101101,14
103,110000110011110011111111111111111111111111001000,11
104,000011000011001100111111110000000011111100111100,10
105,110000001111110000111100110000111100001110101100,17
106,001100001000110010111100001100001100111101110011,1
107,111111000000111111110011001111110011000001100110,19
108,110000000000111111001111100011111100000011100110,1
109,110011000000110011000000000011001111001111011111,16
110,110000110000110011001111111111001111001101110111,14
111,111100000100110011111100111111000000001110101100,1
112,111100110011110011101111110011110011111101100011,1
113,110011001100110000000000000100001111111101011011,1
114,111111000000000011111100001100000011000000111100,9
115,110000110000110011001111111111001111001100111011,9
116,000011111011000011111111111111110000000010101101,1
117,000000110000001100000000001100110011001101111101,15
118,001100111100001111110000000011111111111101101010,11
119,110000111111000000110011111111111111000000110110,11
120,001100001100110011111100001100001100111101011100,12
121,001100000000110000111100001111001100001111000001,18
122,000000111111110011111111001100110011001100100010,12
123,110000000000000011000000110000001100000010100011,17
124,000000000000110000001100000011000000001110001000,15
125,001111000000001100111111111100111111001101111111,12
126,111111111111110000000011000000110000001110001010,16
127,111111111100110000110011000000000000111100000010,14
128,111111001100110000110000001100000011111100000010,15
129,000000111111000011110011001111110011000000010100,16
130,001111001111111111000011111100001111000001110101,15
131,000000000011110000111100000011110000111100110110,17
132,000011110000111100000000111111110000000001011010,12
