,list_key,list_value
0,111111111000100001110111110111100000000000000000,11
1,001100110100010001110111001100110000000100000000,1
2,010101010110011010110011101110000000000000000000,2
3,010101011110111010111011110110110000000000000000,16
4,101010101000100000100010100100100000000000000000,7
5,110111010011001111101110100101100000000000000000,15
6,011101111111111110001000011101010000000000000000,11
7,010001000110011000100010001011000000000000000000,14
8,101010101010101000000000100001010000000000000000,10
9,100010001110111001100110111011000000000000000000,18
10,010101011000100011011101111011000000000000000000,15
11,010001001110111010101010000000100000000000000000,21
12,110111010001000111001100100101000000000000000000,11
13,101110110111011111001100011010110000000000000000,8
14,001000100101010101110111101100110000000000000000,15
15,111111110111011110001001011111110000000000000000,1
16,011001100111011100010001110011110000000000000000,13
17,000100011010101010111011011111100000000000000000,17
18,100110010111011111101110011110100000000000000000,10
19,001100110110011001010101111000010000000000000000,12
20,001000101100110011101110010000000000000000000000,15
21,001000101111111111011101101100100000000000000000,12
22,110011000000000011001100001010000000000010000000,1
23,011001101111111110011001110011000000000000000000,13
24,001100111001100110101010011100000000000000000000,14
25,110011000111011110111011001111100001000000000000,1
26,100110011001100100000000000100010000000000000000,16
27,011001100001000101110111111110110000000000000000,17
28,011101111110111010011001101110010000000000000000,13
29,011101110111011100000000000111100000000000000000,12
30,100110010111011111101110100011110000000000000000,16
31,010001000110011000100010000100000000000000000000,20
32,011101110010001001010101101111010000000000000000,21
33,110011001101110100010001111100110000000000000000,23
34,100110010001000110001000010100100000000000000000,14
35,010001001011101111111111111111000000000000000000,13
36,011101110001000101100110011111000000000000000000,10
37,000000000000000000000000000001100000000000000000,12
38,111001100011001111010101101100000000000000000000,1
39,111011101111111100010001110001100000000000000000,12
40,010101010001000101000100010000010000000000000000,11
41,010101011001100111001100001001100000000000000000,12
42,010001000101010100010001001011100000000000000000,18
43,101010100001000110111011100000010000000000000000,18
44,010101010110011000110011100111010000000000000000,16
45,011101111010101011011101010111110000000000000000,16
46,110011001111111100110011000011010000000000000000,10
47,001000101101110111111111001011110000000000000000,13
48,100010000000000010001000101010010000000000000000,16
49,101010111101110101110110011110010100000000000000,1
50,110111011011101101100110111011100000000000000000,15
51,010001001010101011101110110110110000000000000000,20
52,011101110111011100000000101111000000000000000000,15
53,111011100001000111111111000100100000000000000000,16
54,101110110101010111101110110111100000000000000000,11
55,000100011001100110001000011101010000000000000000,18
56,100110010001000110001000001111010000000000000000,15
57,101110111000100000110011101001010000000000000000,20
58,001000100110011001000100010101100000000000000000,13
59,011101110100010000110011000110110000000000000000,14
60,000000001111111111111111111001100000000000000000,14
61,011001101010101011001100110101100000000000000000,19
62,001100111111111111001100110100000000000000000000,10
63,001000100001000100110011000011000000000000000000,15
64,011101111100110010111011100010110000000000000000,13
65,011001101101110110111011000011110000000000000000,19
66,111011100110011010001000010000100000000000000000,13
67,001000101101110111111111000100110000000000000000,19
68,111110110001000110101000110100010000000000000000,1
69,110111010011001111101110011100110000000000000000,5
70,101010100010001010001000100110010000000000000000,15
71,101110110101010111101110011011100000000000000000,14
72,111111111001100101100110011110100000000000000000,15
73,111111110100010010111011011000100000000000000000,11
74,011101110110011000010001110111100000000000000000,12
