,list_key,list_value
0,010100100101001000011100000000000000000000000000,7
1,101110001011100000111110000000000000000000000000,11
2,001100010011000101101110000000000000000000000000,9
3,000011010000110111010101000000000000000000000000,8
4,010101100101011000100010000000000000000000000000,7
5,111111001111110001100001000000000000000000000000,10
6,100001001000010001100000000000000000000000000000,10
7,111001011110010100010011000000000000000000000000,9
8,001110000011100001010010000000000000000000000000,11
9,101100111011001111001001000000000000000000000000,12
10,111100101111001010010101000000000000000000000000,3
11,001000100010001010100111000000000000000000000000,9
12,101111101011111010000011000000000000000000000000,8
13,001110100011101011110110000000000000000000000000,11
14,110100101101001001011001000000000000000000000000,12
15,111000111110001111001011000000000000000000000000,8
16,100101111001011100101101000000000000000000000000,5
17,000101100001011001011101000000000000000000000000,2
18,111000101110001001110001000000000000000000000000,7
19,111111101111111000000000000000000000000000000000,7
20,100100101001001001100011000000000000000000000000,7
21,001001010010010100000001000000000000000000000000,5
22,011100110111001110101111000000000000000000000000,5
23,100100111001001101101111000000000000000000000000,3
24,110111101101111010100001000000000000000000000000,13
25,110011101100111000111111000000000000000000000000,7
26,010010110100101100101000000000000000000000000000,11
27,101001101010011001101010000000000000000000000000,6
28,111011101110101010100011000000000000000000000000,1
29,100110111001101110010101000000000000000000000000,12
30,111101001111010011001001000000000000000000000000,6
31,101000101010001010011000000000000000000000000000,10
32,010110100101101001010100000000000000000000000000,8
33,110011101100111011001010000000000000000000000000,6
34,000110110001101101000111000000000000000000000000,8
35,010101100101111011111100000000000000000000000000,1
36,100100011001000110000101000000000000000000000000,6
37,010101110101011101110001000000000000000000000000,14
38,001000010010000110101100000000000000000000000000,10
39,000011110000111101010110000000000000000000000000,10
40,010100100101001001110010000000000000000000000000,7
41,001000000010000001000000000000000000000000000000,7
42,100111101001111001000011000000000000000000000000,7
43,001001100010011011111101000000000000000000000000,13
44,001001110010011110101000000000000000000000000000,6
45,011000000110000010000001000000000000000000000000,8
46,010100110101001100110001000000000000000000000000,5
47,001010110010101101010110000000000000000000000000,9
48,001110000011100001010111000000000000000000000000,10
49,001101110011011100010010000000000000000000000000,6
50,100011001000110000111100000000000000000000000000,5
51,101101101011011101110110010000000000000000000000,1
52,110010011100100100000010000000000000000000000000,6
53,111000111110001110110000000000000000000000000000,7
54,101100101011001010100110000000000000000000000000,8
55,000001100000011000110100000000000000000000000000,8
56,010101000101010010000000000000000000000000000000,3
57,111001101110011000000101000000000000000000000000,6
58,011001000110010011110110000000000000000000000000,9
59,000111100001111001000101000000000000000000000000,10
60,000011010000110111110001000000000000000000000000,6
61,110011101100111011001000000000000000000000000000,7
62,010001110100011100100111000000000000000000000000,7
63,011011100110111011100100000000000000000000000000,6
64,010100110101001101110001000000000000000000000000,4
65,000111010001110101111110000000000000000000000000,8
66,110011101100111001011111000000000000000000000000,10
67,010101110101111111010000000010000000001000000000,1
68,001100100011001001100100000000000000000000000000,5
69,011010000110100011000101000000000000000000000000,5
70,000100110001001110010000000000000000000000000000,6
71,101111001011110010111101000000000000000000000000,4
72,110101111101011100011111000000000000000000000000,9
73,101000101010001000000101000000000000000000000000,12
74,111011011110110110110000000000000000000000000000,13
75,101101111011011110110010000000000000000000000000,8
76,001100100011001010001011000000000000000000000000,15
77,100000111000001110101110000000000000000000000000,6
78,011100100111001000010010000000000000000000000000,9
79,100111101001111000001100000000000000000000000000,9
80,001001000010010000001111000000000000000000000000,6
81,000001100000011010000110000000000000000000000000,6
82,110010111100101100010010000000000000000000000000,12
83,001100000011000001000001000000000000000000000000,9
84,111100111111001101111010000000000000000000000000,8
85,011000100110001010010001000000000000000000000000,8
86,100000010000000101010000000000000000000000000000,1
87,110011001100110011110010000000000000000000000000,10
88,111010011110100101011011000000000000000000000000,5
89,110001011100010110011001000000000000000000000000,9
90,101100111011001101110100000000000000000000000000,10
91,010000000100000001101010000000000000000000000000,6
92,010110100101101001001100000000000000000000000000,11
93,010000100100001000011101000000000000000000000000,13
94,000000100000001011000000000000000000000000000000,8
95,100101001001010000100000000000000000000000000000,11
96,010111100101111000100010000000000000000000000000,6
97,001010100010101001100100000000000000000000000000,11
98,010010100100101001100110000000000000000000000000,4
99,100011001000110010100100000000000000000000000000,2
100,011000110110001100111111000000000000000000000000,9
101,000100000001000001110011000000000000000000000000,3
102,001011000010110010101101000000000000000000000000,6
103,111100101111001001010100000000000000000000000000,13
104,101001111010011111011100000000000000000000000000,14
105,010011100100111011001011000000000000000000000000,6
106,110010001100100000100110000000000000000000000000,7
107,010000110100001111110100000000000000000000000000,3
108,110110001101100000010001000000000000000000000000,11
109,000011100001111011011010000000000000000000000000,1
110,110000001100000010110010000000000000000000000000,10
111,100110001001100011000111000000000000000000000001,1
112,001110110011101111101101000000000000000000000000,13
113,001111100011111000000010000000000000000000000000,7
114,110011111100111100010110000000000010000000000000,1
115,111010011110100101011001000000000000000000000000,5
116,100000111000001101001100000000000000000000000000,9
117,111001101110011000101111000000000000000000000000,7
118,011101110111011100101001000000000000000000000000,8
119,000010110000101110000111000000000000000000000000,6
120,111000101110001010001110000000000001000000000000,1
121,011111010111110111111101000000000000000000000000,6
122,001110010011100111010010000000000000000000000000,8
123,000111110001111100011110000000000000000000000000,4
124,000010010000100110101101000000000000000000000000,10
125,111001111110011111110000000000000000000000000000,3
126,101110001011100001100001000000000000000000000000,10
127,110110001101100011011010000000000000000000000000,7
128,101101011011010111001010000000000000000000000000,12
129,100010011000100101101001000000000000000000000000,9
130,111110001111100000001101000000000000000000000000,12
131,100101101001011001000011000000000000000000000000,2
132,111011101110111000010110000000000000000000000000,11
133,000000110000001100110100000000000000000000000000,9
134,011101000111010011101010000000000000000000000000,10
135,101011001010110000101111000000000000000000000000,3
136,011110100111101000010110000000000000000000000000,11
137,010000000100000000010001000000000000000000000000,6
138,001001110010011111111110000000000000000000000000,12
139,100100101001001011100101000000000000000000000000,7
140,010011000100110010010011000000000000000000000000,11
141,010011000100110010011011000000000000000000000000,8
142,001111100011111011000100000000000000000000000000,11
143,011011010110110110010000000000000000000000000000,10
144,011001010110010110000100000000000000000000000000,11
145,001100100011001001110000000000000000000000000000,10
146,000100100001001011000111000000000000000000000000,9
147,011000000110000000001011000000000000000000000000,12
148,110111101101111011100110000000000000000000000000,4
149,010001110100011111010100000000000000000000000000,8
150,001111000011110000100010000000000000000000000000,7
151,101001011010010110100010000000010000000000000000,1
152,001010110010101110111000000000000000000000000000,7
153,110110111101101110010100000000000000000000000000,6
154,101010001010100001110000000000000000000000000000,7
155,110100011101000101011000000000000000000000000000,9
156,010010010100100100010010000000000000100000000000,1
157,001101010011011100010101001000000010000000000000,1
158,000010000000100011010001000000000000000000000000,7
159,110010111100101111000001000000000000000000000000,10
160,001001000010010000010101000000000000000000000000,7
161,001000100010001001101011000000000000000000000000,6
162,111101101111011000110000000000000000000000000000,16
163,101101001011010001100101000000000000000000000000,11
164,111111111111111101001011000000000000000000000000,6
165,010101010101010110011000000000000000000000000000,5
166,011111110111111101011011000000000000000000000000,8
167,111011111110111100001001000000000000000000000000,9
168,110010111100101101111000000000000000000000000000,6
169,101101111011011111101110000000000000000000000000,7
170,000100010001100111111010100000000010000000100000,1
171,111101101111011011010001000000000000000000000000,6
172,111101001111010000010100000000000000000000000000,8
173,111011111110111110010101000000000000000000000000,9
174,111000101110001001110111000000000000000000000000,11
175,000101010001010111000010000000000000000000000000,12
176,011000110110001111101111000000000000000000000000,9
177,010001010100010111001010000000000000000000000000,10
178,111001111110011111010111000000000000000000000000,12
179,111111001111110001110101000000000000000000001000,2
180,110000001100000010101000000001000000000000000000,1
181,101010011010100101100010000000000000000000000000,6
182,010010110100101111000001000000000000000000000000,6
183,101111111011111101000011000000000000000000000000,8
184,101111001011110011111000000000000000000000000000,15
185,000100110001001110100011000000000000000000000000,11
186,010001110100011110001111000000000000000000000000,10
187,100100001001000000111110000000000000000000000000,4
188,000100100001001010010010000000000000000000000000,12
189,010100010101000101001010000000000000000000000000,6
190,011110100111101011111000000000000000000000000000,9
191,100101101001011001011011000000000000000000000000,9
192,010011100100111001101110000000000000000000000000,10
193,011100010111000100100010000000000000000000000000,6
194,111110011111100111001101000000000000000000000000,9
195,000001110000011101010110000000000000000000000000,7
196,100011111000111111100010000000000000000000000000,9
197,100110101001101000001011000000000000000000000000,9
198,011000110110001111001110000000000000000000000000,7
199,110011001100110011000000000000000000000000000000,8
200,010111100101101001001110000000000000000000000000,1
201,100010111000101110110011000000000000000000000000,10
202,011100010111000110000001000000000000000000000000,4
203,010001010100010100000111000000000000000000000000,9
204,010111000101110000100111000000000000000000000000,6
205,111111111111111110010010000000000000000000000000,7
206,000110010001100100100000000000000000000000000000,5
207,000110000001100001001000000000000000000000000000,9
208,011010000110100000101001000000000000000000000000,5
209,100011101000111011101101000000000000000000000000,9
210,110111111101111101001111000000000000000000000000,11
211,001101110011011111000100000000000000000000000000,8
212,110000101100001010100010000000000000000000000000,9
213,111000101110001010100010000000000000000000000000,11
214,101001011010010111110010000000000000000000010000,1
215,110100101101001011100101000000000000000000000000,10
216,111001101110011011011100000000000000000000000000,7
217,101010111010101110101011000000000000000000000000,7
218,111001011110010110100101000000000000000000000000,6
219,111100011111000100110110000000000000000000000000,9
220,010110100101101010101011000000000000000000000000,7
221,101011001010110000110111000000000000000000000000,7
222,100010101000101000010110000000000000000000000000,14
223,110110011101000110101111100000000010000000000000,1
224,100010011000100101011100000000000000000000000000,8
225,111010101110101001110010000000000000000000000000,9
226,110011001100110010111100000000000000000000000000,13
227,110110001101100010001001000000000000000000000000,13
228,100111111001111101110000000000000000000000000000,7
229,001010100010101010010010000000000000000000000000,9
230,110001111100011100001011000000000000000000000100,1
231,111111101111111010111001000000000000000000000000,10
232,000000010000000111100110000000000000000000000000,9
233,011111010111111101000111000000000000000000000000,1
234,111110001111100000110000000000000000000000000000,6
235,111001111110010111111001000000000000000000000000,1
236,000000010000000110110101000000000000000000000000,7
237,101111001011110011110111000000000000000000000000,7
238,011110000111100010001100000000000000000000000000,8
239,111100101111001000110011000000000000000000000000,10
240,101110111011101100011101000000000000000000000000,8
241,110100001101000011101100000000000000000000000000,4
242,010100000101000001001111000000000000000000000000,9
243,100100011001000100001001000000000000000000000000,7
244,100010011000110100010001000000000000000000000000,1
245,011101110111011111001000000000000000000000000000,8
246,011100110111001100011111000000000000000000000000,13
247,110011101000111001000011000000000000000000000000,1
248,001111010011110111100100000000000000000010000000,1
249,101000101010001001111100000000000000000000000000,8
250,001110100011101011010011000000000000000000000000,5
251,001101100011011010110110000000000000000000000000,10
252,010111010101110110101011000000000000000000000000,6
253,010101000101010010001111000000000000000000000000,9
254,100001111000011111011001000000000000000000000000,7
255,110110101101101010111111000000000000000000000000,11
256,010011010100110110100010000000000000000000000000,8
257,100111001001110001011011000000000000000000000000,3
258,000100100001001010100010000000000000000000000000,11
259,001111110011111110101111000000000000000000000000,8
260,011010000110100010101011000000000000000000000000,13
261,001111010011110111111110000000000000000000000000,6
262,100111101001111001111011000000000000000000000000,8
263,101110001011100011111111000000000000000000000000,8
264,101110111011101110011111000000000001000000000000,1
265,011111010111110110110111000000000000000000000000,9
266,011101010111010100011111000000000000000000000000,4
267,000111100001111010101110000000000000000000000000,16
268,110101101101011011000011000000000000000000000000,6
269,100000011000000100011001000000000000000000000000,10
270,001101010011010100011110000000000000000000000000,7
271,101011011010110101001100000000000000000000000000,11
272,001010010010100110010100000000000000000000000000,9
273,010000010100000100011110000000000000000000000000,11
274,001111110011111111000011000000000000000000000000,8
275,011100010111000100101011000000000000000000000000,9
276,010100010101000100101101000000000000000000000000,9
277,111010001110100001100011000000000000000000000000,7
278,110000001100000001110101000000000000000000000000,9
279,110101011101010111000001000000000000000000000000,5
280,011001000110110011110110100000000000000000000000,1
281,010101100101011000011101000000000000000000000000,10
282,110000001100000000011100000000000000000000000000,6
283,000100110001001111010010000000000000000000000000,10
284,110111101101111011001011000000000000000000000000,8
285,110110111101101110010000000000000000000000000000,10
286,000101000001010010111001000000000000000000000000,9
287,011010110110101110001001000000000000000000000000,6
288,000011010000110110111010000000000000000000000000,8
289,010010100100111010110101000000000000000000000000,1
290,100001001000010011111000000000000000000000000000,8
291,101100011011000111011101000000000000000000000000,13
292,111111011111110111001110000000000000000000000000,6
293,000100100011001011111000000000100000000000000000,1
294,001001010010010101111110000000000000000000000000,6
295,001100100011001001100000000000000000000000000000,11
296,001010110010101111111100000000000000000000000000,16
297,000001100000011000010101000000000000000000000000,4
298,010101000101010010010111000000000000000000000000,12
299,100111011001110111111100000000000000000000000000,4
300,011010010110100111000001000000000000000000000000,9
301,101111011011110110101011000000000000000000000000,12
302,100111011001110110111101000000000000000000000000,9
303,001001110010011111110101000000000000000000000000,8
304,110001111100011110000111000000000000000000000000,9
305,100100111001001110010101000000000000000000000000,8
306,011101110111011111001110000000000000000000000000,9
307,101111011011110101010001000000000000000000000000,11
308,011100100111001011101111000000000000000000000000,7
309,001100100011001001111011000000000000000000000000,6
310,000001000000010010001101000000000000000000000000,10
311,110010001100100011010110000000000000000000000000,10
312,111100111111001100110100000000000000000000000000,9
313,101010111010101110010110000000000000000000000000,4
314,111010001110100010111000000000000000000000000000,7
315,011101110111011110110000000000000000000000000000,4
316,110011001100110011110100000000000000000000000000,8
317,100100011001000101001110000000000000000000000000,6
318,010011010100110110010100000000000000000000000000,5
319,111000111110001101001110000000000000000000000000,8
320,101111111011111101110001000000000000000000000000,9
321,100010101000101010011001000000000000000000000000,12
322,011101000111010001101011000000000000000000000000,9
323,111101001111010001011111000000000000000000000000,4
324,100110011001100100001010000000000000000000000000,8
325,010111100101111001111110000000000000000000000000,5
326,100000111000001111100010000000000000000000000000,8
327,001011100010111001010101000000000000000000000000,2
328,111000101110001010101110000000000000000000001000,1
329,100010011000100110110100000000000000000000000000,8
330,100110111001101101000100000000000000000000000000,8
331,111100101111001001100101000000000000000000000000,11
332,111010011110100101101011000000000000000000000000,8
333,011001100110011000110000000000000000000000000000,11
334,001001000010010010011101000000000000000000000000,13
335,010011000100110001000011000000000000000000000000,6
336,100101011001010100000000000000000000000000000000,9
337,110101011101010100100011000000000000000000000000,9
338,010101110101011101101010000000000000000000000000,9
339,011000010110000111101110000000000000000000000000,9
340,011010010110100110011101000000000000000000000000,11
341,010011100100111011000100000000000000000000000000,10
342,010101100101011000110000000000000000000000000000,3
343,111001011110010111111101000000000000000000000000,6
344,100111011001110111010100000000000000000000000000,15
345,111100001111000001101000000000000000000000000001,1
346,010010010100100110000111000000000000000000000000,7
347,000110100001101011001101000000000000000000000000,10
348,000110110001101110111001000000000000000000000000,8
349,111110111111101101011101000000000000000000000000,10
350,101100011011000110110001000000000000000000000000,11
351,000000110000001111011011000000000000000000000000,7
352,010100100001001000101011000001000000010000000000,2
353,111010001110100011111011000000000000000000000000,10
354,000000000000000000000110000000000000000000000000,10
355,101111001011110011000011000000000000000000000000,8
356,000000000000000010110100000000000000000000000000,6
357,001000100010001011011111000000000000000000000000,8
358,001110000011100010100101000000000000000000000000,8
359,000010110000101111011000000000000000000000000000,6
360,011100010111000100111011000000000000000000000000,9
361,010111110101111100110100000000000000000000000000,6
362,100010001000100001111000000000000000000000000000,8
363,000010110000101111010010000000000000000000000000,5
364,100110011001000101111001000000000000000000000000,1
365,111001101110011010100101000000000000000000000000,12
366,011110010111100100111111000000000000000000000000,7
367,000010000000100010101011000000000000000000000000,9
368,101001011010010100100001000000000000000000000000,11
369,101011001010110000011111000000000000000000000000,7
370,011011100110111010010011000000000000000000000000,8
371,111110011111100101111100000000000000000000000000,6
