n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",0.01,normal,1000000,605251,1428,2767,0,0.605251,0.0023593517400218866,13.54146567999851,0.9480296400142834
3,x,2,"['x', 'x', 'x']",0.001,normal,1000000,950359,21,42,0,0.950359,2.2096912850821937e-05,1.5349380130064674,0.7297486460010987
3,x,3,"['z', 'x', 'x']",0.01,normal,1000000,748155,4206,7901,0,0.748155,0.005621829701064618,7.003655662003439,1.0370208410022315
3,x,3,"['z', 'x', 'x']",0.001,normal,1000000,969527,52,105,0,0.969527,5.3634401104840634e-05,1.0400306160154287,0.6814150039863307
3,x,4,"['x', 'z', 'x']",0.01,normal,1000000,652349,59690,110133,0,0.652349,0.09150010193929936,32.417906001996016,-14.427348549012095
3,x,4,"['x', 'z', 'x']",0.001,normal,1000000,953862,7462,14777,0,0.953862,0.007822934554474359,9.5965616540052,2.001406641007634
3,x,5,"['z', 'z', 'x']",0.01,normal,1000000,1000000,11638,21283,0,1.0,0.011638000000000037,0.6796095790050458,0.5449798659828957
3,x,5,"['z', 'z', 'x']",0.001,normal,1000000,1000000,134,269,0,1.0,0.00013399999999996748,0.10892041699844413,0.03141959200729616
3,x,6,"['x', 'x', 'z']",0.01,normal,1000000,638887,54632,102547,0,0.638887,0.08551120933748846,20.571669875003863,9.38157497299835
3,x,6,"['x', 'x', 'z']",0.001,normal,1000000,953611,7800,15513,0,0.953611,0.008179435849628436,15.065677373000653,3.3639355530031025
3,x,7,"['z', 'x', 'z']",0.01,normal,1000000,852145,102148,179727,0,0.852145,0.11987161809316493,4.3790485079807695,1.099953370023286
3,x,7,"['z', 'x', 'z']",0.001,normal,1000000,983631,13132,25912,0,0.983631,0.013350534905874234,6.421298411005409,1.1762774829985574
3,x,8,"['x', 'z', 'z']",0.01,normal,1000000,735012,158891,0,0,0.735012,0.21617470190962873,45.576906210015295,-30.048734727024566
3,x,8,"['x', 'z', 'z']",0.001,normal,1000000,969447,26298,0,0,0.969447,0.027126805281774025,13.593539780005813,0.07340398299857043
3,z,2,"['z', 'x', 'x']",0.01,normal,1000000,748155,45395,85186,0,0.748155,0.06067592945312139,4.640102094999747,0.7824093489907682
3,z,2,"['z', 'x', 'x']",0.001,normal,1000000,969527,5986,11907,0,0.969527,0.006174144711802776,6.376285515987547,1.0638396769936662
3,z,3,"['x', 'z', 'x']",0.01,normal,1000000,652349,38406,74088,0,0.652349,0.05887339445603501,34.49468948901631,-20.509440754016396
