n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",0.01,normal,1650729,1000000,1000000,2330,4513,0,1.0,0.0023300000000000542,0.955960094999682,0.7119308300007106
3,x,2,"['x', 'x', 'x']",0.001,normal,1052176,1000000,1000000,22,44,0,1.0,2.199999999996649e-05,0.5479535399990709,0.37145215200143866
3,x,3,"['z', 'x', 'x']",0.01,normal,1336218,1000000,1000000,5646,10582,0,1.0,0.00564600000000004,2.335544730000038,0.7623826189992542
3,x,3,"['z', 'x', 'x']",0.001,normal,1031422,1000000,1000000,56,111,0,1.0,5.599999999994498e-05,0.6695208180008194,0.36751965999974345
3,x,4,"['x', 'z', 'x']",0.01,normal,1532169,1000000,1000000,91392,168604,0,1.0,0.09139200000000003,9.189723765999588,0.44138784499955364
3,x,4,"['x', 'z', 'x']",0.001,normal,1048298,1000000,1000000,7827,15504,0,1.0,0.007827000000000028,2.7482622000006813,-0.4721476119993895
3,x,5,"['z', 'z', 'x']",0.01,normal,1000000,1000000,1000000,11638,21283,0,1.0,0.011638000000000037,0.9863071279996802,0.4725254920012958
3,x,5,"['z', 'z', 'x']",0.001,normal,1000000,1000000,1000000,134,269,0,1.0,0.00013399999999996748,0.13387298000088776,0.0915662709994649
3,x,6,"['x', 'x', 'z']",0.01,normal,1564507,1000000,1000000,85579,160598,0,1.0,0.08557899999999996,11.342879120000362,3.5535790099984297
3,x,6,"['x', 'x', 'z']",0.001,normal,1048588,1000000,1000000,8184,16271,0,1.0,0.008183999999999969,7.72079113700056,0.4436640050007554
3,x,7,"['z', 'x', 'z']",0.01,normal,1173511,1000000,1000000,119842,210734,0,1.0,0.119842,1.9603162569983397,2.4016581460018642
3,x,7,"['z', 'x', 'z']",0.001,normal,1016645,1000000,1000000,13356,26355,0,1.0,0.013356000000000035,3.767160032999527,1.2560149939999974
