n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,8,0.001,m2,val,800000,0.9974501611397867,797228,0.0,0.0,8,0.0,7.755725641169737e-05,0.0001119209427325205,0.0,0.0,0.0,0.0,0.0,0.0,0.996535,0.00010574403056437988,0.0001525965736368787,0,3,144,80,128,0.9995142647058823,4.060436380319016e-05,797228,0.0,0,734,0,0,232.8779524473939
5,x,8,0.0025,m2,val,800000,0.9940227739366071,793431,0.0,0.0,8,0.0,0.00027474040749224073,0.00039647103102799747,0.0,0.0,0.0,0.0,0.0,0.0,0.99178875,0.0004040887557208392,0.0005831304068804892,0,3,144,80,128,0.9988101470588235,0.00010937125578362748,793431,0.0,0,1798,0,0,221.93334603402764
5,x,8,0.005,m2,val,800000,0.9871178942956136,785984,0.0,0.0,8,0.0,0.0009844149703675611,0.0014205846960172585,0.0,0.0,0.0,0.0,0.0,0.0,0.98248,0.0012054398367401145,0.001739540169125183,0,3,144,80,128,0.9975124264705882,0.0002025922367789918,785984,0.0,0,3759,0,0,274.8059698850848
5,x,8,0.0075,m2,val,800000,0.9814389963484671,779918,0.0,0.0,8,0.0,0.0014267054739699303,0.0020588430926532755,0.0,0.0,0.0,0.0,0.0,0.0,0.9748975,0.0019039357893584346,0.0027475222604063498,0,3,144,80,128,0.9964708088235295,0.00039141806773025325,779918,0.0,0,5333,0,0,239.04076602100395
5,x,8,0.01,m2,val,800000,0.9754982068973994,773178,1.937989346080284e-06,0.0,8,3.875978692160568e-06,0.0011647187310975314,0.0016807765570082765,1.8534619721737743e-06,2.674684753460139e-06,0.0,0.0,3.7069239443475487e-06,5.349369506920278e-06,0.966470625,0.0012831044036340149,0.0018516159689386388,0,3,144,80,128,0.9951016176470588,0.00025517280751581665,773178,0.0,3,7402,0,0,233.43915417022072
5,x,11,0.001,m2,val,800000,0.9987579426530949,798497,0.0,0.0,8,0.0,0.00015584365487405943,0.00022489409217621098,0.0,0.0,0.0,0.0,0.0,0.0,0.99812125,0.00021446548090544548,0.0003094897875074991,1,2,112,80,96,0.9997057692307693,3.1742204932293244e-05,798497,0.0,0,510,0,0,493.60524687008
5,x,11,0.0025,m2,val,800000,0.9967898713118313,796173,0.0,0.0,8,0.0,0.00033717931690959097,0.000486575064209428,0.0,0.0,0.0,0.0,0.0,0.0,0.99521625,0.00044779118180240766,0.0006461962881796339,1,2,112,80,96,0.9992713461538462,6.690130547723532e-05,796173,0.0,0,1263,0,0,608.6300456058234
5,x,11,0.005,m2,val,800000,0.9935960318551397,792418,0.0,0.0,8,0.0,0.000654681392248485,0.0009447543917868446,0.0,0.0,0.0,0.0,0.0,0.0,0.9905225,0.0010246491350701537,0.0014786456158061968,1,2,112,80,96,0.9985721153846154,0.00019842664228086516,792418,0.0,0,2475,0,0,451.5271991833579
5,x,11,0.0075,m2,val,800000,0.9906384803915536,788751,0.0,0.0,8,0.0,0.0009132309423617174,0.0013178608002721462,0.0,0.0,0.0,0.0,0.0,0.0,0.98593875,0.001465674343945453,0.0021150780971734167,1,2,112,80,96,0.99781,0.00029596667651858203,788751,0.0,0,3796,0,0,553.6663738018833
5,x,11,0.01,m2,val,800000,0.9872722045105801,785245,0.0,0.0,8,0.0,0.0012732845433169522,0.0018374451733865983,0.0,0.0,0.0,0.0,0.0,0.0,0.98155625,0.0019525762219437172,0.002817714055755126,1,2,112,80,96,0.9973271153846154,0.0003316570304666853,785245,0.0,0,4633,0,0,600.5098985009827
5,x,13,0.001,m2,val,900000,0.9995063670520695,899025,0.0,0.0,9,0.0,7.230949279198509e-05,0.00011067779508977308,0.0,0.0,0.0,0.0,0.0,0.0,0.9989166666666667,0.00015122232345495229,0.00023146273998206986,2,1,80,48,64,0.9998033333333333,3.270294282071094e-05,899025,0.0,0,531,0,0,718.7990994621068
5,x,13,0.0025,m2,val,900000,0.9987382828887346,897649,0.0,0.0,9,0.0,0.00011010766368776234,0.0001685321382975954,0.0,0.0,0.0,0.0,0.0,0.0,0.9973877777777778,0.00018593554969929506,0.0002845952291315741,2,1,80,48,64,0.9995492592592592,3.648635425250995e-05,897649,0.0,0,1217,0,0,638.8474797089584
5,x,13,0.005,m2,val,900000,0.9977112663589117,895845,0.0,0.0,9,0.0,0.0002621753415223028,0.00040128878804434107,0.0,0.0,0.0,0.0,0.0,0.0,0.9953833333333333,0.0003928701453548269,0.0006013318551349392,2,1,80,48,64,0.9992222222222222,5.6559366822025587e-05,895845,0.0,0,2100,0,0,715.879021638073
5,x,13,0.0075,m2,val,900000,0.9962859240105639,893119,0.0,0.0,9,0.0,0.0005018290883798991,0.0007681057475202536,0.0,0.0,0.0,0.0,0.0,0.0,0.9923544444444445,0.001037664835157998,0.0015882625027928545,2,1,80,48,64,0.9986844444444445,0.00019015379870119647,893119,0.0,0,3552,0,0,694.2661723042838
5,x,13,0.01,m2,val,900000,0.9953250629201139,891484,0.0,0.0,9,0.0,0.00040566060162005295,0.0006209090841123259,0.0,0.0,0.0,0.0,0.0,0.0,0.9905377777777777,0.0007952691632241979,0.001217248719220711,2,1,80,48,64,0.9983966666666666,0.00016811964875139158,891484,0.0,0,4329,0,0,704.6068935911171
5,z,8,0.001,m2,val,900000,0.9995855555555555,899627,0.0,0.0,9,0.0,7.224513140930878e-05,0.00011057928276935018,0.0,0.0,0.0,0.0,0.0,0.0,0.9995855555555555,7.224513140930878e-05,0.00011057928276935018,3,0,48,48,32,1.0,0.0,899627,0.0,0,0,0,0,844.7211245943327
5,z,8,0.0025,m2,val,900000,0.9989322222222222,899039,0.0,0.0,9,0.0,0.00016257297089059916,0.00024883617993459056,0.0,0.0,0.0,0.0,0.0,0.0,0.9989322222222222,0.00016257297089059916,0.00024883617993459056,3,0,48,48,32,1.0,0.0,899039,0.0,0,0,0,0,860.0954970368184
5,z,8,0.005,m2,val,900000,0.9975244444444444,897772,0.0,0.0,9,0.0,0.0003593943719201924,0.0005500934264084578,0.0,0.0,0.0,0.0,0.0,0.0,0.9975244444444444,0.0003593943719201924,0.0005500934264084578,3,0,48,48,32,1.0,0.0,897772,0.0,0,0,0,0,811.6495705740526
5,z,8,0.0075,m2,val,900000,0.9964022222222222,896762,0.0,0.0,9,0.0,0.0007435149895954444,0.0011380331473399658,0.0,0.0,0.0,0.0,0.0,0.0,0.9964022222222222,0.0007435149895954444,0.0011380331473399658,3,0,48,48,32,1.0,0.0,896762,0.0,0,0,0,0,838.8254739493132
5,z,8,0.01,m2,val,900000,0.9951355555555556,895622,0.0,0.0,9,0.0,0.0005057546035503216,0.000774114189107635,0.0,0.0,0.0,0.0,0.0,0.0,0.9951355555555556,0.0005057546035503216,0.000774114189107635,3,0,48,48,32,1.0,0.0,895622,0.0,0,0,0,0,838.0831566629931
5,z,11,0.001,m2,val,800000,0.9973452282375517,797191,1.630659733756155e-05,0.0,8,3.26131946751231e-05,0.0002314019411708471,0.0003339303709829317,9.056671835366922e-06,1.3069457285243197e-05,0.0,0.0,1.8113343670733843e-05,2.6138914570486393e-05,0.9964725,0.00022901556715646253,0.0003304866541502405,0,3,144,80,128,0.9995453676470588,4.868724147763769e-05,797191,0.0,26,687,0,0,296.3136122042779
5,z,11,0.0025,m2,val,800000,0.9936035579677006,793308,2.8993266732821328e-05,0.0,8,5.7986533465642656e-05,0.0004595427483887602,0.000663154680879175,3.1007873347151377e-06,4.474668880396806e-06,0.0,0.0,6.201574669430275e-06,8.949337760793611e-06,0.99160625,0.0005056700628868611,0.0007297198581843417,0,3,144,80,128,0.9989511029411765,8.216054842801623e-05,793308,0.0,46,1585,0,0,297.75791724282317
5,z,11,0.005,m2,val,800000,0.9868680977604652,785478,5.665583990887747e-05,0.0,8,0.00011331167981775495,0.000750475968829274,0.0010829931564831096,1.416333437398772e-05,2.0438754653182128e-05,0.0,0.0,2.832666874797544e-05,4.0877509306364256e-05,0.981791875,0.0015689369954287424,0.0022640938545349207,0,3,144,80,128,0.9973066176470589,0.0007204571751402552,785478,0.0,89,4070,0,0,260.2656136979349
5,z,11,0.0075,m2,val,800000,0.9809871807199064,778576,8.98980559206683e-05,0.0,8,0.0001797961118413366,0.0010914726892739405,0.0015750770205418792,2.606294106753581e-05,3.761078033983659e-05,0.0,0.0,5.212588213507162e-05,7.522156067967318e-05,0.9731325,0.0011353991368677218,0.0016384661816990186,0,3,144,80,128,0.995809044117647,0.0006956961107806774,778576,0.0,140,6333,0,0,307.73283217288554
