n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,13,"['z', 'z', 'x', 'z']",0.8,m2,0,10000,8868,48,90,0,0.8868,0.005412719891745632,0,8.74978688498959
4,x,13,"['z', 'z', 'x', 'z']",1,m2,0,10000,8636,90,163,0,0.8636,0.010421491431218177,0,3.470653851982206
4,x,13,"['z', 'z', 'x', 'z']",0.5,m2,0,10000,9071,20,41,0,0.9071,0.002204828574578377,0,8.695786515017971
4,x,7,"['z', 'x', 'z', 'x']",0.5,m2,0,10000,8540,32,59,761,0.924342461305336,0.0037470725995316645,0,3.2253913359018043
4,x,7,"['z', 'x', 'z', 'x']",0.8,m2,0,10000,7434,46,84,1322,0.8566489974648537,0.0061877858488027515,0,7.656106840004213
4,x,7,"['z', 'x', 'z', 'x']",1,m2,0,10000,7435,76,126,1428,0.867358842743817,0.010221923335575034,0,7.4199676889693365
4,x,6,"['x', 'x', 'z', 'x']",0.8,m2,0,10000,6331,30,55,1273,0.7254497536381346,0.004738587900805613,0,3.7651682359864935
4,x,13,"['z', 'z', 'x', 'z']",0.3,m2,0,10000,9445,11,22,0,0.9445,0.0011646373742720817,0,2.8117730049416423
4,x,6,"['x', 'x', 'z', 'x']",0.5,m2,0,10000,7243,24,48,1153,0.8186956030292755,0.0033135441115559328,0,4.577523301006295
4,x,6,"['x', 'x', 'z', 'x']",1,m2,0,10000,5650,36,67,1759,0.685596408202888,0.006371681415929253,0,1.9470729960594326
4,x,7,"['z', 'x', 'z', 'x']",0.3,m2,0,10000,8975,17,34,488,0.9435449957947856,0.0018941504178272561,0,2.3017310210270807
4,x,6,"['x', 'x', 'z', 'x']",0.3,m2,0,10000,8243,12,20,622,0.8789720622734059,0.0014557806623801683,0,2.01987156807445
4,x,13,"['z', 'z', 'x', 'z']",0.1,m2,0,10000,9861,1,2,0,0.9861,0.00010140959334747901,0,2.1010833360487595
4,x,7,"['z', 'x', 'z', 'x']",0.1,m2,0,10000,9696,4,8,178,0.9871716554673182,0.0004125412541253759,0,1.9285600270377472
4,x,6,"['x', 'x', 'z', 'x']",0.1,m2,0,10000,9355,0,1,231,0.9576210461664448,0.0,0,1.5014291350962594
