n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,13,"['z', 'z', 'x', 'z']",0.8,m2,0,10000,7198,32,62,0,0.7198,0.004445679355376542,0,8.290528594981879
4,x,13,"['z', 'z', 'x', 'z']",0.5,m2,0,10000,9152,34,67,0,0.9152,0.0037150349650350023,0,8.502398721058853
4,x,13,"['z', 'z', 'x', 'z']",1,m2,0,10000,8314,196,357,0,0.8314,0.023574693288429205,0,8.45308974198997
4,x,7,"['z', 'x', 'z', 'x']",1,m2,0,10000,6714,83,152,1770,0.8157958687727825,0.012362228179922496,0,7.495740975020453
4,x,7,"['z', 'x', 'z', 'x']",0.8,m2,0,10000,7466,60,114,1321,0.8602373545339325,0.008036431824270052,0,7.489340997068211
4,x,7,"['z', 'x', 'z', 'x']",0.5,m2,0,10000,8329,31,56,823,0.9075950746431296,0.003721935406411303,0,7.910704554989934
4,x,13,"['z', 'z', 'x', 'z']",0.3,m2,0,10000,9467,16,30,0,0.9467,0.0016900813351642396,0,5.577839694917202
4,x,6,"['x', 'x', 'z', 'x']",1,m2,0,10000,4912,24,47,2002,0.6141535383845962,0.004885993485342022,0,3.6087054520612583
4,x,6,"['x', 'x', 'z', 'x']",0.3,m2,0,10000,8142,12,22,680,0.8736051502145923,0.0014738393515106862,0,2.4850575419841334
4,x,6,"['x', 'x', 'z', 'x']",0.5,m2,0,10000,6792,16,30,1302,0.7808691653253621,0.002355712603062443,0,5.548384521971457
4,x,6,"['x', 'x', 'z', 'x']",0.8,m2,0,10000,5237,28,53,2013,0.6556904970577188,0.0053465724651518,0,1.8307505579432473
4,x,13,"['z', 'z', 'x', 'z']",0.1,m2,0,10000,9841,0,1,0,0.9841,0.0,0,3.5084852849831805
4,x,7,"['z', 'x', 'z', 'x']",0.3,m2,0,10000,8963,18,31,524,0.9458632334318278,0.002008256164230726,0,2.0406016790075228
4,x,6,"['x', 'x', 'z', 'x']",0.1,m2,0,10000,9342,4,8,256,0.958743842364532,0.0004281738385785161,0,1.8832349180011079
4,x,7,"['z', 'x', 'z', 'x']",0.1,m2,0,10000,9659,1,2,216,0.9872240392477515,0.00010353038616839338,0,1.5674027969362214
