n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,7,"['z', 'x', 'z', 'x']",0.0001,m2,0,10000,9895,0,0,34,0.9928757776439896,0.0,0,8.226760582067072
4,x,7,"['z', 'x', 'z', 'x']",0.0005,m2,0,10000,9528,0,1,176,0.9698697068403909,0.0,0,7.305000963038765
4,x,6,"['x', 'x', 'z', 'x']",0.00075,m2,0,10000,9029,0,0,408,0.9413052543786489,0.0,0,6.570385489030741
4,z,6,"['z', 'x', 'z', 'x']",0.0001,m2,0,10000,9895,0,0,34,0.9928757776439896,0.0,0,6.885728201945312
4,x,7,"['z', 'x', 'z', 'x']",0.00025,m2,0,10000,9758,0,0,91,0.9847613280855788,0.0,0,6.142349423957057
4,z,6,"['z', 'x', 'z', 'x']",0.0005,m2,0,10000,9528,0,0,176,0.9698697068403909,0.0,0,6.3144296780228615
4,z,7,"['x', 'z', 'z', 'x']",0.00075,m2,0,10000,9106,0,0,270,0.9358684480986639,0.0,0,7.412063391995616
4,z,7,"['x', 'z', 'z', 'x']",0.0005,m2,0,10000,9386,0,0,177,0.9555125725338491,0.0,0,8.373256589053199
4,z,6,"['z', 'x', 'z', 'x']",0.00075,m2,0,10000,9318,0,0,266,0.9572632011506061,0.0,0,7.25141379609704
4,z,6,"['z', 'x', 'z', 'x']",0.00025,m2,0,10000,9758,0,0,91,0.9847613280855788,0.0,0,7.868926033959724
4,x,7,"['z', 'x', 'z', 'x']",0.00075,m2,0,10000,9318,0,1,266,0.9572632011506061,0.0,0,7.7301911630202085
4,x,6,"['x', 'x', 'z', 'x']",0.0005,m2,0,10000,9313,0,0,287,0.958818078863379,0.0,0,3.982141654007137
4,x,6,"['x', 'x', 'z', 'x']",0.0001,m2,0,10000,9857,0,0,61,0.9917496730053326,0.0,0,3.863727008923888
4,z,7,"['x', 'z', 'z', 'x']",0.00025,m2,0,10000,9696,0,0,91,0.9785043899485316,0.0,0,6.129014975973405
4,x,6,"['x', 'x', 'z', 'x']",0.00025,m2,0,10000,9656,0,0,138,0.9791117420401542,0.0,0,5.6219058219576254
4,z,7,"['x', 'z', 'z', 'x']",0.0001,m2,0,10000,9870,0,0,37,0.9906654622101777,0.0,0,1.9255383859854192
