n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1,normal,0,1000,647,1,2,0,0.647,0.0015455950540957941,0,0.052504935010802
3,x,3,"['z', 'x', 'x']",1,normal,0,1000,839,12,21,0,0.839,0.014302741358760418,0,0.13807781197829172
3,x,4,"['x', 'z', 'x']",1,normal,0,1000,653,72,129,0,0.653,0.11026033690658499,0,0.2134912260225974
3,x,5,"['z', 'z', 'x']",1,normal,0,1000,1000,14,25,0,1.0,0.014000000000000012,0,0.13317858398659155
3,x,6,"['x', 'x', 'z']",1,normal,0,1000,625,79,148,0,0.625,0.12639999999999996,0,0.18858243303839117
3,x,7,"['z', 'x', 'z']",1,normal,0,1000,870,110,179,0,0.87,0.12643678160919536,0,0.13498812401667237
3,z,2,"['z', 'x', 'x']",1,normal,0,1000,833,81,146,0,0.833,0.09723889555822329,0,0.21690292796120048
3,z,3,"['x', 'z', 'x']",1,normal,0,1000,641,62,109,0,0.641,0.09672386895475815,0,0.20796789095038548
3,z,4,"['z', 'z', 'x']",1,normal,0,1000,1000,11,20,0,1.0,0.01100000000000001,0,0.12042700895108283
3,z,5,"['x', 'x', 'z']",1,normal,0,1000,611,58,105,0,0.611,0.09492635024549922,0,0.13175137800863013
3,z,6,"['z', 'x', 'z']",1,normal,0,1000,863,8,14,0,0.863,0.009269988412514474,0,0.07093619700754061
3,z,7,"['x', 'z', 'z']",1,normal,0,1000,661,2,3,0,0.661,0.00302571860816947,0,0.06131409801309928
3,x,2,"['x', 'x', 'x']",0.1,normal,0,1000,951,0,0,0,0.951,0.0,0,0.0718982929829508
3,x,3,"['z', 'x', 'x']",0.1,normal,0,1000,981,0,1,0,0.981,0.0,0,0.07992760103661567
3,x,4,"['x', 'z', 'x']",0.1,normal,0,1000,935,9,18,0,0.935,0.009625668449197877,0,0.20388986798934639
3,x,5,"['z', 'z', 'x']",0.1,normal,0,1000,1000,1,2,0,1.0,0.0010000000000000009,0,0.08607401401968673
3,x,6,"['x', 'x', 'z']",0.1,normal,0,1000,957,9,16,0,0.957,0.009404388714733591,0,0.17132093996042386
3,x,7,"['z', 'x', 'z']",0.1,normal,0,1000,989,10,20,0,0.989,0.010111223458038388,0,0.11086401902139187
3,z,2,"['z', 'x', 'x']",0.1,normal,0,1000,989,12,25,0,0.989,0.01213346814964611,0,0.12401853600749746
3,z,3,"['x', 'z', 'x']",0.1,normal,0,1000,935,14,23,0,0.935,0.0149732620320856,0,0.19190304400399327
3,z,4,"['z', 'z', 'x']",0.1,normal,0,1000,1000,0,0,0,1.0,0.0,0,0.07617898000171408
3,z,5,"['x', 'x', 'z']",0.1,normal,0,1000,958,10,19,0,0.958,0.01043841336116913,0,0.194365557981655
3,z,6,"['z', 'x', 'z']",0.1,normal,0,1000,985,0,1,0,0.985,0.0,0,0.07735314196906984
3,z,7,"['x', 'z', 'z']",0.1,normal,0,1000,955,0,0,0,0.955,0.0,0,0.07346112001687288
3,x,2,"['x', 'x', 'x']",0.5,normal,0,1000,785,0,1,0,0.785,0.0,0,0.10607715201331303
3,x,3,"['z', 'x', 'x']",0.5,normal,0,1000,906,3,6,0,0.906,0.0033112582781457123,0,0.1111682599876076
3,x,4,"['x', 'z', 'x']",0.5,normal,0,1000,762,36,67,0,0.762,0.047244094488189003,0,0.1853791219764389
3,x,5,"['z', 'z', 'x']",0.5,normal,0,1000,1000,2,4,0,1.0,0.0020000000000000018,0,0.1090538710122928
3,x,6,"['x', 'x', 'z']",0.5,normal,0,1000,783,42,81,0,0.783,0.05363984674329503,0,0.08980222599348053
3,x,7,"['z', 'x', 'z']",0.5,normal,0,1000,935,46,88,0,0.935,0.04919786096256684,0,0.18923109699971974
3,z,2,"['z', 'x', 'x']",0.5,normal,0,1000,894,32,61,0,0.894,0.03579418344519014,0,0.22195486701093614
3,z,3,"['x', 'z', 'x']",0.5,normal,0,1000,788,48,81,0,0.788,0.060913705583756306,0,0.1012442130013369
3,z,4,"['z', 'z', 'x']",0.5,normal,0,1000,1000,2,3,0,1.0,0.0020000000000000018,0,0.09672296803910285
3,z,5,"['x', 'x', 'z']",0.5,normal,0,1000,785,44,86,0,0.785,0.056050955414012726,0,0.20895474002463743
3,z,6,"['z', 'x', 'z']",0.5,normal,0,1000,936,6,10,0,0.936,0.0064102564102563875,0,0.04518156702397391
3,z,7,"['x', 'z', 'z']",0.5,normal,0,1000,837,2,4,0,0.837,0.002389486260453988,0,0.05519987200386822
3,x,2,"['x', 'x', 'x']",0.05,normal,0,1000,974,0,0,0,0.974,0.0,0,0.07072979200165719
3,x,3,"['z', 'x', 'x']",0.05,normal,0,1000,992,0,0,0,0.992,0.0,0,0.03196020296309143
3,x,4,"['x', 'z', 'x']",0.05,normal,0,1000,963,4,8,0,0.963,0.004153686396677014,0,0.13429349998477846
3,x,5,"['z', 'z', 'x']",0.05,normal,0,1000,1000,0,0,0,1.0,0.0,0,0.0772258149809204
3,x,6,"['x', 'x', 'z']",0.05,normal,0,1000,974,5,10,0,0.974,0.005133470225872738,0,0.20341329905204475
3,x,7,"['z', 'x', 'z']",0.05,normal,0,1000,995,8,15,0,0.995,0.008040201005025116,0,0.2286765979952179
3,z,2,"['z', 'x', 'x']",0.05,normal,0,1000,993,6,13,0,0.993,0.0060422960725075026,0,0.1500784009695053
3,z,3,"['x', 'z', 'x']",0.05,normal,0,1000,963,6,9,0,0.963,0.006230529595015577,0,0.17260793899185956
3,z,4,"['z', 'z', 'x']",0.05,normal,0,1000,1000,0,0,0,1.0,0.0,0,0.07335240102838725
3,z,5,"['x', 'x', 'z']",0.05,normal,0,1000,972,3,6,0,0.972,0.0030864197530864335,0,0.11721458099782467
3,z,6,"['z', 'x', 'z']",0.05,normal,0,1000,993,1,2,0,0.993,0.001007049345417954,0,0.03196742001455277
3,z,7,"['x', 'z', 'z']",0.05,normal,0,1000,971,0,0,0,0.971,0.0,0,0.05286234401864931
3,x,2,"['x', 'x', 'x']",0.01,normal,0,1000,994,0,0,0,0.994,0.0,0,0.06669124896870926
3,x,3,"['z', 'x', 'x']",0.01,normal,0,1000,1000,0,0,0,1.0,0.0,0,0.02601024298928678
3,x,4,"['x', 'z', 'x']",0.01,normal,0,1000,995,1,2,0,0.995,0.0010050251256281673,0,0.19567521900171414
3,x,5,"['z', 'z', 'x']",0.01,normal,0,1000,1000,0,0,0,1.0,0.0,0,0.07189744897186756
