n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.1,m1,7508000000,0.9389452539957379,9.608114817327511e-05,0.004247606188592935,2.9119085315243433e-09,7508,9.318565877459835e-10,4.1196008626506956e-08,0.9389452512653169,9.608116635543368e-05,0.004247606992399412,0,2,56,56,48,1.0,0.0,7049600967,0.0,41,0,0,0,80444.75043008698
4,x,2,0.1,normal,7504000000,0.9314349486940299,0.00011073419998546215,0.004894091827265539,3.6454505223761875e-09,7504,1.0359557328079734e-09,4.578587722681893e-08,0.9314349452958423,0.00011073418813154168,0.004894091303360771,0,2,64,64,64,1.0,0.0,6989487855,0.0,51,0,0,0,423305.4463839279
4,x,2,0.3,m1,2607000000,0.8285187878787879,0.0003661230709241504,0.009537653501251683,4.258898739024415e-08,2607,6.680053358323987e-09,1.74018081244506e-07,0.8285187525891828,0.00036612304268818756,0.009537652765693476,0,2,56,56,48,1.0,0.0,2159948480,1.0,182,0,0,0,67904.07625241987
4,x,2,0.3,normal,2607000000,0.8092452113540467,0.00039954839047479367,0.010408396541940028,5.217658872325508e-08,2607,8.128059290369696e-09,2.11739219146985e-07,0.8092451691599539,0.0003995484580052609,0.010408398301135905,0,2,64,64,64,1.0,0.0,2109702266,4.0,212,0,0,0,339469.2848494335
4,x,2,0.5,m1,2608000000,0.731459155291411,0.000535922419195046,0.013963672273556625,2.3480639015379781e-07,2608,1.8685985758423634e-08,4.868708079629934e-07,0.7314589835122699,0.0005359222354789039,0.013963667486759307,0,2,56,56,48,1.0,0.0,1907645477,13.0,870,0,0,0,103018.70296490642
4,x,2,0.5,normal,2606000000,0.7036344405218726,0.0005570181923520372,0.014507765057977033,2.6422347174259475e-07,2606,2.0439584759338332e-08,5.323572867862078e-07,0.7036342547966231,0.0005570183850872708,0.014507770077844474,0,2,64,64,64,1.0,0.0,1833671352,17.0,934,0,0,0,411855.11652675987
4,x,2,0.8,m1,243000000,0.6157965679012346,0.002687816551180371,0.021376996659500307,1.3076024325571246e-06,243,1.740049938201513e-07,1.3839129645943342e-06,0.6157957592592593,0.0026878004924176056,0.021376868939430336,0,2,56,56,48,1.0,0.0,149638566,6.0,381,0,0,0,9080.855131629898
4,x,2,0.8,normal,243000000,0.5723861646090536,0.00289167368547117,0.022998332489445973,1.5836955426191585e-06,243,1.918750097110607e-07,1.5260384641331428e-06,0.5723852530864197,0.0028916532907053397,0.022998170283866564,0,2,64,64,64,1.0,0.0,139089838,7.0,429,0,0,0,57642.71019856893
4,x,2,1.0,m1,62000000,0.5413631828571428,0.007633753465320861,0.023041782931301727,2.9765002579115563e-06,35,7.518198904459821e-07,2.2692992114283893e-06,0.541361557142857,0.007633617299268505,0.023041371926592804,0,2,56,56,48,1.0,0.0,33462978,8.0,240,0,0,0,2551.292185367002
4,x,2,1.0,normal,61000000,0.49865113529411764,0.009090307836042389,0.027043442704744104,3.009300749427294e-06,34,7.363137969842512e-07,2.1905154743500296e-06,0.4986496279411765,0.009090236331682839,0.02704322998102941,0,2,64,64,64,1.0,0.0,29440312,4.0,180,0,0,0,7223.889168177997
4,x,3,0.1,m1,5144000000,0.96503541874028,9.176244794977136e-05,0.0033578353689785057,1.229397583240581e-08,5144,2.27879166425562e-09,8.338713078970318e-08,0.9650354068818041,9.176249145710438e-05,0.00335783696102912,1,1,40,40,32,1.0,0.0,4964142194,1.0,120,0,0,0,33492.53152631336
4,x,3,0.1,normal,5140000000,0.9583498321011672,0.00012450304483756515,0.004554130389675851,5.759792049974868e-08,5140,5.113529759814103e-09,1.8704507434387565e-07,0.9583497769455253,0.00012450328485166765,0.004554139169023533,1,1,48,48,48,1.0,0.0,4925918137,9.0,549,0,0,0,198849.8022977313
4,x,3,0.3,m1,242000000,0.9005681033057851,0.0009131991105236001,0.007247981754971809,1.010775630975475e-07,242,3.981570081186845e-08,3.160137474075877e-07,0.9005680123966942,0.0009132008752853608,0.007247995761732104,1,1,40,40,32,1.0,0.0,217937481,2.0,40,0,0,0,2282.953846687989
4,x,3,0.3,normal,243000000,0.8789805596707819,0.0013631331239001728,0.0108413992105493,4.930080302201376e-07,243,8.077238816462524e-08,6.424065925246192e-07,0.8789801275720165,0.0013631451380754557,0.010841494762823796,1,1,48,48,48,1.0,0.0,213592276,9.0,192,0,0,0,29911.840126790994
4,x,3,0.5,m1,243000000,0.8382238724279836,0.0015917915463530938,0.012659986989836579,6.079505919600165e-07,243,1.2016086417984473e-07,9.556747431468717e-07,0.8382233641975309,0.0015918015345356446,0.012660066428794171,1,1,40,40,32,1.0,0.0,203688401,13.0,221,0,0,0,3995.0963877640397
4,x,3,0.5,normal,243000000,0.8057600987654321,0.002436884352606229,0.01938125897854705,1.8473245660954048e-06,243,3.254251151757324e-07,2.5882017866785204e-06,0.8057586275720166,0.002436967254033325,0.019381918318013253,1,1,48,48,48,1.0,0.0,195799704,24.0,667,0,0,0,37547.83502182698
4,x,3,0.8,m1,242000000,0.757101388429752,0.0024730440074755226,0.01962833476167925,2.1520803168971013e-06,242,2.4380365612136063e-07,1.935048371159551e-06,0.7570997603305785,0.0024730445221593333,0.0196283388466798,1,1,40,40,32,1.0,0.0,183218536,24.0,740,0,0,0,7058.88133581401
4,x,3,0.8,normal,243000000,0.7108652057613168,0.003101104100010989,0.024663994258679954,5.8888991794000885e-06,243,6.752331797378662e-07,5.3703283512043095e-06,0.7108610534979424,0.0031012022396659177,0.02466477479226014,1,1,48,48,48,1.0,0.0,172740245,97.0,1824,0,0,0,50274.768531291
4,x,3,1.0,m1,62000000,0.7113079142857143,0.007458744975085905,0.022513535895102844,5.826122617219605e-06,35,1.4806029507907546e-06,4.469063869372867e-06,0.7113038057142856,0.00745907257061946,0.022514524712099325,1,1,40,40,32,1.0,0.0,44600755,14.0,427,0,0,0,1607.3841955859982
4,x,3,1.0,normal,61000000,0.6630962088235295,0.009325443642475222,0.02774296595783875,9.36293358148701e-06,34,1.7274036613132254e-06,5.138983495967889e-06,0.6630900514705882,0.009325714299294857,0.02774377115523432,1,1,48,48,48,1.0,0.0,40551419,35.0,661,0,0,0,6270.583405723997
4,x,5,0.1,m1,5142000000,0.9811679525476468,8.549191738689789e-05,0.0031277715298178373,3.60705138315818e-08,5142,3.846849654871075e-09,1.407392324065398e-07,0.9811679171528588,8.54918832437731e-05,0.0031277702806717547,2,0,24,24,16,1.0,0.0,5045165612,0.0,364,0,0,0,21954.92480528
4,x,5,0.1,normal,5136000000,0.9778352159267913,7.852193696329156e-05,0.0028710941899599213,1.7044654396363677e-07,5136,8.356366823656558e-09,3.0554412135541475e-07,0.9778350492601247,7.852194154804879e-05,0.0028710943575980404,2,0,32,32,32,1.0,0.0,5022161669,16.0,1680,0,0,0,191307.10310912045
4,x,5,0.3,m1,242000000,0.9437879173553719,0.001152721873111875,0.009149053047238901,8.835024028853179e-07,242,1.3789650937335582e-07,1.0944725772228533e-06,0.9437870826446282,0.0011527093176529582,0.009148953395655687,2,0,24,24,16,1.0,0.0,228396676,10.0,384,0,0,0,1470.3718658940343
4,x,5,0.3,normal,243000000,0.9332968724279835,0.0011079056383549086,0.008811499847247238,3.0863448050489e-06,243,2.039782639932042e-07,1.6222992101445627e-06,0.9332939897119341,0.0011078729083451814,0.008811239535840086,2,0,32,32,32,1.0,0.0,226791140,21.0,1359,0,0,0,16305.887497222033
4,x,5,0.5,m1,243000000,0.9098799794238682,0.0016606126085745403,0.01320734116717619,3.746155784060832e-06,243,3.819643355711758e-07,3.037874858671981e-06,0.9098765637860082,0.0016605439185663807,0.013206794855310403,2,0,24,24,16,1.0,0.0,221100835,42.0,1576,0,0,0,2563.0655772900423
4,x,5,0.5,normal,243000000,0.892306658436214,0.0018570405371674573,0.014769590336123125,1.2437148487998376e-05,243,5.366013929159433e-07,4.267748920144794e-06,0.8922955452674898,0.0018569032768036896,0.014768498664023534,2,0,32,32,32,1.0,0.0,216830518,182.0,5037,0,0,0,36933.51551937897
4,x,5,0.8,m1,243000000,0.8584295514403292,0.0024952921484380146,0.01984579338132708,1.538033004460363e-05,243,1.3558446807467814e-06,1.078343207552493e-05,0.8584162633744856,0.002494791080690575,0.01984180824195494,2,0,24,24,16,1.0,0.0,208598381,133.0,6192,0,0,0,4673.6365566789655
4,x,5,0.8,normal,242000000,0.8339998801652893,0.0024287178959586783,0.019276522277588325,4.8565608461607325e-05,242,1.6081423853322218e-06,1.276368596285833e-05,0.8339592706611569,0.0024280353548775595,0.019271105008510904,2,0,32,32,32,1.0,0.0,201827971,687.0,18281,0,0,0,47070.58600726904
4,x,5,1.0,m1,62000000,0.8292360142857143,0.007564029381192842,0.022831327194309425,4.0978055413854284e-05,35,7.2956524143188205e-06,2.202125599636402e-05,0.8292017842857143,0.007560648367918451,0.022821121916616047,2,0,24,24,16,1.0,0.0,51442688,90.0,3495,0,0,0,962.5726195619998
4,x,5,1.0,normal,62000000,0.8080139371428571,0.0064871724434769715,0.019580933542007677,0.00011551173500135253,35,8.297438163418338e-06,2.5045054168427774e-05,0.8079202671428571,0.006481761228342278,0.019564600286670758,2,0,32,32,32,1.0,0.0,50459312,580.0,11138,0,0,0,6594.082056161996
4,x,9,0.1,m1,149296000000,1.0,0.0,0.0,6.11578316585231e-06,21694,1.6068973801281457e-07,1.2075410106570943e-05,0.9999938842168342,1.6068973801297688e-07,1.2075410106583142e-05,3,-1,8,8,0,1.0,0.0,149296000000,22701.0,2608033,0,0,0,72979.73973654307
4,x,9,0.1,normal,7502000000,1.0,0.0,0.0,1.213009864036257e-07,7502,5.634931568406318e-09,2.4901247496461214e-07,0.9999998786990136,5.634931568433864e-09,2.4901247496582943e-07,3,-1,16,16,16,1.0,0.0,7502000000,11.0,1798,0,0,0,483676.89505256456
4,x,9,0.3,m1,2606000000,1.0,0.0,0.0,4.98848810437452e-08,2606,6.271972673874073e-09,1.6335607571163429e-07,0.999999950115119,6.2719726739396825e-09,1.633560757133431e-07,3,-1,8,8,0,1.0,0.0,2606000000,2.0,256,0,0,0,7922.598288305596
