n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,normal,0,na,1000000,98493,0,0,0,0.098493,0.0,0,378.50993487698724
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,m1,0,na,1000000,70417,0,0,0,0.070417,0.0,0,459.30389310698956
5,x,17,"['z', 'z', 'z', 'z', 'x']",1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,503.4282988460036
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,m1,0,na,1000000,45577,0,0,0,0.045577,0.0,0,569.3683163469541
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,m1,0,na,1000000,327886,0,0,0,0.327886,0.0,0,607.2306011199835
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,normal,0,na,1000000,31259,0,0,0,0.031259,0.0,0,665.6305669209687
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,normal,0,na,1000000,351129,0,0,0,0.351129,0.0,0,760.2980038929963
5,x,9,"['z', 'z', 'z', 'x', 'x']",1,m1,0,na,1000000,649710,0,0,0,0.64971,0.0,0,787.2214625360211
5,x,9,"['z', 'z', 'z', 'x', 'x']",1,normal,0,na,1000000,584649,0,0,0,0.584649,0.0,0,805.5843025099603
5,x,17,"['z', 'z', 'z', 'z', 'x']",1,normal,0,na,1000000,1000000,0,0,0,1.0,0.0,0,860.8785930190352
