n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,2,1,m1,368000000,0.03736738885793872,13699595,0.0,0.03736738885793872,359,0.0013061333021671586,0.012626374186429831,0.0,0.0,0.0013061333021671586,0.012626374186429831,0,3,144,144,128,1.0,0.0,0.0,0,0,0,0,200264.49605275225
5,x,2,1,normal,368000000,0.029109498328690808,10636141,0.0,0.029109498328690808,359,0.0011054002988441748,0.010685890770750496,0.0,0.0,0.0011054002988441748,0.010685890770750496,0,3,160,160,160,1.0,0.0,0.0,0,0,0,0,193431.338069789
5,x,3,1,m1,358000000,0.17124070111731843,61304171,0.0,0.17124070111731843,358,0.006233150277729111,0.06017180502343907,0.0,0.0,0.006233150277729111,0.06017180502343907,1,2,112,112,96,1.0,0.0,0.0,0,0,0,0,228829.4889179361
5,x,3,1,normal,358000000,0.14012192737430168,50163650,1.6117339388295395e-08,0.14012192597765363,358,0.005308634867696784,0.05124698233909055,3.158998520105897e-08,3.049543722703191e-07,0.005308635019065208,0.051246983800327786,1,2,128,128,128,1.0,0.0,0.0,1,0,0,0,235670.29155200603
5,x,5,1,m1,358000000,0.3774280837988827,135119254,8.017517331322914e-09,0.37742808100558656,358,0.006148332638511241,0.05935301673466618,1.1403763928466539e-08,1.1008639757792109e-07,0.006148332679576458,0.059353017131089834,2,1,80,80,64,1.0,0.0,0.0,2,0,0,0,223215.03947193664
5,x,5,1,normal,358000000,0.3068791787709497,109862746,2.489862497449612e-08,0.30687917597765363,358,0.006363002287742209,0.061425333252387276,4.122927389037856e-08,3.980073829847812e-07,0.006363002809109349,0.06142533828541239,2,1,96,96,96,1.0,0.0,0.0,2,0,0,0,246371.5610596392
5,x,9,1,m1,358000000,0.5376067067039106,192463201,3.6724614506608353e-06,0.5376061885474861,358,0.011884184903442944,0.11472414830546854,3.14046070075797e-06,3.0316482123807666e-05,0.011884324864662251,0.11472549942309346,3,0,48,48,32,1.0,0.0,23.0,325,0,0,0,219773.64675574464
5,x,9,1,normal,358000000,0.48609877374301674,174023361,4.694202041142258e-07,0.4860986201117318,358,0.008754350109184897,0.08451024352146849,2.0473637089138516e-07,1.9764254737286997e-06,0.008754369905867697,0.08451043462902798,3,0,64,64,64,1.0,0.0,7.0,96,0,0,0,262566.70383724704
5,x,17,1,m1,4838000000,1.0,4838000000,3.163771712158809e-09,0.9999999968362283,806,0.0,0.0,1.4889403888876035e-09,2.1566951429334503e-08,1.4889403886808526e-09,2.1566951426339765e-08,4,-1,16,16,0,1.0,0.0,2.0,38,0,0,0,547234.1962206754
5,x,17,1,normal,4808000000,1.0,4808000000,6.12640099626401e-07,0.9999993873599005,803,0.0,0.0,4.917259156996702e-08,7.10926657227101e-07,4.917259157076476e-08,7.109266572386346e-07,4,-1,32,32,32,1.0,0.0,253.0,5400,0,0,0,2463192.2736936808
