n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,normal,0,na,50000,112,0,0,0,0.00224,0.0,0,6.8099417589837685
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,m1,0,na,50000,355,0,0,0,0.0071,0.0,0,6.817832400003681
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,m1,0,na,50000,30,0,0,0,0.0006,0.0,0,8.507846941996831
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,normal,0,na,50000,3052,0,0,0,0.06104,0.0,0,9.531957805011189
5,x,17,"['z', 'z', 'z', 'z', 'x']",1,m1,0,na,50000,50000,0,1,0,1.0,0.0,0,13.226300070004072
5,x,17,"['z', 'z', 'z', 'z', 'x']",1,normal,0,na,50000,50000,52,80,0,1.0,0.001040000000000041,0,13.646369905996835
5,x,9,"['z', 'z', 'z', 'x', 'x']",1,normal,0,na,50000,3690,2,3,0,0.0738,0.0005420054200542257,0,12.871567322988994
5,x,9,"['z', 'z', 'z', 'x', 'x']",1,m1,0,na,50000,9793,0,1,0,0.19586,0.0,0,13.144175384019036
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,normal,0,na,50000,10081,0,0,0,0.20162,0.0,0,13.837664009013679
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,m1,0,na,50000,12295,0,0,0,0.2459,0.0,0,17.838539722026326
