n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1.0,normal,0,10000000,6813170,26622,51666,0,0.681317,0.003907432223179463,35.57918789500002,0.5586436700000377
3,x,2,"['x', 'x', 'x']",0.1,normal,0,10000000,9625182,400,798,0,0.9625182,4.155765574098691e-05,1.5109203179999895,0.15506462600001214
3,x,3,"['z', 'x', 'x']",1.0,normal,0,10000000,8565512,78946,144057,0,0.8565512,0.009216728667241325,11.614322985000058,1.446197887999915
3,x,3,"['z', 'x', 'x']",0.1,normal,0,10000000,9842426,2682,5270,0,0.9842426,0.0002724937937049754,2.3173802109999997,0.5767709309999418
3,x,4,"['x', 'z', 'x']",1.0,normal,0,10000000,6939003,685904,1263347,0,0.6939003,0.09884762983961815,47.717731447999995,2.8842455689999724
3,x,4,"['x', 'z', 'x']",0.1,normal,0,10000000,9615130,88596,170665,0,0.961513,0.009214227992757285,7.816528063999954,6.522536534999972
3,x,5,"['z', 'z', 'x']",1.0,normal,0,10000000,10000000,143514,262803,0,1.0,0.014351400000000014,0.9182567320000317,0.6262205419999418
3,x,5,"['z', 'z', 'x']",0.1,normal,0,10000000,10000000,1692,3343,0,1.0,0.00016919999999998048,0.2127528830000074,0.62649478000003
3,x,6,"['x', 'x', 'z']",1.0,normal,0,10000000,6862371,878250,1587380,0,0.6862371,0.12798054783106305,99.65185854900005,-60.15795176000006
3,x,6,"['x', 'x', 'z']",0.1,normal,0,10000000,9618420,129110,247543,0,0.961842,0.013423202563414782,51.42622424299998,-14.998782824000045
3,x,7,"['z', 'x', 'z']",1.0,normal,0,10000000,9105048,1142704,1999827,0,0.9105048,0.12550224886238925,11.971465996999996,-2.554017148000071
3,x,7,"['z', 'x', 'z']",0.1,normal,0,10000000,9905844,137423,271028,0,0.9905844,0.013872921883284262,8.800454575000003,-0.36544457599995894
3,z,2,"['z', 'x', 'x']",1.0,normal,0,10000000,8564688,859802,1548229,0,0.8564688,0.10038917938400094,5.879382033999946,0.8593392000000222
3,z,2,"['z', 'x', 'x']",0.1,normal,0,10000000,9842739,105632,208823,0,0.9842739,0.010731972065905593,8.70479639000007,1.4564538449999418
3,z,3,"['x', 'z', 'x']",1.0,normal,0,10000000,6939140,634652,1143408,0,0.693914,0.09145974861438166,46.988216704000024,9.58409029500001
3,z,3,"['x', 'z', 'x']",0.1,normal,0,10000000,9614931,90190,170753,0,0.9614931,0.009380202520434144,37.24654861199997,-12.378526456999907
3,z,4,"['z', 'z', 'x']",1.0,normal,0,10000000,10000000,44314,84538,0,1.0,0.004431399999999974,0.3578825620000998,0.15632130899984986
3,z,4,"['z', 'z', 'x']",0.1,normal,0,10000000,10000000,474,943,0,1.0,4.740000000003075e-05,0.5543485949999649,0.18852800499996647
3,z,5,"['x', 'x', 'z']",1.0,normal,0,10000000,6863211,811816,1564577,0,0.6863211,0.11828515836100628,56.09284996700001,-19.378675422000015
3,z,5,"['x', 'x', 'z']",0.1,normal,0,10000000,9619109,121816,240086,0,0.9619109,0.012663958792856977,21.491524251999977,3.305809176000025
3,z,6,"['z', 'x', 'z']",1.0,normal,0,10000000,9103981,78074,143645,0,0.9103981,0.008575808758827574,10.230997255000034,1.1328825239999105
