n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
6,x,2,1,m1,50000,0.0,0,0.0,0.0,1,0.0,,0.0,,0.0,,0,4,352,352,320,1.0,0.0,0.0,0,0,0,0,16.277715792995878
6,x,2,1,normal,50000,0.0,0,0.0,0.0,1,0.0,,0.0,,0.0,,0,4,384,384,384,1.0,0.0,0.0,0,0,0,0,13.39861230799579
6,x,3,1,m1,50000,0.0,0,0.0,0.0,1,0.0,,0.0,,0.0,,1,3,288,288,256,1.0,0.0,0.0,0,0,0,0,25.92006138601573
6,x,3,1,normal,50000,0.0,0,0.0,0.0,1,0.0,,0.0,,0.0,,1,3,320,320,320,1.0,0.0,0.0,0,0,0,0,20.108270316006383
6,x,5,1,m1,50000,0.0,0,0.0,0.0,1,0.0,,0.0,,0.0,,2,2,224,224,192,1.0,0.0,0.0,0,0,0,0,21.498718053975608
6,x,5,1,normal,50000,2e-05,1,0.0,2e-05,1,0.0,,0.0,,0.0,,2,2,256,256,256,1.0,0.0,0.0,0,0,0,0,23.37948200400569
6,x,9,1,m1,150000,0.00156,198,0.0,0.00156,2,0.0014111999999999996,0.0010182337649086283,0.0,0.0,0.0014111999999999996,0.0010182337649086283,3,1,160,160,128,1.0,0.0,0.0,0,0,0,0,104.33308097001282
6,x,9,1,normal,150000,0.003994999999999999,442,0.0,0.003994999999999999,2,0.0061642,0.004447701653663384,0.0,0.0,0.0061642,0.004447701653663384,3,1,192,192,192,1.0,0.0,0.0,0,0,0,0,127.85110632100259
6,x,17,1,m1,250000,0.06327666666666666,11585,0.0,0.06327666666666666,3,0.08330852697272019,0.07361969460228245,0.0,0.0,0.08330852697272019,0.07361969460228245,4,0,96,96,64,1.0,0.0,0.0,0,0,0,0,212.6784569370211
6,x,17,1,normal,250000,0.022456666666666666,6462,0.0,0.022456666666666666,3,0.01695962352464753,0.014987208990780551,0.0,0.0,0.01695962352464753,0.014987208990780551,4,0,128,128,128,1.0,0.0,0.0,0,0,0,0,188.1160948619945
6,x,33,1,m1,1742450000,1.0,1742450000,1.4310246136233542e-09,0.9999999985689754,1747,0.0,0.0,1.682027970418137e-09,3.5869357249599453e-08,1.6820279709073668e-09,3.586935726003231e-08,5,-1,32,32,0,1.0,0.0,2.0,1,0,0,0,1593683.1233799418
6,x,33,1,normal,1742450000,1.0,1742450000,1.866056096164854e-07,0.9999998133943904,1747,0.0,0.0,1.755394838777907e-08,3.743391054940382e-07,1.755394838756475e-08,3.7433910548946777e-07,5,-1,64,64,64,1.0,0.0,80.0,492,0,0,0,1610810.594133864
