n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",0.8,m1,0,init,1000000,1000000,300,540,0,1.0,0.00029999999999996696,0,11.16470346999995
4,x,2,"['x', 'x', 'x', 'x']",0.5,m1,0,init,1000000,528206,2,3,0,0.528206,3.7864015175470556e-06,0,31.444651754994993
4,x,5,"['z', 'z', 'x', 'x']",0.8,m1,0,init,1000000,645033,258,487,0,0.645033,0.000399979535930739,0,28.239047944007325
4,x,9,"['z', 'z', 'z', 'x']",0.5,m1,0,init,1000000,1000000,58,112,0,1.0,5.8000000000002494e-05,0,2.935632970998995
4,x,3,"['z', 'x', 'x', 'x']",0.5,m1,0,init,1000000,733817,4,7,0,0.733817,5.4509503050192976e-06,0,47.23190317300032
4,x,3,"['z', 'x', 'x', 'x']",0.3,m1,0,init,1000000,824308,0,0,0,0.824308,0.0,0,11.693134814006044
4,x,5,"['z', 'z', 'x', 'x']",0.5,m1,0,init,1000000,431680,870,1572,0,0.43168,0.0020153817642698524,0,49.31034259700391
4,x,3,"['z', 'x', 'x', 'x']",0.8,m1,0,init,1000000,647708,29,58,0,0.647708,4.477326202545484e-05,0,91.25782195100328
4,x,9,"['z', 'z', 'z', 'x']",0.3,m1,0,init,1000000,1000000,7,14,0,1.0,6.999999999979245e-06,0,2.5529001009999774
4,x,5,"['z', 'z', 'x', 'x']",0.3,m1,0,init,1000000,899705,4,6,0,0.899705,4.445901712224476e-06,0,14.144142896999256
4,x,2,"['x', 'x', 'x', 'x']",0.3,m1,0,init,1000000,753750,1,2,0,0.75375,1.3266998342142955e-06,0,33.86690672900295
4,x,2,"['x', 'x', 'x', 'x']",0.1,m1,0,init,1000000,893784,0,0,0,0.893784,0.0,0,8.230037971006823
4,x,9,"['z', 'z', 'z', 'x']",0.1,m1,0,init,1000000,1000000,0,1,0,1.0,0.0,0,1.7693769650068134
4,x,3,"['z', 'x', 'x', 'x']",0.1,m1,0,init,1000000,938789,1,2,0,0.938789,1.0652020847601307e-06,0,10.44511381299526
4,x,5,"['z', 'z', 'x', 'x']",0.1,m1,0,init,1000000,970521,0,1,0,0.970521,0.0,0,2.4298274280008627
4,x,2,"['x', 'x', 'x', 'x']",0.8,m1,0,init,1000000,335572,5,10,0,0.335572,1.4899932056278153e-05,0,125.93803585699061
