n,lstate,i,p_error,sim_type,comp_type,N_samples,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.1,m1,init,245,245000000,0.8906774693877552,0.0021090573114093338,0.016842841131265048,6.901653892724929e-09,7.77869181780257e-09,6.212029885938556e-08,218215980,0.0,3,0,0,0,2770.3052182838874
4,x,2,0.3,m1,init,245,245000000,0.7075178571428571,0.00454291605929979,0.03627953258810642,5.540230988591236e-07,9.57920924108986e-08,7.649915369203965e-07,173341875,0.0,191,0,0,0,8001.559482177836
4,x,2,0.5,m1,init,246,246000000,0.5635281829268293,0.006517003420994363,0.052150614620628,4.468428712211011e-06,4.889367980437529e-07,3.912588789884823e-06,138627933,21.0,1201,0,0,0,15798.020205297013
4,x,2,0.8,m1,init,246,246000000,0.3927251869918699,0.007047477418394967,0.056395593979635596,2.8241442911092557e-05,3.1451265566031323e-06,2.5168052307311284e-05,96610396,121.0,5204,0,0,0,25419.303171859036
4,x,2,1.0,m1,init,304,304000000,0.3367293256578947,0.005886847119548377,0.05236769732690792,6.461022731317758e-05,6.027182433881409e-06,5.3616079884842e-05,102365715,304.0,12554,0,0,0,22130.490939642066
4,x,3,0.1,m1,init,245,245000000,0.9402911224489796,0.0011247774046747568,0.008982424058601949,1.7392404473581704e-08,1.332522045098879e-08,1.0641463836993337e-07,230371325,0.0,8,0,0,0,1737.917527291167
4,x,3,0.3,m1,init,245,245000000,0.8300571020408163,0.0034069650874638227,0.02720787690192009,8.932799015747135e-07,1.0976594991899849e-07,8.76586162977565e-07,203363990,7.0,349,0,0,0,5604.575002569152
4,x,3,0.5,m1,init,246,246000000,0.7371079959349593,0.004323216008095146,0.034595404880959746,6.228992142623939e-06,5.636013712697711e-07,4.510072500201736e-06,181328567,51.0,2169,0,0,0,7974.215459292987
4,x,3,0.8,m1,init,246,246000000,0.6140223658536585,0.005875034902712095,0.04701342953220804,4.0227250030477076e-05,3.985209837086241e-06,3.1890598941025175e-05,151049502,267.0,11595,0,0,0,17707.698715411927
4,x,3,1.0,m1,init,304,304000000,0.5506060328947369,0.005345878010642107,0.047555391863031024,7.897976233814287e-05,5.882237779613306e-06,5.232669396573771e-05,167384234,691.0,25318,0,0,0,16796.786627196063
4,x,4,1.0,m1,init,16,16000000,0.359594875,0.02561768312274444,0.05228098596478457,0.01172878567682149,0.00233130112652315,0.0047577574010676535,5753518,3388.0,129378,0,0,0,5470.127202292002
4,x,5,0.1,m1,init,245,245000000,0.9487005714285713,0.004635241884580196,0.03701684266455555,6.848333643775084e-07,3.7583436422672827e-07,3.0013970953263558e-06,232431640,5.0,295,0,0,0,873.0582489258522
4,x,5,0.3,m1,init,245,245000000,0.8589474612244897,0.009572413407466012,0.0764448824565157,2.9103139344158434e-05,1.3622071842445708e-05,0.00010878528083605147,210442128,290.0,9031,0,0,0,4067.961572576067
4,x,5,0.5,m1,init,246,246000000,0.7801404959349593,0.013744466924153051,0.10998650014796335,0.00015488242035162627,5.423499900350894e-05,0.00043400138825622767,191914562,1622.0,40185,0,0,0,6625.993255277965
4,x,5,0.8,m1,init,245,245000000,0.6866106653061225,0.013939303223347521,0.11131867702281069,0.0006782084986301697,0.00020137928711682322,0.0016082063401916585,168219613,9146.0,153501,0,0,0,13834.513780008157
4,x,5,1.0,m1,init,305,305000000,0.6363235967213114,0.013979819565861619,0.12456482276598674,0.0017943300551715384,0.0005919260418896732,0.0052742570926032385,194078697,31876.0,393853,0,0,0,13540.151294425033
4,x,6,1.0,m1,init,16,16000000,0.3313961875,0.024048773842797397,0.04907913029142326,0.02012432740225572,0.00394136372452531,0.008043599437806756,5302339,8449.0,194065,0,0,0,6703.212999078006
4,x,7,1.0,m1,init,16,16000000,0.580601875,0.02182533886427604,0.04454150788627763,0.03218379085170346,0.0027334621666631987,0.005578494217679997,9289630,32231.0,536130,0,0,0,5036.624424575998
