n,lstate,i,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
4,x,9,0.8,m1,0,na,1000000,1000000,1,2,0,1.0,1.0000000000287557e-06,0,1.0401565770152956,"['z', 'z', 'z', 'x']"
4,x,9,1.0,m1,0,na,1000000,1000000,6,11,0,1.0,5.999999999950489e-06,0,2.237447924911976,"['z', 'z', 'z', 'x']"
4,x,9,0.5,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.6890478190034628,"['z', 'z', 'z', 'x']"
4,x,3,0.8,m1,0,na,1000000,720962,4,8,0,0.720962,5.548142620548369e-06,0,13.244636986986734,"['z', 'x', 'x', 'x']"
4,x,3,0.5,m1,0,na,1000000,845127,0,1,0,0.845127,0.0,0,11.50380867999047,"['z', 'x', 'x', 'x']"
4,x,2,0.5,m1,0,na,1000000,673145,0,1,0,0.673145,0.0,0,15.983472459949551,"['x', 'x', 'x', 'x']"
4,x,5,0.5,m1,0,na,1000000,933546,0,1,0,0.933546,0.0,0,3.8755460319807753,"['z', 'z', 'x', 'x']"
4,x,5,0.8,m1,0,na,1000000,836420,10,17,0,0.83642,1.1955716027856056e-05,0,10.377922700019552,"['z', 'z', 'x', 'x']"
4,x,9,0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,1.002079623984173,"['z', 'z', 'z', 'x']"
4,x,5,1.0,m1,0,na,1000000,813939,22,43,0,0.813939,2.702905254570176e-05,0,16.73749955499079,"['z', 'z', 'x', 'x']"
4,x,2,0.8,m1,0,na,1000000,577582,0,1,0,0.577582,0.0,0,23.408055474981666,"['x', 'x', 'x', 'x']"
4,x,3,0.3,m1,0,na,1000000,902006,1,2,0,0.902006,1.1086400755200287e-06,0,4.08453324099537,"['z', 'x', 'x', 'x']"
4,x,2,0.1,m1,0,na,1000000,937746,0,0,0,0.937746,0.0,0,2.6338112209923565,"['x', 'x', 'x', 'x']"
4,x,3,1.0,m1,0,na,1000000,696948,10,19,0,0.696948,1.4348272754927116e-05,0,24.74979950801935,"['z', 'x', 'x', 'x']"
4,x,9,0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.3623393169837072,"['z', 'z', 'z', 'x']"
4,x,2,0.3,m1,0,na,1000000,816063,0,0,0,0.816063,0.0,0,7.832579346955754,"['x', 'x', 'x', 'x']"
4,x,5,0.3,m1,0,na,1000000,946552,0,0,0,0.946552,0.0,0,2.067651027929969,"['z', 'z', 'x', 'x']"
4,x,5,0.1,m1,0,na,1000000,986603,0,0,0,0.986603,0.0,0,0.9427068029763176,"['z', 'z', 'x', 'x']"
4,x,3,0.1,m1,0,na,1000000,964726,0,0,0,0.964726,0.0,0,1.559761903015897,"['z', 'x', 'x', 'x']"
4,x,2,1.0,m1,0,na,1000000,501484,2,3,0,0.501484,3.988163131851685e-06,0,32.642562897061,"['x', 'x', 'x', 'x']"
