n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",1,m1,0,na,1000000,1000000,14,25,0,1.0,1.399999999995849e-05,0,1.3154969960451126
4,x,3,"['z', 'x', 'x', 'x']",1,m1,0,na,1000000,688741,4,9,0,0.688741,5.807698394644234e-06,0,16.417702276958153
4,x,2,"['x', 'x', 'x', 'x']",0.8,m1,0,na,1000000,574168,2,3,0,0.574168,3.4833010547075105e-06,0,16.55062806000933
4,x,5,"['z', 'z', 'x', 'x']",1,m1,0,na,1000000,847861,25,48,0,0.847861,2.9485965270303893e-05,0,10.744546385016292
4,x,9,"['z', 'z', 'z', 'x']",0.8,m1,0,na,1000000,1000000,2,4,0,1.0,1.999999999946489e-06,0,1.0069798829499632
4,x,3,"['z', 'x', 'x', 'x']",0.8,m1,0,na,1000000,679211,2,5,0,0.679211,2.9445930646021523e-06,0,12.29595545004122
4,x,2,"['x', 'x', 'x', 'x']",1,m1,0,na,1000000,506061,4,7,0,0.506061,7.904185463813995e-06,0,28.447933371178806
4,x,9,"['z', 'z', 'z', 'x']",0.5,m1,0,na,1000000,1000000,0,1,0,1.0,0.0,0,1.571243653073907
4,x,5,"['z', 'z', 'x', 'x']",0.8,m1,0,na,1000000,812936,12,22,0,0.812936,1.4761309623412266e-05,0,10.632918113144115
4,x,2,"['x', 'x', 'x', 'x']",0.5,m1,0,na,1000000,698542,0,0,0,0.698542,0.0,0,11.281668365933001
4,x,5,"['z', 'z', 'x', 'x']",0.5,m1,0,na,1000000,928438,1,2,0,0.928438,1.0770778446911322e-06,0,6.5618379099760205
4,x,3,"['z', 'x', 'x', 'x']",0.5,m1,0,na,1000000,845225,2,3,0,0.845225,2.3662338430874286e-06,0,11.60600197990425
4,x,2,"['x', 'x', 'x', 'x']",0.3,m1,0,na,1000000,782510,0,0,0,0.78251,0.0,0,6.290165135869756
4,x,9,"['z', 'z', 'z', 'x']",0.3,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.9077798740472645
4,x,2,"['x', 'x', 'x', 'x']",0.1,m1,0,na,1000000,936367,0,0,0,0.936367,0.0,0,2.9565050180535764
4,x,5,"['z', 'z', 'x', 'x']",0.3,m1,0,na,1000000,951915,0,0,0,0.951915,0.0,0,2.147501453058794
4,x,9,"['z', 'z', 'z', 'x']",0.1,m1,0,na,1000000,1000000,0,0,0,1.0,0.0,0,0.40742703108116984
4,x,3,"['z', 'x', 'x', 'x']",0.3,m1,0,na,1000000,900287,0,0,0,0.900287,0.0,0,8.226538456976414
4,x,5,"['z', 'z', 'x', 'x']",0.1,m1,0,na,1000000,972281,0,0,0,0.972281,0.0,0,1.270222008926794
4,x,3,"['z', 'x', 'x', 'x']",0.1,m1,0,na,1000000,958185,0,0,0,0.958185,0.0,0,3.5316513429861516
