n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.3,m2,0,50000,39986,0,0,6013,0.9090413076590811,0.0,0,13.243367135990411
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.5,m2,0,50000,29598,0,0,11912,0.7770951480781348,0.0,0,11.26648089941591
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.1,m2,0,50000,45417,0,0,2487,0.9558857575821355,0.0,0,12.546833102125674
5,x,5,"['z', 'z', 'x', 'x', 'x']",0.8,m2,0,50000,17142,0,0,21359,0.5985126217659998,0.0,0,8.68194125732407
5,x,5,"['z', 'z', 'x', 'x', 'x']",1,m2,0,50000,24274,0,0,15681,0.7073049914041785,0.0,0,10.188678954727948
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.8,m2,0,50000,12120,0,0,19956,0.4034083344428172,0.0,0,19.773616923950613
5,x,3,"['z', 'x', 'x', 'x', 'x']",1,m2,0,50000,6372,0,0,26471,0.27081473925793703,0.0,0,6.408927429933101
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.5,m2,0,50000,21445,0,0,12982,0.5793127667621157,0.0,0,9.636483815964311
5,x,2,"['x', 'x', 'x', 'x', 'x']",1,m2,0,50000,1607,0,0,27770,0.07228969860548808,0.0,0,4.20907390024513
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.3,m2,0,50000,30898,0,0,8384,0.7424548250672818,0.0,0,9.939172698184848
5,x,3,"['z', 'x', 'x', 'x', 'x']",0.1,m2,0,50000,40629,0,0,4110,0.8853562867727174,0.0,0,9.807425977662206
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.8,m2,0,50000,3016,0,0,25915,0.1252231679468549,0.0,0,3.9559227540157735
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.5,m2,0,50000,11528,0,0,18190,0.36240176045268785,0.0,0,5.647150546777993
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.3,m2,0,50000,15152,0,0,9874,0.3776105268404526,0.0,0,6.609298713039607
5,x,2,"['x', 'x', 'x', 'x', 'x']",0.1,m2,0,50000,36686,0,0,3952,0.7966904100069493,0.0,0,7.1846511121839285
