n,lstate,i,p_error,sim_type,comp_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,2,0.1,m1,init,4465000000,0.9357383979843226,0.00043218102193982844,0.014733989375505671,2.394863512210469e-09,4465,1.047380786326421e-09,3.570748504544662e-08,0.9357383957446808,0.00043218102423586626,0.014733989453782586,0,2,56,56,48,1.0,0.0,4178071947,0.0,20,0,0,0,15322.084840866155
4,x,2,0.1,m1,na,4465000000,0.9359754159014558,0.00020417603856775655,0.006960804455242839,2.386994700429772e-09,4465,1.0951529338082586e-09,3.733614127445726e-08,0.935975413661814,0.00020417601644129522,0.006960803700903732,0,2,56,56,48,1.0,0.0,4179130232,0.0,20,0,0,0,14749.70504496852
4,x,2,0.3,m1,init,4466000000,0.8196831717420511,0.0008123377462591808,0.027697458589854052,7.105584442462794e-08,4466,7.16747610461171e-09,2.4438218403052284e-07,0.8196831145320197,0.0008123381474077818,0.027697472267412208,0,2,56,56,48,1.0,0.0,3660705045,8.0,495,0,0,0,36677.48194739164
4,x,2,0.3,m1,na,4464000000,0.8203675642921147,0.0005416182179716851,0.018462873136421948,7.32147090575327e-08,4464,7.581593982942466e-09,2.58444053826573e-07,0.8203675044802867,0.0005416185065210602,0.018462882972594977,0,2,56,56,48,1.0,0.0,3662120807,10.0,514,0,0,0,35975.212421813514
4,x,2,0.5,m1,init,4466000000,0.719643803179579,0.0008834237896185453,0.030121207518583975,3.9515261473294655e-07,4466,2.3861564489401177e-08,8.135836323964882e-07,0.7196435225033586,0.0008834250501660403,0.03012125049819708,0,2,56,56,48,1.0,0.0,3213929225,39.0,2429,0,0,0,68901.77357742621
4,x,2,0.5,m1,na,4465000000,0.7198887952967525,0.0007905059829074869,0.026950065278558685,3.8255242054234565e-07,4465,1.8435140836437135e-08,6.284939769008019e-07,0.7198885209406496,0.0007905064954329894,0.026950082751665844,0,2,56,56,48,1.0,0.0,3214303471,40.0,2370,0,0,0,68087.63916884956
4,x,2,0.8,m1,init,4466000000,0.5912958802060009,0.001070291809674774,0.03649265741255955,2.2946322484668766e-06,4466,1.457407905682229e-07,4.969176343466417e-06,0.5912945614643976,0.0010702941621233905,0.03649273762162091,0,2,56,56,48,1.0,0.0,2640727401,196.0,11387,0,0,0,112959.12594381999
4,x,2,0.8,m1,na,4466000000,0.5914598748320645,0.001031064095486265,0.03515514971417396,1.9182311798706735e-06,4466,5.5972254617355425e-08,1.90842935907393e-06,0.5914587442901926,0.0010310641700511792,0.03515515225653842,0,2,56,56,48,1.0,0.0,2641459801,184.0,9730,0,0,0,112660.37898589578
4,x,2,1.0,m1,init,4466000000,0.5177532718316166,0.001213958262094629,0.04139110714602864,5.019812957623179e-06,4466,1.2879789558754517e-07,4.391491588226886e-06,0.5177506937975818,0.001213959258152902,0.04139114110762023,0,2,56,56,48,1.0,0.0,2312286112,402.0,22223,0,0,0,136517.01237459702
4,x,2,1.0,m1,na,4466000000,0.5181068763994626,0.0011232299119649618,0.03829763434827382,4.309855913918683e-06,4466,1.0081866232219676e-07,3.437511967913143e-06,0.5181046518137036,0.0011232286748443093,0.038297592167422075,0,2,56,56,48,1.0,0.0,2313865310,394.0,19082,0,0,0,136184.69490453415
