n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",0.8,m1,0,init,1000000,1000000,0,1,0,1.0,0.0,0,0.9468778860755265
4,x,9,"['z', 'z', 'z', 'x']",1,m1,0,init,1000000,1000000,2,3,0,1.0,1.999999999946489e-06,0,1.569487950997427
4,x,9,"['z', 'z', 'z', 'x']",0.5,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,1.2295156239997596
4,x,3,"['z', 'x', 'x', 'x']",0.5,m1,0,init,1000000,853406,0,0,0,0.853406,0.0,0,10.114485986996442
4,x,5,"['z', 'z', 'x', 'x']",0.5,m1,0,init,1000000,925947,2,4,0,0.925947,2.1599508395198086e-06,0,5.423632486956194
4,x,5,"['z', 'z', 'x', 'x']",0.8,m1,0,init,1000000,882614,14,28,0,0.882614,1.586197363745434e-05,0,9.384399087983184
4,x,5,"['z', 'z', 'x', 'x']",1,m1,0,init,1000000,862684,24,46,0,0.862684,2.782015199076504e-05,0,10.310389008023776
4,x,3,"['z', 'x', 'x', 'x']",1,m1,0,init,1000000,716164,9,14,0,0.716164,1.2566953937920289e-05,0,15.82836613303516
4,x,2,"['x', 'x', 'x', 'x']",0.8,m1,0,init,1000000,663025,0,1,0,0.663025,0.0,0,19.088655429892242
4,x,2,"['x', 'x', 'x', 'x']",0.5,m1,0,init,1000000,724163,0,0,0,0.724163,0.0,0,19.698478701990098
4,x,2,"['x', 'x', 'x', 'x']",0.3,m1,0,init,1000000,822466,0,0,0,0.822466,0.0,0,5.4015020919032395
4,x,9,"['z', 'z', 'z', 'x']",0.3,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.5041529199806973
4,x,3,"['z', 'x', 'x', 'x']",0.8,m1,0,init,1000000,789521,0,1,0,0.789521,0.0,0,12.308931985055096
4,x,2,"['x', 'x', 'x', 'x']",1,m1,0,init,1000000,550190,3,6,0,0.55019,5.452661807736625e-06,0,22.411501352093183
4,x,2,"['x', 'x', 'x', 'x']",0.1,m1,0,init,1000000,937582,0,0,0,0.937582,0.0,0,2.2792914559831843
4,x,9,"['z', 'z', 'z', 'x']",0.1,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.35218535794410855
4,x,5,"['z', 'z', 'x', 'x']",0.3,m1,0,init,1000000,954637,0,1,0,0.954637,0.0,0,1.8232276220805943
4,x,3,"['z', 'x', 'x', 'x']",0.3,m1,0,init,1000000,908559,0,0,0,0.908559,0.0,0,4.369902383885346
4,x,3,"['z', 'x', 'x', 'x']",0.1,m1,0,init,1000000,970325,0,0,0,0.970325,0.0,0,1.6072609650436789
4,x,5,"['z', 'z', 'x', 'x']",0.1,m1,0,init,1000000,987125,0,0,0,0.987125,0.0,0,0.8258849499979988
