n,lstate,i,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal,meas_type
3,x,2,1.0,normal,0,100000,83603,86,159,0,0.83603,0.0010286712199323,0,2.373997500006226,"['x', 'x', 'x']"
3,x,2,1.0,m1,0,100000,85876,128,243,0,0.85876,0.0014905212166379,0,0.142673228008789,"['x', 'x', 'x']"
3,x,2,0.8,normal,0,100000,86688,56,109,0,0.86688,0.0006459948320413,0,2.046195951988921,"['x', 'x', 'x']"
3,x,2,0.8,m1,0,100000,88597,87,166,0,0.88597,0.0009819745589579,0,0.3844639849994564,"['x', 'x', 'x']"
3,x,2,0.5,normal,0,100000,91427,26,47,0,0.91427,0.0002843798877792,0,1.5695241249923129,"['x', 'x', 'x']"
3,x,2,0.5,m1,0,100000,92813,34,66,0,0.92813,0.0003663279928458,0,0.227422302996274,"['x', 'x', 'x']"
3,x,2,0.3,normal,0,100000,94722,10,19,0,0.94722,0.0001055720951838,0,1.1604092060006224,"['x', 'x', 'x']"
3,x,2,0.3,m1,0,100000,95487,8,17,0,0.95487,8.378103825656957e-05,0,0.1492553270072676,"['x', 'x', 'x']"
3,x,2,0.1,normal,0,100000,98296,0,0,0,0.98296,0.0,0,0.5617383439966943,"['x', 'x', 'x']"
3,x,2,0.1,m1,0,100000,98514,2,5,0,0.98514,2.030168300948265e-05,0,0.033210316003533,"['x', 'x', 'x']"
3,x,3,1.0,normal,0,100000,93614,262,475,0,0.93614,0.0027987266861794,0,0.5422713279986056,"['z', 'x', 'x']"
3,x,3,1.0,m1,0,100000,93055,138,253,0,0.93055,0.0014829939283219,0,0.0781877940025879,"['z', 'x', 'x']"
3,x,3,0.8,normal,0,100000,94773,196,375,0,0.94773,0.0020680995642218,0,1.5510337059968151,"['z', 'x', 'x']"
3,x,3,0.8,m1,0,100000,94467,100,197,0,0.94467,0.0010585707178167,0,0.0660786549997283,"['z', 'x', 'x']"
3,x,3,0.5,normal,0,100000,96659,106,205,0,0.96659,0.0010966386989312,0,1.2746956370101543,"['z', 'x', 'x']"
3,x,3,0.5,m1,0,100000,96507,68,137,0,0.96507,0.0007046121006766,0,0.0525076029880438,"['z', 'x', 'x']"
3,x,3,0.3,normal,0,100000,97955,59,116,0,0.97955,0.0006023173906385,0,0.3401665059936931,"['z', 'x', 'x']"
3,x,3,0.3,m1,0,100000,97850,28,50,0,0.9785,0.0002861522738886,0,0.1272294619993772,"['z', 'x', 'x']"
3,x,3,0.1,normal,0,100000,99349,17,34,0,0.99349,0.0001711139518263,0,0.5180373660114128,"['z', 'x', 'x']"
3,x,3,0.1,m1,0,100000,99287,6,12,0,0.99287,6.043087211815568e-05,0,0.1043741479952586,"['z', 'x', 'x']"
3,x,4,1.0,normal,0,100000,82673,5122,8969,0,0.82673,0.0619549308722315,0,2.6299866609915625,"['x', 'z', 'x']"
3,x,4,1.0,m1,0,100000,86275,5563,10346,0,0.86275,0.0644798609098812,0,1.9541691140038893,"['x', 'z', 'x']"
3,x,4,0.8,normal,0,100000,85640,4212,7529,0,0.8564,0.049182624941616,0,2.2834654680045787,"['x', 'z', 'x']"
3,x,4,0.8,m1,0,100000,88708,4634,8659,0,0.88708,0.0522388059701492,0,1.759316490002675,"['x', 'z', 'x']"
3,x,4,0.5,normal,0,100000,90600,2752,4943,0,0.906,0.0303752759381898,0,4.356735242996365,"['x', 'z', 'x']"
3,x,4,0.5,m1,0,100000,92815,3034,5675,0,0.92815,0.0326886817863492,0,1.4382158209918998,"['x', 'z', 'x']"
3,x,4,0.3,normal,0,100000,94294,1748,3159,0,0.94294,0.0185377648630877,0,3.884792955999728,"['x', 'z', 'x']"
3,x,4,0.3,m1,0,100000,95440,1905,3614,0,0.9544,0.0199601844090527,0,1.1982996570004616,"['x', 'z', 'x']"
3,x,4,0.1,normal,0,100000,97997,588,1053,0,0.97997,0.0060001836790921,0,2.33700400700036,"['x', 'z', 'x']"
3,x,4,0.1,m1,0,100000,98525,674,1271,0,0.98525,0.0068409033240294,0,0.6817041759932181,"['x', 'z', 'x']"
3,x,5,1.0,normal,0,100000,100000,242,461,0,1.0,0.0024199999999999,0,0.6762988650007173,"['z', 'z', 'x']"
3,x,5,1.0,m1,0,100000,100000,69,138,0,1.0,0.0006899999999999,0,0.05962305200228,"['z', 'z', 'x']"
3,x,5,0.8,normal,0,100000,100000,149,294,0,1.0,0.0014899999999999,0,0.6292591630044626,"['z', 'z', 'x']"
3,x,5,0.8,m1,0,100000,100000,48,97,0,1.0,0.00048,0,0.0544802509975852,"['z', 'z', 'x']"
3,x,5,0.5,normal,0,100000,100000,79,158,0,1.0,0.0007899999999999,0,0.5714965019869851,"['z', 'z', 'x']"
3,x,5,0.5,m1,0,100000,100000,22,45,0,1.0,0.0002199999999999,0,0.0478223469981458,"['z', 'z', 'x']"
3,x,5,0.3,normal,0,100000,100000,22,44,0,1.0,0.0002199999999999,0,0.192730073002167,"['z', 'z', 'x']"
3,x,5,0.3,m1,0,100000,100000,9,18,0,1.0,9.00000000000345e-05,0,0.0403955270012375,"['z', 'z', 'x']"
3,x,5,0.1,normal,0,100000,100000,2,5,0,1.0,2.000000000002e-05,0,0.3735488730017096,"['z', 'z', 'x']"
3,x,5,0.1,m1,0,100000,100000,0,0,0,1.0,0.0,0,0.0341029090050142,"['z', 'z', 'x']"
3,x,6,1.0,normal,0,100000,82284,3462,6051,0,0.82284,0.042073793204025,0,11.588389748008922,"['x', 'x', 'z']"
3,x,6,1.0,m1,0,100000,85052,4405,8376,0,0.85052,0.0517918449889479,0,1.15679894699133,"['x', 'x', 'z']"
3,x,6,0.8,normal,0,100000,85335,2796,4926,0,0.85335,0.0327649850588855,0,6.805947778993868,"['x', 'x', 'z']"
3,x,6,0.8,m1,0,100000,87633,3600,6810,0,0.87633,0.0410804149121906,0,3.128446485003224,"['x', 'x', 'z']"
3,x,6,0.5,normal,0,100000,90420,1910,3445,0,0.9042,0.0211236452112364,0,9.136645228005364,"['x', 'x', 'z']"
3,x,6,0.5,m1,0,100000,91928,2469,4708,0,0.91928,0.0268579758071534,0,2.476049012009753,"['x', 'x', 'z']"
3,x,6,0.3,normal,0,100000,94097,1138,2068,0,0.94097,0.0120939030999925,0,7.952061798001523,"['x', 'x', 'z']"
3,x,6,0.3,m1,0,100000,95017,1481,2854,0,0.95017,0.015586684488039,0,0.6190856030007126,"['x', 'x', 'z']"
3,x,6,0.1,normal,0,100000,97941,398,721,0,0.97941,0.0040636709855933,0,6.634899182012305,"['x', 'x', 'z']"
3,x,6,0.1,m1,0,100000,98317,514,997,0,0.98317,0.0052279870215731,0,0.3640791290090419,"['x', 'x', 'z']"
3,x,7,1.0,normal,0,100000,95345,4804,9159,0,0.95345,0.0503854423409723,0,1.7687947079975856,"['z', 'x', 'z']"
3,x,7,1.0,m1,0,100000,94128,3810,7331,0,0.94128,0.0404767975522692,0,0.7455159259989159,"['z', 'x', 'z']"
3,x,7,0.8,normal,0,100000,96336,3868,7445,0,0.96336,0.0401511376847699,0,1.5933204389875757,"['z', 'x', 'z']"
3,x,7,0.8,m1,0,100000,95179,3062,5917,0,0.95179,0.0321709620819719,0,0.7032357529969886,"['z', 'x', 'z']"
3,x,7,0.5,normal,0,100000,97627,2516,4916,0,0.97627,0.0257715590973808,0,3.8812563480023528,"['z', 'x', 'z']"
3,x,7,0.5,m1,0,100000,97006,1960,3840,0,0.97006,0.0202049357771684,0,0.626786014996469,"['z', 'x', 'z']"
3,x,7,0.3,normal,0,100000,98621,1518,2972,0,0.98621,0.0153922592551282,0,3.1040426539984765,"['z', 'x', 'z']"
3,x,7,0.3,m1,0,100000,98110,1234,2429,0,0.9811,0.0125777188869635,0,0.5778798310057027,"['z', 'x', 'z']"
3,x,7,0.1,normal,0,100000,99522,532,1060,0,0.99522,0.0053455517373043,0,0.7866753050038824,"['z', 'x', 'z']"
3,x,7,0.1,m1,0,100000,99385,408,811,0,0.99385,0.0041052472707149,0,0.1591711060027592,"['z', 'x', 'z']"
3,z,2,1.0,normal,0,100000,93543,3878,7468,0,0.93543,0.0414568701025197,0,1.7790618560102305,"['z', 'x', 'x']"
3,z,2,1.0,m1,0,100000,94061,3656,7012,0,0.94061,0.0388683939145872,0,0.7358261540066451,"['z', 'x', 'x']"
3,z,2,0.8,normal,0,100000,94828,3128,6050,0,0.94828,0.0329860378791074,0,1.6539672910002992,"['z', 'x', 'x']"
3,z,2,0.8,m1,0,100000,95338,2980,5745,0,0.95338,0.0312572111854664,0,0.6911518550041365,"['z', 'x', 'x']"
3,z,2,0.5,normal,0,100000,96640,2072,4058,0,0.9664,0.0214403973509933,0,1.3289482880063588,"['z', 'x', 'x']"
3,z,2,0.5,m1,0,100000,97005,1908,3722,0,0.97005,0.019669089222205,0,0.6275055340083782,"['z', 'x', 'x']"
3,z,2,0.3,normal,0,100000,98017,1224,2419,0,0.98017,0.0124876296968893,0,1.0607707079907414,"['z', 'x', 'x']"
3,z,2,0.3,m1,0,100000,98189,1146,2271,0,0.98189,0.0116713684832313,0,0.5525327390059829,"['z', 'x', 'x']"
3,z,2,0.1,normal,0,100000,99339,425,846,0,0.99339,0.0042782794270125,0,2.201953900002991,"['z', 'x', 'x']"
3,z,2,0.1,m1,0,100000,99407,398,791,0,0.99407,0.0040037421911938,0,0.398841046000598,"['z', 'x', 'x']"
